"","x"
"Afatinib",0.1867
"Afatinib_Cetuximab",0.4841
"Almonertinib",0.9567
"antiangio",0.8164
"chemo",0.5153
"Dacomitinib",0.407
"DHFRi",0.4591
"Erlotinib",0.4184
"Erlotinib_antiangio",0.6483
"Erlotinib_chemo",0.3888
"Erlotinib_ERi",0.8741
"Erlotinib_HER3i",0.3644
"Erlotinib_HGFi",0.8954
"Erlotinib_IGF_1Ri",0.7187
"Erlotinib_METi",0.335
"Gefitinib",0.4234
"Gefitinib_antiangio",0.7162
"Gefitinib_chemo",0.4739
"Gefitinib_Erlotinib",0.3771
"Lazertinib",0.4023
"Lazertinib_Amivantamab",0.4654
"Osimertinib",0.2457
"Osimertinib_antiangio",0.3735
"Osimertinib_chemo",0.6237
"Placebo",0.339
"Rociletinib",0.0916
