"","x"
"Afatinib",0.2334
"Afatinib_Cetuximab",0.5041
"Afatinib_HMGCRi",0.2023
"Almonertinib",0.368
"antiangio",0.7891
"Befotertinib",0.8541
"chemo",0.3635
"chemo_antiangio",0.1494
"Dacomitinib",0.4716
"DHFRi",0.4874
"Erlotinib",0.5233
"Erlotinib_antiangio",0.5575
"Erlotinib_chemo",0.5142
"Erlotinib_COX2i",0.0892
"Erlotinib_HER3i",0.6536
"Erlotinib_HGFi",0.0667
"Erlotinib_IGF_1Ri",0.7991
"Erlotinib_METi",0.5027
"Furmonertinib",0.4293
"Gefitinib",0.3494
"Gefitinib_chemo",0.437
"Gefitinib_Erlotinib",0.4922
"Gefitinib_PARPi",0.9075
"Icotinib",0.8873
"Lazertinib",0.5271
"Lazertinib_Amivantamab",0.6588
"Osimertinib",0.5221
"Osimertinib_antiangio",0.6459
"Osimertinib_chemo",0.783
"Osimertinib_PD_L1i",0.1663
"Placebo",0.4383
"Rociletinib",0.5963
"Zorifertinib",0.5303
