"","x"
"Afatinib",0.4614
"Afatinib_Cetuximab",0.4472
"Almonertinib",0.6015
"antiangio",0.7539
"chemo",0.5527
"Dacomitinib",0.3545
"DHFRi",0.6171
"Erlotinib",0.4037
"Erlotinib_antiangio",0.736
"Erlotinib_chemo",0.4569
"Erlotinib_ERi",0.6002
"Erlotinib_HER3i",0.4502
"Erlotinib_HGFi",0.5275
"Erlotinib_IGF_1Ri",0.7279
"Erlotinib_METi",0.5897
"Gefitinib",0.314
"Gefitinib_antiangio",0.6214
"Gefitinib_chemo",0.4898
"Gefitinib_ERi",0.6568
"Gefitinib_Erlotinib",0.2556
"Lazertinib",0.432
"Lazertinib_Amivantamab",0.7834
"Osimertinib",0.338
"Osimertinib_antiangio",0.7655
"Osimertinib_chemo",0.4707
"Osimertinib_PD_L1i",0.228
"Placebo",0.3374
"Rociletinib",0.027
