"","x"
"Afatinib",0.4176
"Afatinib_Cetuximab",0.4628
"Afatinib_HMGCRi",0.041
"Almonertinib",0.5264
"antiangio",0.6892
"chemo",0.5285
"Dacomitinib",0.3037
"DHFRi",0.3823
"Erlotinib",0.431
"Erlotinib_antiangio",0.4304
"Erlotinib_chemo",0.5916
"Erlotinib_COX2i",0.0461
"Erlotinib_IGF_1Ri",0.5689
"Erlotinib_METi",0.3808
"Erlotinib_MMPi",0.9314
"Furmonertinib",0.4805
"Gefitinib",0.3256
"Gefitinib_chemo",0.562
"Gefitinib_Erlotinib",0.4745
"Gefitinib_PARPi",0.854
"Icotinib",0.8798
"Lazertinib",0.4897
"Lazertinib_Amivantamab",0.567
"Osimertinib",0.4049
"Osimertinib_antiangio",0.7891
"Osimertinib_chemo",0.5825
"Placebo",0.3232
"Zorifertinib",0.5353
