"","x"
"Afatinib",0.4674
"Afatinib_Cetuximab",0.5463
"Almonertinib",0.9074
"antiangio",0.6839
"chemo",0.4866
"Dacomitinib",0.4187
"DHFRi",0.5521
"Erlotinib",0.4109
"Erlotinib_antiangio",0.5252
"Erlotinib_Autophagyi",0.1063
"Erlotinib_chemo",0.4806
"Erlotinib_ERi",0.883
"Erlotinib_IGF_1Ri",0.6982
"Erlotinib_METi",0.4232
"Erlotinib_MMPi",0.036
"Gefitinib",0.3198
"Gefitinib_antiangio",0.6576
"Gefitinib_chemo",0.5061
"Gefitinib_Erlotinib",0.4397
"Lazertinib",0.4825
"Lazertinib_Amivantamab",0.5188
"Osimertinib",0.4072
"Osimertinib_antiangio",0.5766
"Osimertinib_chemo",0.5745
"Placebo",0.3911
