"","x"
"Afatinib",0.3734
"Afatinib_Cetuximab",0.3922
"Afatinib_HMGCRi",0.471
"Almonertinib",0.4472
"antiangio",0.5852
"Befotertinib",0.9563
"chemo",0.4189
"chemo_antiangio",0.054
"Dacomitinib",0.3995
"DHFRi",0.4455
"Erlotinib",0.5267
"Erlotinib_antiangio",0.5755
"Erlotinib_Autophagyi",0.63
"Erlotinib_chemo",0.6033
"Erlotinib_COX2i",0.1048
"Erlotinib_IGF_1Ri",0.4891
"Erlotinib_METi",0.4574
"Erlotinib_MMPi",0.5251
"Furmonertinib",0.4556
"Gefitinib",0.4149
"Gefitinib_chemo",0.4871
"Gefitinib_Erlotinib",0.3857
"Gefitinib_PARPi",0.9331
"Icotinib",0.9499
"Lazertinib",0.5207
"Lazertinib_Amivantamab",0.6439
"Osimertinib",0.5812
"Osimertinib_antiangio",0.7887
"Osimertinib_chemo",0.6657
"Osimertinib_PD_L1i",0.0405
"Placebo",0.2584
"Zorifertinib",0.4191
