"","x"
"Afatinib",0.45
"Afatinib_Cetuximab",0.4428
"Almonertinib",0.6428
"antiangio",0.5266
"chemo",0.6177
"Dacomitinib",0.4263
"DHFRi",0.5179
"Erlotinib",0.3379
"Erlotinib_antiangio",0.8442
"Erlotinib_Autophagyi",0.1421
"Erlotinib_chemo",0.4682
"Erlotinib_ERi",0.642
"Erlotinib_IGF_1Ri",0.4463
"Erlotinib_METi",0.4394
"Erlotinib_MMPi",0.3473
"Gefitinib",0.4245
"Gefitinib_antiangio",0.9155
"Gefitinib_chemo",0.5111
"Gefitinib_ERi",0.7467
"Gefitinib_Erlotinib",0.2753
"Lazertinib",0.51
"Lazertinib_Amivantamab",0.7731
"Osimertinib",0.3633
"Osimertinib_antiangio",0.7599
"Osimertinib_chemo",0.4639
"Osimertinib_PD_L1i",0.2286
"Placebo",0.2363
