"Category","Condition","Value","Dataset","OR","CI_low","CI_high","K....k","I2....I2","tau2....tau2","p_value"
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","cardiac_serious1",0.720972082149304,0.475011512675997,1.09429083162718,18,0,0,0.124363153502153
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","cardiac_serious1",1.22973093134,0.79105999568889,1.91166052099172,8,0.339015529145246,0.260157661443931,0.358249735688566
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","cardiac_serious1",1.1728807485931,0.603454263576612,2.27962470969545,6,0,0,0.638135696513825
"1st-generation EGFR TKIs","Smoker_status","Smoker","cardiac_serious1",0.77447809974741,0.611900555821641,0.980251319077402,24,0.0826237748848544,0.0363778713622284,0.0335129173526349
"2nd-generation EGFR TKIs","Smoker_status","Smoker","cardiac_serious1",0.821799221216085,0.512032116578844,1.31896796729033,4,0,0,0.416189598355762
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","cardiac_total1",0.867498966664079,0.677854935322899,1.11019986423019,22,0,0,0.258746875401171
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","cardiac_total1",1.08581302543168,0.880602733585507,1.33884427248671,11,0.686300353838421,0.331312841157497,0.441118381368886
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","cardiac_total1",1.10334985377335,0.641363395495461,1.89811409315189,6,0,0,0.722350509405578
"1st-generation EGFR TKIs","Smoker_status","Smoker","cardiac_total1",0.832519058200718,0.690960302974138,1.00307930757254,26,0.287051771609212,0.112052070457543,0.0539010664184195
"2nd-generation EGFR TKIs","Smoker_status","Smoker","cardiac_total1",0.724458688038493,0.47661694163915,1.10117862967577,4,0,0,0.131347369772374
"3rd-generation EGFR TKIs","Smoker_status","Smoker","cardiac_total1",0.129251700680272,0.0063953127292148,2.61222599051755,1,NA,NA,0.182224802765822
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","vascular_serious",0.295402509584489,0.232059045956046,0.376036376040874,26,0.697922425978942,1.38172209814582,4.04763684340033e-23
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","vascular_serious",1.50711976346975,0.999338135455796,2.27291434285667,8,0.593859411035171,0.683311007933329,0.0503703280019632
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","vascular_serious",1.30338843837666,0.74225491450486,2.2887304456949,6,0.286214646869485,0.25297378877644,0.356331357444483
"1st-generation EGFR TKIs","Smoker_status","Smoker","vascular_serious",0.725387801459161,0.588270838822152,0.894464637341703,28,0.147504432706642,0.0656843438121344,0.00267086062724899
"2nd-generation EGFR TKIs","Smoker_status","Smoker","vascular_serious",1.11435697513191,0.683436567503149,1.81698130751457,4,0,0,0.664232123917137
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","vascular_total",0.320658367980392,0.271928163950571,0.378121145901381,27,0.83288151210029,1.21045648525979,1.13353429446258e-41
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","vascular_total",1.25096669007546,0.993746168473855,1.57476598081549,9,0.862225925537653,1.03027943807773,0.0565791123244887
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","vascular_total",0.95720545339393,0.690761071937365,1.32642431258801,6,0.368724630239094,0.111964463922958,0.792724337262575
"1st-generation EGFR TKIs","Smoker_status","Smoker","vascular_total",0.476503435621027,0.411096934208887,0.55231626719763,30,0.588103570619313,0.286014399962264,7.54708685574874e-23
"2nd-generation EGFR TKIs","Smoker_status","Smoker","vascular_total",1.11435697513191,0.683436567503149,1.81698130751457,4,0,0,0.664232123917137
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","arrhy_serious1",1.05879745517185,0.542449194651302,2.06664893621792,8,0,0,0.867027156586521
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","arrhy_serious1",0.742952296700372,0.354262646120021,1.55810419534142,8,0,0,0.431673753489824
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","arrhy_serious1",1.30331403170749,0.414372960859425,4.09927197402703,4,0.134205647367481,0.332791161493931,0.650471890189544
"1st-generation EGFR TKIs","Smoker_status","Smoker","arrhy_serious1",0.853267361755695,0.584103025733026,1.24646707611869,18,0,0,0.411862230585336
"2nd-generation EGFR TKIs","Smoker_status","Smoker","arrhy_serious1",1.38792031509131,0.652104256834915,2.95401046819241,4,0.0551100104407245,0.0466438639638985,0.395004877854537
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","hf_serious",1.11532568204115,0.498528592056515,2.49524580303219,7,0.238595915031769,0.686601517002113,0.790498345506809
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","hf_serious",0.648443079736375,0.28551909473905,1.47268058566202,9,0,0,0.300643488585214
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","hf_serious",0.886982679760471,0.188973379438979,4.16322275936812,2,0.39566955419885,1.28897979314255,0.879170203802112
"1st-generation EGFR TKIs","Smoker_status","Smoker","hf_serious",1.02042334348729,0.580758041401352,1.79293909976904,14,0,0,0.943952143835972
"2nd-generation EGFR TKIs","Smoker_status","Smoker","hf_serious",0.80344837530169,0.214706665942664,3.00656381086608,2,0,0,0.745158098404197
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","vt_serious",0.455583236482113,0.315624557992307,0.657604359698069,23,0,0,2.68935647706536e-05
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","vt_serious",1.86041051272671,1.24010463025872,2.79099617194556,8,0.69711314690828,1.08434110838607,0.00270119824292264
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","vt_serious",1.22518759392176,0.708202834107013,2.11956881278587,6,0.356315645411502,0.335031403724581,0.467701565708276
"1st-generation EGFR TKIs","Smoker_status","Smoker","vt_serious",0.774311407683487,0.627223590706102,0.955892228788502,27,0,0,0.0173294264674449
"2nd-generation EGFR TKIs","Smoker_status","Smoker","vt_serious",1.01393983667167,0.636333419350222,1.61562156116139,4,0,0,0.953556995409749
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","hyper_serious",0.241072208269209,0.178701469039485,0.325211705937078,12,0.837133047263166,2.71668251184692,1.23355259036634e-20
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","hyper_serious",0.329266772544608,0.0516234777269048,2.10014149134782,3,0,0,0.239962169889187
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","hyper_serious",1.11495323172078,0.212120394364855,5.86044879204961,3,0,0,0.897737162137986
"1st-generation EGFR TKIs","Smoker_status","Smoker","hyper_serious",0.209747977452337,0.0954743638724745,0.46079609500315,11,0,0,0.000100482454512838
"2nd-generation EGFR TKIs","Smoker_status","Smoker","hyper_serious",0.335031847133758,0.0136067923690168,8.24928723462019,1,NA,NA,0.503488984713034
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","arrhy_total1",1.18972069527862,0.941517568769298,1.50335519986572,11,0.394679544106616,0.120769071384157,0.145621919352529
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","arrhy_total1",0.909239362507838,0.677386908257662,1.22044906427273,12,0,0,0.526398819245705
"2nd-generation EGFR TKIs","Smoker_status","Non-smoker","arrhy_total1",1.3702234803855,0.587061737090131,3.19815151896283,4,0.102073746137045,0.141209033679592,0.466407615792435
"1st-generation EGFR TKIs","Smoker_status","Smoker","arrhy_total1",1.00025628149953,0.767001863878156,1.30444615039188,21,0.279344310831307,0.190389839684833,0.998490794045731
"2nd-generation EGFR TKIs","Smoker_status","Smoker","arrhy_total1",0.882928765877367,0.502843962836092,1.55030837243608,4,0.357127050558419,0.238557329267507,0.664662618348899
"3rd-generation EGFR TKIs","Smoker_status","Smoker","arrhy_total1",0.129251700680272,0.0063953127292148,2.61222599051755,1,NA,NA,0.182224802765822
"1st-generation EGFR TKIs","Smoker_status","Non-smoker","hf_total",0.790093235714792,0.384593041710974,1.62313732548338,12,0,0,0.521271591113277
"3rd-generation EGFR TKIs","Smoker_status","Non-smoker","hf_total",0.579275986683755,0.34274443993692,0.979040444274442,7,0.506704259725549,1.16708866707771,0.0414426161705572
