"","Therapy","cardiac serious (0)","cardiac total (0)","vascular serious (0)","vascular total (0)","cardiac serious (dose)","cardiac total (dose)","vascular serious (dose)","vascular total (dose)","cardiac serious (dose)-1","cardiac total (dose)-1","vascular serious (dose)-1","vascular total (dose)-1","cardiac serious (dose)-2","cardiac total (dose)-2","vascular serious (dose)-2","vascular total (dose)-2","cardiac serious (dose)-2gen","cardiac total (dose)-2gen","vascular serious (dose)-2gen","vascular total (dose)-2gen","cardiac serious (dose)-1gen","cardiac total (dose)-1gen","vascular serious (dose)-1gen","vascular total (dose)-1gen","cardiac serious (antiangio)","cardiac serious (MET)","cardiac serious (IGF-1R)","cardiac total (antiangio)","cardiac total (MET)","cardiac total (IGF-1R)","vascular serious (antiangio)","vascular serious (MET)","vascular serious (IGF-1R)","vascular total (antiangio)","vascular total (MET)","vascular total (IGF-1R)","Serious Cardiac","Serious Cardiac (Gen)","Total Cardiac","Total Cardiac (Gen)","Serious Vascular","Serious Vascular (Gen)","Total Vascular","Total Vascular (Gen)","Serious Arrhythmias","Serious Arrhythmias (Gen)","Total Arrhythmias","Total Arrhythmias (Gen)","Serious Heart Failure","Serious Heart Failure (Gen)","Total Heart Failure","Total Heart Failure (Gen)","Serious Vascular Toxicity","Serious Vascular Toxicity (Gen)","Total Vascular Toxicity","Total Vascular Toxicity (Gen)","Serious Hypertension","Serious Hypertension (Gen)","Total Hypertension","Total Hypertension (Gen)","cardiac serious (0)-gen","cardiac total (0)-gen","vascular serious (0)-gen","vascular total (0)-gen","cardiac serious (dose)-gen","cardiac total (dose)-gen","vascular serious (dose)-gen","vascular total (dose)-gen","Total Hypertension (funnel)","Total Vascular (funnel)","Serious Cardiac (G-E)","Serious Cardiac (G-E)-Gen","Total Cardiac (G-E)","Total Cardiac (G-E)-Gen","Serious Vascular (G-E)","Serious Vascular (G-E)-Gen","Total Vascular (G-E)","Total Vascular (G-E)-Gen"
"1","Osimertinib + antiangiogenesis","4.92 (0.97 to    24.95)","7.21 (3.20 to   16.24)","1.72 (0.34 to     8.61)","7.25 (2.38 to   22.08)","5.96 (1.06 to   33.50)","7.43 (3.28 to   16.84)","1.75 (0.34 to     9.12)","7.27 (2.37 to   22.32)","5.96 (1.06 to   33.50)","7.43 (3.28 to   16.84)","1.75 (0.34 to     9.12)","7.27 (2.37 to   22.32)","5.96 (1.06 to   33.50)","7.43 (3.28 to   16.84)","1.75 (0.34 to     9.12)","7.27 (2.37 to  22.32)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.96 (1.06 to   33.50)",NA,"7.43 (3.28 to   16.84)",NA,"1.74 (0.34 to     9.02)",NA,"7.26 (2.37 to   22.25)",NA,"10.49 (0.83 to 132.29)",NA,"7.52 (2.90 to   19.48)",NA,"8.11 (0.29 to  225.16)",NA,"13.96 (1.59 to   122.88)",NA,"0.59 (0.11 to    3.23)",NA,"0.61 (0.10 to     3.56)",NA,"1.49 (0.09 to    23.63)",NA,"5.37 (1.30 to   22.28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.02 (1.08 to   14.97)","6.30 ( 2.75 to  14.43)","5.96 (1.06 to   33.50)",NA,"7.43 (3.28 to   16.84)",NA,"1.74 (0.34 to     9.02)",NA,"7.26 (2.37 to   22.25)",NA
"2","Antiangiogenesis","4.75 (1.88 to    12.01)","6.97 (2.93 to   16.55)","3.34 (0.96 to    11.68)","5.75 (2.41 to   13.72)","5.07 (1.97 to   13.09)","7.01 (2.94 to   16.68)","3.46 (0.95 to    12.61)","5.79 (2.41 to   13.91)","5.07 (1.97 to   13.09)","7.01 (2.94 to   16.68)","3.46 (0.95 to    12.61)","5.79 (2.41 to   13.91)","5.07 (1.97 to   13.09)","7.01 (2.94 to   16.68)","3.46 (0.95 to    12.61)","5.79 (2.41 to  13.91)","4.68 (1.89 to   11.64)","7.99 (3.56 to   17.89)","3.55 (0.92 to   13.65)","5.52 (2.30 to  13.30)","4.68 (1.89 to   11.64)","7.99 (3.56 to   17.89)","3.55 (0.92 to   13.65)","5.52 (2.30 to   13.30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.07 (1.97 to   13.09)","4.68 (1.89 to   11.64)","7.01 (2.94 to   16.68)","7.99 (3.56 to   17.89)","3.44 (0.95 to    12.41)","3.37 (0.87 to   13.13)","5.78 (2.41 to   13.86)","5.40 (2.10 to   13.91)","4.92 (1.25 to  19.39)","4.75 (1.27 to   17.76)","8.78 (2.43 to   31.65)","10.45 (3.60 to   30.35)","16.13 (0.64 to  403.89)","13.17 (0.59 to 295.83)","9.99 (0.78 to   128.33)","8.15 (0.73 to   91.25)","1.61 (0.74 to    3.50)","1.36 (0.60 to    3.10)","1.82 (0.78 to     4.24)","1.57 (0.65 to    3.81)","5.52 (0.44 to    68.94)","8.60 (0.86 to   86.38)","6.11 (2.35 to   15.90)","5.98 (2.33 to  15.31)","4.44 (1.81 to   10.87)","7.94 (3.55 to   17.78)","3.47 (0.94 to   12.82)","5.49 (2.30 to  13.07)","4.68 (1.89 to   11.64)","7.99 (3.56 to   17.89)","3.55 (0.92 to   13.65)","5.52 (2.30 to   13.30)","6.13 (2.89 to   13.00)","4.11 ( 2.36 to   7.13)","5.07 (1.97 to   13.09)","4.85 (1.94 to   12.09)","7.01 (2.94 to   16.68)","8.52 (3.79 to   19.14)","3.44 (0.95 to    12.41)","3.38 (0.85 to   13.46)","5.78 (2.41 to   13.86)","5.39 (2.06 to   14.10)"
"3","Almonertinib","2.75 (0.53 to    14.29)","1.43 (0.62 to    3.27)","21.10 (0.83 to   539.08)","2.29 (0.62 to    8.40)","2.70 (0.51 to   14.22)","1.43 (0.61 to    3.35)","20.89 (0.79 to   553.64)","2.29 (0.62 to    8.51)","2.70 (0.51 to   14.22)","1.43 (0.61 to    3.35)","20.89 (0.79 to   553.64)","2.29 (0.62 to    8.51)","2.70 (0.51 to   14.22)","1.43 (0.61 to    3.35)","20.89 (0.79 to   553.64)","2.29 (0.62 to   8.51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.70 (0.51 to   14.22)",NA,"1.43 (0.61 to    3.35)",NA,"20.89 (0.79 to   549.59)",NA,"2.29 (0.62 to    8.48)",NA,"5.14 (0.36 to  73.02)",NA,"2.45 (0.51 to   11.75)",NA,"0.83 (0.02 to   37.45)",NA,"0.83 (0.02 to    37.45)",NA,"22.81 (1.24 to  418.07)",NA,"22.72 (1.21 to   427.90)",NA,NA,NA,"1.22 (0.24 to    6.20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.27 (0.30 to    5.28)","2.14 ( 0.87 to   5.24)","2.70 (0.51 to   14.22)",NA,"1.43 (0.61 to    3.35)",NA,"20.89 (0.79 to   549.59)",NA,"2.29 (0.62 to    8.48)",NA
"4","Furmonertinib","1.70 (0.46 to     6.27)","1.47 (0.56 to    3.89)","0.96 (0.01 to    65.36)","1.05 (0.02 to   61.85)","1.67 (0.45 to    6.26)","1.48 (0.55 to    3.96)",NA,NA,"1.67 (0.45 to    6.26)","1.48 (0.55 to    3.96)",NA,NA,"1.67 (0.45 to    6.26)","1.48 (0.55 to    3.96)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.67 (0.45 to    6.26)",NA,"1.48 (0.55 to    3.96)",NA,NA,NA,NA,NA,"4.24 (0.55 to  32.62)",NA,"2.70 (0.52 to   13.97)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.67 (0.45 to    6.26)",NA,"1.48 (0.55 to    3.96)",NA,NA,NA,NA,NA
"5","Lazertinib","1.79 (0.67 to     4.77)","2.83 (1.17 to    6.88)","1.25 (0.33 to     4.76)","1.37 (0.54 to    3.51)","1.78 (0.67 to    4.76)","2.84 (1.17 to    6.91)","1.25 (0.31 to     4.98)","1.37 (0.53 to    3.54)","1.78 (0.67 to    4.76)","2.84 (1.17 to    6.91)","1.25 (0.31 to     4.98)","1.37 (0.53 to    3.54)","1.78 (0.67 to    4.76)","2.84 (1.17 to    6.91)","1.25 (0.31 to     4.98)","1.37 (0.53 to   3.54)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.78 (0.67 to    4.76)",NA,"2.84 (1.17 to    6.91)",NA,"1.25 (0.32 to     4.93)",NA,"1.37 (0.53 to    3.53)",NA,"3.50 (0.42 to  29.04)",NA,"5.26 (0.83 to   33.23)",NA,"1.44 (0.20 to   10.60)",NA,"1.44 (0.20 to    10.60)",NA,"1.64 (0.72 to    3.72)",NA,"1.67 (0.78 to     3.59)",NA,"1.01 (0.05 to    20.61)",NA,"0.88 (0.23 to    3.35)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.88 (0.27 to    2.94)","1.28 ( 0.69 to   2.39)","1.78 (0.67 to    4.76)",NA,"2.84 (1.17 to    6.91)",NA,"1.25 (0.32 to     4.93)",NA,"1.37 (0.53 to    3.53)",NA
"6","Gefitinib","1.22 (0.63 to     2.40)","1.28 (0.67 to    2.46)","0.95 (0.38 to     2.41)","1.05 (0.53 to    2.06)","1.20 (0.60 to    2.42)","1.29 (0.65 to    2.53)","0.94 (0.36 to     2.46)","1.05 (0.53 to    2.07)","1.20 (0.60 to    2.42)","1.29 (0.65 to    2.53)","0.94 (0.36 to     2.46)","1.05 (0.53 to    2.07)","1.20 (0.60 to    2.42)","1.29 (0.65 to    2.53)","0.94 (0.36 to     2.46)","1.05 (0.53 to   2.07)",NA,NA,NA,NA,NA,NA,NA,NA,"0.98 (0.30 to    3.22)","0.98 (0.30 to  3.22)","0.98 (0.30 to   3.22)","0.78 (0.25 to    2.44)","0.98 (0.30 to  3.22)","0.98 (0.30 to   3.22)","1.01 (0.21 to    4.84)","1.48 (0.46 to  4.73)","1.48 (0.46 to   4.73)","0.96 (0.28 to    3.23)","1.49 (0.46 to  4.84)","1.48 (0.46 to   4.73)","1.20 (0.60 to    2.42)",NA,"1.29 (0.65 to    2.53)",NA,"0.94 (0.36 to     2.45)",NA,"1.05 (0.53 to    2.07)",NA,"3.05 (0.55 to  16.82)",NA,"2.35 (0.54 to   10.30)",NA,"2.48 (0.32 to   19.53)",NA,"2.48 (0.32 to    19.53)",NA,"0.86 (0.44 to    1.65)",NA,"0.85 (0.45 to     1.61)",NA,"0.96 (0.10 to     8.88)",NA,"0.97 (0.26 to    3.62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.00 (0.30 to    3.33)","0.98 ( 0.58 to   1.64)","1.20 (0.60 to    2.42)",NA,"1.29 (0.65 to    2.53)",NA,"0.94 (0.36 to     2.45)",NA,"1.05 (0.53 to    2.07)",NA
"7","Erlotinib + chemotherapy","1.66 (0.59 to     4.61)","1.80 (0.72 to    4.51)","0.92 (0.22 to     3.82)","1.22 (0.40 to    3.67)","1.68 (0.60 to    4.68)","1.81 (0.72 to    4.55)","0.93 (0.22 to     4.02)","1.22 (0.40 to    3.71)","1.68 (0.60 to    4.68)","1.81 (0.72 to    4.55)","0.93 (0.22 to     4.02)","1.22 (0.40 to    3.71)","1.68 (0.60 to    4.68)","1.81 (0.72 to    4.55)","0.93 (0.22 to     4.02)","1.22 (0.40 to   3.71)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.68 (0.60 to    4.68)",NA,"1.81 (0.72 to    4.55)",NA,"0.93 (0.22 to     3.98)",NA,"1.22 (0.40 to    3.70)",NA,"2.80 (0.47 to  16.75)",NA,"3.43 (0.77 to   15.16)",NA,"1.08 (0.09 to   12.64)",NA,"1.08 (0.09 to    12.64)",NA,"1.25 (0.42 to    3.70)",NA,"0.80 (0.28 to     2.30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07 ( 0.47 to   2.47)","1.68 (0.60 to    4.68)",NA,"1.81 (0.72 to    4.55)",NA,"0.93 (0.22 to     3.98)",NA,"1.22 (0.40 to    3.70)",NA
"8","Afatinib","1.17 (0.62 to     2.23)","1.29 (0.68 to    2.44)","1.38 (0.52 to     3.66)","1.25 (0.58 to    2.68)","1.18 (0.62 to    2.24)","1.30 (0.69 to    2.45)","1.39 (0.51 to     3.79)","1.25 (0.58 to    2.70)","1.18 (0.62 to    2.24)","1.30 (0.69 to    2.45)","1.39 (0.51 to     3.79)","1.25 (0.58 to    2.70)","1.18 (0.62 to    2.24)","1.30 (0.69 to    2.45)","1.39 (0.51 to     3.79)","1.25 (0.58 to   2.70)",NA,NA,NA,NA,NA,NA,NA,NA,"2.27 (0.70 to    7.34)","2.27 (0.70 to  7.34)","2.27 (0.70 to   7.34)","2.27 (0.68 to    7.55)","2.27 (0.70 to  7.34)","2.27 (0.70 to   7.34)","3.19 (0.42 to   24.33)","3.19 (0.83 to 12.29)","3.19 (0.83 to  12.29)","3.19 (0.61 to   16.78)","3.19 (0.81 to 12.53)","3.19 (0.83 to  12.29)","1.18 (0.62 to    2.24)",NA,"1.30 (0.69 to    2.45)",NA,"1.39 (0.51 to     3.76)",NA,"1.25 (0.58 to    2.70)",NA,"2.60 (0.83 to   8.20)",NA,"3.08 (1.01 to    9.40)",NA,"1.23 (0.32 to    4.79)",NA,"1.23 (0.32 to     4.79)",NA,"1.28 (0.69 to    2.36)",NA,"1.28 (0.65 to     2.50)",NA,"0.40 (0.04 to     4.27)",NA,"0.72 (0.19 to    2.71)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.71 (0.21 to    2.38)","1.11 ( 0.63 to   1.95)","1.18 (0.62 to    2.24)",NA,"1.30 (0.69 to    2.45)",NA,"1.39 (0.51 to     3.76)",NA,"1.25 (0.58 to    2.70)",NA
"9","Osimertinib + chemotherapy","2.99 (0.91 to     9.85)","3.92 (2.04 to    7.53)","2.12 (0.37 to    12.14)","1.45 (0.42 to    5.02)","3.30 (0.95 to   11.41)","3.94 (2.05 to    7.59)","2.39 (0.37 to    15.50)","1.48 (0.41 to    5.32)","3.30 (0.95 to   11.41)","3.94 (2.05 to    7.59)","2.39 (0.37 to    15.50)","1.48 (0.41 to    5.32)","3.30 (0.95 to   11.41)","3.94 (2.05 to    7.59)","2.39 (0.37 to    15.50)","1.48 (0.41 to   5.32)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.30 (0.95 to   11.41)",NA,"3.94 (2.05 to    7.59)",NA,"2.39 (0.37 to    15.32)",NA,"1.48 (0.42 to    5.30)",NA,"2.84 (0.25 to  32.87)",NA,"3.91 (1.72 to    8.90)",NA,"14.19 (0.57 to  350.84)",NA,"3.65 (0.81 to    16.57)",NA,"2.71 (0.83 to    8.87)",NA,"2.20 (0.67 to     7.25)",NA,"1.73 (0.03 to   119.08)",NA,"0.83 (0.18 to    3.78)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.79 (0.21 to    2.97)","1.33 ( 0.58 to   3.04)","3.30 (0.95 to   11.41)",NA,"3.94 (2.05 to    7.59)",NA,"2.39 (0.37 to    15.32)",NA,"1.48 (0.42 to    5.30)",NA
"10","Chemotherapy","1.33 (0.69 to     2.56)","1.56 (0.86 to    2.83)","1.50 (0.62 to     3.58)","1.85 (0.92 to    3.72)","1.34 (0.69 to    2.61)","1.58 (0.86 to    2.89)","1.54 (0.62 to     3.79)","1.86 (0.92 to    3.74)","1.34 (0.69 to    2.61)","1.58 (0.86 to    2.89)","1.54 (0.62 to     3.79)","1.86 (0.92 to    3.74)","1.34 (0.69 to    2.61)","1.58 (0.86 to    2.89)","1.54 (0.62 to     3.79)","1.86 (0.92 to   3.74)","1.26 (0.65 to    2.43)","1.73 (1.00 to    3.01)","1.49 (0.58 to    3.80)","1.82 (0.90 to   3.66)","1.26 (0.65 to    2.43)","1.73 (1.00 to    3.01)","1.49 (0.58 to    3.80)","1.82 (0.90 to    3.66)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.34 (0.69 to    2.61)","1.26 (0.65 to    2.43)","1.58 (0.86 to    2.89)","1.73 (1.00 to    3.01)","1.53 (0.62 to     3.77)","1.46 (0.57 to    3.75)","1.86 (0.92 to    3.73)","1.82 (0.87 to    3.82)","2.41 (0.68 to   8.60)","1.95 (0.58 to    6.57)","2.65 (0.93 to    7.57)","2.97 (1.27 to    6.97)","2.08 (0.32 to   13.31)","1.85 (0.30 to  11.62)","2.08 (0.32 to    13.31)","1.85 (0.30 to   11.62)","1.45 (0.79 to    2.69)","1.39 (0.73 to    2.62)","1.40 (0.74 to     2.65)","1.34 (0.69 to    2.59)","1.25 (0.02 to    80.93)","2.11 (0.04 to  111.25)","1.73 (0.53 to    5.72)","1.91 (0.68 to   5.33)","1.24 (0.65 to    2.37)","1.72 (1.00 to    2.96)","1.44 (0.58 to    3.58)","1.81 (0.91 to   3.63)","1.26 (0.65 to    2.43)","1.73 (1.00 to    3.01)","1.49 (0.58 to    3.80)","1.82 (0.90 to    3.66)","1.66 (0.56 to    4.97)","1.69 ( 1.00 to   2.87)","1.34 (0.69 to    2.61)","1.28 (0.66 to    2.49)","1.58 (0.86 to    2.89)","1.83 (1.05 to    3.18)","1.53 (0.62 to     3.77)","1.45 (0.56 to    3.78)","1.86 (0.92 to    3.73)","1.82 (0.86 to    3.84)"
