"Therapy","cardiac serious (0)","cardiac total (0)","vascular serious (0)","vascular total (0)","cardiac serious (dose)","cardiac total (dose)","vascular serious (dose)","vascular total (dose)","cardiac serious (dose)-1","cardiac total (dose)-1","vascular serious (dose)-1","vascular total (dose)-1","cardiac serious (dose)-2","cardiac total (dose)-2","vascular serious (dose)-2","vascular total (dose)-2","cardiac serious (dose)-2gen","cardiac total (dose)-2gen","vascular serious (dose)-2gen","vascular total (dose)-2gen","cardiac serious (dose)-1gen","cardiac total (dose)-1gen","vascular serious (dose)-1gen","vascular total (dose)-1gen","cardiac serious (antiangio)","cardiac serious (MET)","cardiac serious (IGF-1R)","cardiac total (antiangio)","cardiac total (MET)","cardiac total (IGF-1R)","vascular serious (antiangio)","vascular serious (MET)","vascular serious (IGF-1R)","vascular total (antiangio)","vascular total (MET)","vascular total (IGF-1R)","Serious Cardiac","Serious Cardiac (Gen)","Total Cardiac","Total Cardiac (Gen)","Serious Vascular","Serious Vascular (Gen)","Total Vascular","Total Vascular (Gen)","Serious Arrhythmias","Serious Arrhythmias (Gen)","Total Arrhythmias","Total Arrhythmias (Gen)","Serious Heart Failure","Serious Heart Failure (Gen)","Total Heart Failure","Total Heart Failure (Gen)","Serious Vascular Toxicity","Serious Vascular Toxicity (Gen)","Total Vascular Toxicity","Total Vascular Toxicity (Gen)","Serious Hypertension","Serious Hypertension (Gen)","Total Hypertension","Total Hypertension (Gen)","cardiac serious (0)-gen","cardiac total (0)-gen","vascular serious (0)-gen","vascular total (0)-gen","cardiac serious (dose)-gen","cardiac total (dose)-gen","vascular serious (dose)-gen","vascular total (dose)-gen","Total Hypertension (funnel)","Total Vascular (funnel)","Serious Cardiac (G-E)","Serious Cardiac (G-E)-Gen","Total Cardiac (G-E)","Total Cardiac (G-E)-Gen","Serious Vascular (G-E)","Serious Vascular (G-E)-Gen","Total Vascular (G-E)","Total Vascular (G-E)-Gen"
"Osimertinib + antiangiogenesis","4.92 (0.97 to    24.95)(Moderate)","7.21 (3.20 to   16.24)(High)","1.72 (0.34 to     8.61)(Low)","7.25 (2.38 to   22.08)(Moderate)","5.96 (1.06 to   33.50)(High)","7.43 (3.28 to   16.84)(High)","1.75 (0.34 to     9.12)(Low)","7.27 (2.37 to   22.32)(Moderate)","5.96 (1.06 to   33.50)(High)","7.43 (3.28 to   16.84)(High)","1.75 (0.34 to     9.12)(Low)","7.27 (2.37 to   22.32)(Moderate)","5.96 (1.06 to   33.50)(High)","7.43 (3.28 to   16.84)(High)","1.75 (0.34 to     9.12)(Low)","7.27 (2.37 to  22.32)(Moderate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.96 (1.06 to   33.50)(High)",NA,"7.43 (3.28 to   16.84)(High)",NA,"1.74 (0.34 to     9.02)(Low)",NA,"7.26 (2.37 to   22.25)(Moderate)",NA,"10.49 (0.83 to 132.29)(Moderate)",NA,"7.52 (2.90 to   19.48)(High)",NA,"8.11 (0.29 to  225.16)(Low)",NA,"13.96 (1.59 to   122.88)(Moderate)",NA,"0.59 (0.11 to    3.23)(Low)",NA,"0.61 (0.10 to     3.56)(Low)",NA,"1.49 (0.09 to    23.63)(Low)",NA,"5.37 (1.30 to   22.28)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.02 (1.08 to   14.97)(Low)","6.30 ( 2.75 to  14.43)(Moderate)","5.96 (1.06 to   33.50)(High)",NA,"7.43 (3.28 to   16.84)(High)",NA,"1.74 (0.34 to     9.02)(Low)",NA,"7.26 (2.37 to   22.25)(Moderate)",NA
"Antiangiogenesis","4.75 (1.88 to    12.01)(Moderate)","6.97 (2.93 to   16.55)(Moderate)","3.34 (0.96 to    11.68)(Very low)","5.75 (2.41 to   13.72)(Moderate)","5.07 (1.97 to   13.09)(Moderate)","7.01 (2.94 to   16.68)(Moderate)","3.46 (0.95 to    12.61)(Very low)","5.79 (2.41 to   13.91)(Moderate)","5.07 (1.97 to   13.09)(Moderate)","7.01 (2.94 to   16.68)(Moderate)","3.46 (0.95 to    12.61)(Very low)","5.79 (2.41 to   13.91)(Moderate)","5.07 (1.97 to   13.09)(Moderate)","7.01 (2.94 to   16.68)(Moderate)","3.46 (0.95 to    12.61)(Very low)","5.79 (2.41 to  13.91)(Moderate)","4.68 (1.89 to   11.64)(Moderate)","7.99 (3.56 to   17.89)(Moderate)","3.55 (0.92 to   13.65)(Very low)","5.52 (2.30 to  13.30)(Moderate)","4.68 (1.89 to   11.64)(Moderate)","7.99 (3.56 to   17.89)(Moderate)","3.55 (0.92 to   13.65)(Very low)","5.52 (2.30 to   13.30)(Moderate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.07 (1.97 to   13.09)(Moderate)","4.68 (1.89 to   11.64)(Moderate)","7.01 (2.94 to   16.68)(Moderate)","7.99 (3.56 to   17.89)(Moderate)","3.44 (0.95 to    12.41)(Very low)","3.37 (0.87 to   13.13)(Very low)","5.78 (2.41 to   13.86)(Moderate)","5.40 (2.10 to   13.91)(Moderate)","4.92 (1.25 to  19.39)(Moderate)","4.75 (1.27 to   17.76)(Moderate)","8.78 (2.43 to   31.65)(Moderate)","10.45 (3.60 to   30.35)(Moderate)","16.13 (0.64 to  403.89)(Low)","13.17 (0.59 to 295.83)(Low)","9.99 (0.78 to   128.33)(Very low)","8.15 (0.73 to   91.25)(Low)","1.61 (0.74 to    3.50)(Low)","1.36 (0.60 to    3.10)(Very low)","1.82 (0.78 to     4.24)(Low)","1.57 (0.65 to    3.81)(Low)","5.52 (0.44 to    68.94)(Low)","8.60 (0.86 to   86.38)(Low)","6.11 (2.35 to   15.90)(Moderate)","5.98 (2.33 to  15.31)(Moderate)","4.44 (1.81 to   10.87)(Moderate)","7.94 (3.55 to   17.78)(Moderate)","3.47 (0.94 to   12.82)(Very low)","5.49 (2.30 to  13.07)(Moderate)","4.68 (1.89 to   11.64)(Moderate)","7.99 (3.56 to   17.89)(Moderate)","3.55 (0.92 to   13.65)(Very low)","5.52 (2.30 to   13.30)(Moderate)","6.13 (2.89 to   13.00)(Moderate)","4.11 ( 2.36 to   7.13)(Moderate)","5.07 (1.97 to   13.09)(Moderate)","4.85 (1.94 to   12.09)(Moderate)","7.01 (2.94 to   16.68)(Moderate)","8.52 (3.79 to   19.14)(Moderate)","3.44 (0.95 to    12.41)(Very low)","3.38 (0.85 to   13.46)(Very low)","5.78 (2.41 to   13.86)(Moderate)","5.39 (2.06 to   14.10)(Moderate)"
"Almonertinib","2.75 (0.53 to    14.29)(Low)","1.43 (0.62 to    3.27)(Low)","21.10 (0.83 to   539.08)(Low)","2.29 (0.62 to    8.40)(Low)","2.70 (0.51 to   14.22)(Low)","1.43 (0.61 to    3.35)(Low)","20.89 (0.79 to   553.64)(Low)","2.29 (0.62 to    8.51)(Low)","2.70 (0.51 to   14.22)(Low)","1.43 (0.61 to    3.35)(Low)","20.89 (0.79 to   553.64)(Low)","2.29 (0.62 to    8.51)(Low)","2.70 (0.51 to   14.22)(Low)","1.43 (0.61 to    3.35)(Low)","20.89 (0.79 to   553.64)(Low)","2.29 (0.62 to   8.51)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.70 (0.51 to   14.22)(Low)",NA,"1.43 (0.61 to    3.35)(Low)",NA,"20.89 (0.79 to   549.59)(Low)",NA,"2.29 (0.62 to    8.48)(Low)",NA,"5.14 (0.36 to  73.02)(Low)",NA,"2.45 (0.51 to   11.75)(Low)",NA,"0.83 (0.02 to   37.45)(Low)",NA,"0.83 (0.02 to    37.45)(Low)",NA,"22.81 (1.24 to  418.07)(High)",NA,"22.72 (1.21 to   427.90)(High)",NA,NA,NA,"1.22 (0.24 to    6.20)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.27 (0.30 to    5.28)(Low)","2.14 ( 0.87 to   5.24)(Moderate)","2.70 (0.51 to   14.22)(Low)",NA,"1.43 (0.61 to    3.35)(Low)",NA,"20.89 (0.79 to   549.59)(Low)",NA,"2.29 (0.62 to    8.48)(Low)",NA
"Furmonertinib","1.70 (0.46 to     6.27)(Low)","1.47 (0.56 to    3.89)(Low)","0.96 (0.01 to    65.36)(Low)","1.05 (0.02 to   61.85)(Low)","1.67 (0.45 to    6.26)(Low)","1.48 (0.55 to    3.96)(Low)",NA,NA,"1.67 (0.45 to    6.26)(Low)","1.48 (0.55 to    3.96)(Low)",NA,NA,"1.67 (0.45 to    6.26)(Low)","1.48 (0.55 to    3.96)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.67 (0.45 to    6.26)(Low)",NA,"1.48 (0.55 to    3.96)(Low)",NA,NA,NA,NA,NA,"4.24 (0.55 to  32.62)(Low)",NA,"2.70 (0.52 to   13.97)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.67 (0.45 to    6.26)(Low)",NA,"1.48 (0.55 to    3.96)(Low)",NA,NA,NA,NA,NA
"Lazertinib","1.79 (0.67 to     4.77)(Low)","2.83 (1.17 to    6.88)(Moderate)","1.25 (0.33 to     4.76)(Low)","1.37 (0.54 to    3.51)(Low)","1.78 (0.67 to    4.76)(Low)","2.84 (1.17 to    6.91)(Moderate)","1.25 (0.31 to     4.98)(Low)","1.37 (0.53 to    3.54)(Low)","1.78 (0.67 to    4.76)(Low)","2.84 (1.17 to    6.91)(Moderate)","1.25 (0.31 to     4.98)(Low)","1.37 (0.53 to    3.54)(Low)","1.78 (0.67 to    4.76)(Low)","2.84 (1.17 to    6.91)(Moderate)","1.25 (0.31 to     4.98)(Low)","1.37 (0.53 to   3.54)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.78 (0.67 to    4.76)(Low)",NA,"2.84 (1.17 to    6.91)(Moderate)",NA,"1.25 (0.32 to     4.93)(Low)",NA,"1.37 (0.53 to    3.53)(Low)",NA,"3.50 (0.42 to  29.04)(Low)",NA,"5.26 (0.83 to   33.23)(Low)",NA,"1.44 (0.20 to   10.60)(Low)",NA,"1.44 (0.20 to    10.60)(Low)",NA,"1.64 (0.72 to    3.72)(Low)",NA,"1.67 (0.78 to     3.59)(Low)",NA,"1.01 (0.05 to    20.61)(Low)",NA,"0.88 (0.23 to    3.35)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.88 (0.27 to    2.94)(Low)","1.28 ( 0.69 to   2.39)(Low)","1.78 (0.67 to    4.76)(Low)",NA,"2.84 (1.17 to    6.91)(Moderate)",NA,"1.25 (0.32 to     4.93)(Low)",NA,"1.37 (0.53 to    3.53)(Low)",NA
"Gefitinib","1.22 (0.63 to     2.40)(Low)","1.28 (0.67 to    2.46)(Low)","0.95 (0.38 to     2.41)(Low)","1.05 (0.53 to    2.06)(Low)","1.20 (0.60 to    2.42)(Low)","1.29 (0.65 to    2.53)(Low)","0.94 (0.36 to     2.46)(Low)","1.05 (0.53 to    2.07)(Low)","1.20 (0.60 to    2.42)(Low)","1.29 (0.65 to    2.53)(Low)","0.94 (0.36 to     2.46)(Low)","1.05 (0.53 to    2.07)(Low)","1.20 (0.60 to    2.42)(Low)","1.29 (0.65 to    2.53)(Low)","0.94 (0.36 to     2.46)(Low)","1.05 (0.53 to   2.07)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,"0.98 (0.30 to    3.22)(Very low)","0.98 (0.30 to  3.22)(Very low)","0.98 (0.30 to   3.22)(Very low)","0.78 (0.25 to    2.44)(Low)","0.98 (0.30 to  3.22)(Very low)","0.98 (0.30 to   3.22)(Very low)","1.01 (0.21 to    4.84)(Low)","1.48 (0.46 to  4.73)(Very low)","1.48 (0.46 to   4.73)(Very low)","0.96 (0.28 to    3.23)(Low)","1.49 (0.46 to  4.84)(Very low)","1.48 (0.46 to   4.73)(Very low)","1.20 (0.60 to    2.42)(Low)",NA,"1.29 (0.65 to    2.53)(Low)",NA,"0.94 (0.36 to     2.45)(Low)",NA,"1.05 (0.53 to    2.07)(Low)",NA,"3.05 (0.55 to  16.82)(Low)",NA,"2.35 (0.54 to   10.30)(Low)",NA,"2.48 (0.32 to   19.53)(Low)",NA,"2.48 (0.32 to    19.53)(Low)",NA,"0.86 (0.44 to    1.65)(Low)",NA,"0.85 (0.45 to     1.61)(Low)",NA,"0.96 (0.10 to     8.88)(Low)",NA,"0.97 (0.26 to    3.62)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.00 (0.30 to    3.33)(Low)","0.98 ( 0.58 to   1.64)(Low)","1.20 (0.60 to    2.42)(Low)",NA,"1.29 (0.65 to    2.53)(Low)",NA,"0.94 (0.36 to     2.45)(Low)",NA,"1.05 (0.53 to    2.07)(Low)",NA
"Erlotinib + chemotherapy","1.66 (0.59 to     4.61)(Low)","1.80 (0.72 to    4.51)(Low)","0.92 (0.22 to     3.82)(Low)","1.22 (0.40 to    3.67)(Low)","1.68 (0.60 to    4.68)(Low)","1.81 (0.72 to    4.55)(Low)","0.93 (0.22 to     4.02)(Low)","1.22 (0.40 to    3.71)(Low)","1.68 (0.60 to    4.68)(Low)","1.81 (0.72 to    4.55)(Low)","0.93 (0.22 to     4.02)(Low)","1.22 (0.40 to    3.71)(Low)","1.68 (0.60 to    4.68)(Low)","1.81 (0.72 to    4.55)(Low)","0.93 (0.22 to     4.02)(Low)","1.22 (0.40 to   3.71)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.68 (0.60 to    4.68)(Low)",NA,"1.81 (0.72 to    4.55)(Low)",NA,"0.93 (0.22 to     3.98)(Low)",NA,"1.22 (0.40 to    3.70)(Low)",NA,"2.80 (0.47 to  16.75)(Low)",NA,"3.43 (0.77 to   15.16)(Very low)",NA,"1.08 (0.09 to   12.64)(Low)",NA,"1.08 (0.09 to    12.64)(Low)",NA,"1.25 (0.42 to    3.70)(Low)",NA,"0.80 (0.28 to     2.30)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07 ( 0.47 to   2.47)(Low)","1.68 (0.60 to    4.68)(Low)",NA,"1.81 (0.72 to    4.55)(Low)",NA,"0.93 (0.22 to     3.98)(Low)",NA,"1.22 (0.40 to    3.70)(Low)",NA
"Afatinib","1.17 (0.62 to     2.23)(Low)","1.29 (0.68 to    2.44)(Low)","1.38 (0.52 to     3.66)(Low)","1.25 (0.58 to    2.68)(Low)","1.18 (0.62 to    2.24)(Low)","1.30 (0.69 to    2.45)(Low)","1.39 (0.51 to     3.79)(Low)","1.25 (0.58 to    2.70)(Low)","1.18 (0.62 to    2.24)(Low)","1.30 (0.69 to    2.45)(Low)","1.39 (0.51 to     3.79)(Low)","1.25 (0.58 to    2.70)(Low)","1.18 (0.62 to    2.24)(Low)","1.30 (0.69 to    2.45)(Low)","1.39 (0.51 to     3.79)(Low)","1.25 (0.58 to   2.70)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,"2.27 (0.70 to    7.34)(Very low)","2.27 (0.70 to  7.34)(Very low)","2.27 (0.70 to   7.34)(Very low)","2.27 (0.68 to    7.55)(Low)","2.27 (0.70 to  7.34)(Very low)","2.27 (0.70 to   7.34)(Very low)","3.19 (0.42 to   24.33)(Low)","3.19 (0.83 to 12.29)(Very low)","3.19 (0.83 to  12.29)(Very low)","3.19 (0.61 to   16.78)(Low)","3.19 (0.81 to 12.53)(Very low)","3.19 (0.83 to  12.29)(Very low)","1.18 (0.62 to    2.24)(Low)",NA,"1.30 (0.69 to    2.45)(Low)",NA,"1.39 (0.51 to     3.76)(Low)",NA,"1.25 (0.58 to    2.70)(Low)",NA,"2.60 (0.83 to   8.20)(Moderate)",NA,"3.08 (1.01 to    9.40)(High)",NA,"1.23 (0.32 to    4.79)(Low)",NA,"1.23 (0.32 to     4.79)(Low)",NA,"1.28 (0.69 to    2.36)(Low)",NA,"1.28 (0.65 to     2.50)(Low)",NA,"0.40 (0.04 to     4.27)(Low)",NA,"0.72 (0.19 to    2.71)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.71 (0.21 to    2.38)(Low)","1.11 ( 0.63 to   1.95)(Very low)","1.18 (0.62 to    2.24)(Low)",NA,"1.30 (0.69 to    2.45)(Low)",NA,"1.39 (0.51 to     3.76)(Low)",NA,"1.25 (0.58 to    2.70)(Low)",NA
"Osimertinib + chemotherapy","2.99 (0.91 to     9.85)(Low)","3.92 (2.04 to    7.53)(Moderate)","2.12 (0.37 to    12.14)(Low)","1.45 (0.42 to    5.02)(Low)","3.30 (0.95 to   11.41)(Low)","3.94 (2.05 to    7.59)(Moderate)","2.39 (0.37 to    15.50)(Low)","1.48 (0.41 to    5.32)(Low)","3.30 (0.95 to   11.41)(Low)","3.94 (2.05 to    7.59)(Moderate)","2.39 (0.37 to    15.50)(Low)","1.48 (0.41 to    5.32)(Low)","3.30 (0.95 to   11.41)(Low)","3.94 (2.05 to    7.59)(Moderate)","2.39 (0.37 to    15.50)(Low)","1.48 (0.41 to   5.32)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.30 (0.95 to   11.41)(Low)",NA,"3.94 (2.05 to    7.59)(Moderate)",NA,"2.39 (0.37 to    15.32)(Low)",NA,"1.48 (0.42 to    5.30)(Low)",NA,"2.84 (0.25 to  32.87)(Low)",NA,"3.91 (1.72 to    8.90)(Moderate)",NA,"14.19 (0.57 to  350.84)(Low)",NA,"3.65 (0.81 to    16.57)(Very low)",NA,"2.71 (0.83 to    8.87)(Low)",NA,"2.20 (0.67 to     7.25)(Low)",NA,"1.73 (0.03 to   119.08)(Low)",NA,"0.83 (0.18 to    3.78)(Low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.79 (0.21 to    2.97)(Low)","1.33 ( 0.58 to   3.04)(Low)","3.30 (0.95 to   11.41)(Low)",NA,"3.94 (2.05 to    7.59)(Moderate)",NA,"2.39 (0.37 to    15.32)(Low)",NA,"1.48 (0.42 to    5.30)(Low)",NA
"Chemotherapy","1.33 (0.69 to     2.56)(Low)","1.56 (0.86 to    2.83)(Low)","1.50 (0.62 to     3.58)(Low)","1.85 (0.92 to    3.72)(Very low)","1.34 (0.69 to    2.61)(Low)","1.58 (0.86 to    2.89)(Low)","1.54 (0.62 to     3.79)(Low)","1.86 (0.92 to    3.74)(Very low)","1.34 (0.69 to    2.61)(Low)","1.58 (0.86 to    2.89)(Low)","1.54 (0.62 to     3.79)(Low)","1.86 (0.92 to    3.74)(Very low)","1.34 (0.69 to    2.61)(Low)","1.58 (0.86 to    2.89)(Low)","1.54 (0.62 to     3.79)(Low)","1.86 (0.92 to   3.74)(Very low)","1.26 (0.65 to    2.43)(Low)","1.73 (1.00 to    3.01)(Low)","1.49 (0.58 to    3.80)(Low)","1.82 (0.90 to   3.66)(Very low)","1.26 (0.65 to    2.43)(Low)","1.73 (1.00 to    3.01)(Low)","1.49 (0.58 to    3.80)(Low)","1.82 (0.90 to    3.66)(Very low)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.34 (0.69 to    2.61)(Low)","1.26 (0.65 to    2.43)(Low)","1.58 (0.86 to    2.89)(Low)","1.73 (1.00 to    3.01)(Low)","1.53 (0.62 to     3.77)(Low)","1.46 (0.57 to    3.75)(Low)","1.86 (0.92 to    3.73)(Very low)","1.82 (0.87 to    3.82)(Very low)","2.41 (0.68 to   8.60)(Low)","1.95 (0.58 to    6.57)(Low)","2.65 (0.93 to    7.57)(Low)","2.97 (1.27 to    6.97)(Moderate)","2.08 (0.32 to   13.31)(Low)","1.85 (0.30 to  11.62)(Low)","2.08 (0.32 to    13.31)(Low)","1.85 (0.30 to   11.62)(Low)","1.45 (0.79 to    2.69)(Low)","1.39 (0.73 to    2.62)(Very low)","1.40 (0.74 to     2.65)(Low)","1.34 (0.69 to    2.59)(Low)","1.25 (0.02 to    80.93)(Low)","2.11 (0.04 to  111.25)(Low)","1.73 (0.53 to    5.72)(Low)","1.91 (0.68 to   5.33)(Low)","1.24 (0.65 to    2.37)(Low)","1.72 (1.00 to    2.96)(Moderate)","1.44 (0.58 to    3.58)(Low)","1.81 (0.91 to   3.63)(Very low)","1.26 (0.65 to    2.43)(Low)","1.73 (1.00 to    3.01)(Low)","1.49 (0.58 to    3.80)(Low)","1.82 (0.90 to    3.66)(Very low)","1.66 (0.56 to    4.97)(Low)","1.69 ( 1.00 to   2.87)(Low)","1.34 (0.69 to    2.61)(Low)","1.28 (0.66 to    2.49)(Low)","1.58 (0.86 to    2.89)(Low)","1.83 (1.05 to    3.18)(Moderate)","1.53 (0.62 to     3.77)(Low)","1.45 (0.56 to    3.78)(Low)","1.86 (0.92 to    3.73)(Very low)","1.82 (0.86 to    3.84)(Very low)"
