"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".","6.15 (0.73 to  52.01)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.64 (0.23 to   30.04)","Antiangiogenesis",".",".",".",".",".",".",".",".",".","3.17 (1.25 to   8.00)",".",".",".",".",".",".","."
"3.40 (0.26 to   44.67)","1.29 (0.27 to    6.14)","Zorifertinib",".",".",".",".",".",".",".",".","2.46 (0.70 to   8.68)",".",".",".",".",".",".","."
"3.69 (0.19 to   70.29)","1.40 (0.13 to   14.52)","1.09 (0.09 to   13.13)","3rd-generation EGFR TKIs + chemotherapy",".","1.67 (0.22 to  12.70)",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.94 (0.33 to   73.21)","1.87 (0.32 to   10.99)","1.46 (0.20 to   10.39)","1.34 (0.10 to   18.29)","1st-generation EGFR TKIs + chemotherapy",".","1.03 (0.10 to  10.08)",".",".",".",".","2.06 (0.37 to  11.63)",".",".",".",".",".",".","."
"6.15 (0.73 to   52.01)","2.33 (0.73 to    7.46)","1.81 (0.43 to    7.67)","1.67 (0.22 to   12.70)","1.24 (0.24 to    6.45)","3rd-generation EGFR TKIs","1.14 (0.17 to   7.83)",".",".",".","1.31 (0.23 to   7.62)","1.40 (0.63 to   3.13)",".",".",".","1.66 (0.30 to   9.21)",".",".","."
"6.44 (0.61 to   67.91)","2.44 (0.71 to    8.42)","1.90 (0.42 to    8.53)","1.74 (0.18 to   16.76)","1.30 (0.27 to    6.27)","1.05 (0.39 to    2.83)","Chemotherapy","6.23 (0.25 to 154.18)",".",".",".","1.14 (0.44 to   2.98)",".",".",".",".",".",".","."
"7.84 (0.75 to   81.50)","2.97 (0.92 to    9.54)","2.31 (0.54 to    9.80)","2.12 (0.22 to   20.10)","1.59 (0.30 to    8.34)","1.27 (0.49 to    3.34)","1.22 (0.43 to    3.48)","2nd-generation EGFR TKIs",".",".",".","1.24 (0.56 to   2.74)",".",".",".","1.38 (0.34 to   5.54)","2.96 (0.12 to  73.82)",".","3.48 (0.14 to  88.40)"
"8.03 (0.46 to  140.83)","3.04 (0.41 to   22.52)","2.36 (0.27 to   20.84)","2.17 (0.13 to   35.35)","1.62 (0.16 to   16.69)","1.30 (0.19 to    8.81)","1.25 (0.18 to    8.82)","1.02 (0.15 to    6.93)","DHFR inhibitor",".",".","1.04 (0.18 to   6.15)",".",".",".",".",".",".","."
"8.20 (0.33 to  203.99)","3.10 (0.26 to   36.95)","2.41 (0.18 to   33.14)","2.22 (0.10 to   51.64)","1.66 (0.11 to   25.90)","1.33 (0.12 to   14.73)","1.27 (0.11 to   14.60)","1.05 (0.09 to   11.58)","1.02 (0.06 to   18.62)","Rociletinib",".","1.02 (0.10 to  10.15)",".",".",".",".",".",".","."
"8.08 (0.51 to  128.41)","3.06 (0.37 to   25.21)","2.38 (0.24 to   23.14)","2.19 (0.15 to   32.14)","1.63 (0.15 to   18.18)","1.31 (0.23 to    7.62)","1.25 (0.17 to    9.47)","1.03 (0.14 to    7.66)","1.01 (0.07 to   13.50)","0.99 (0.05 to   19.37)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".","."
"8.37 (0.88 to   79.20)","3.17 (1.25 to    8.00)","2.46 (0.70 to    8.68)","2.27 (0.26 to   19.45)","1.69 (0.37 to    7.65)","1.36 (0.67 to    2.75)","1.30 (0.57 to    2.96)","1.07 (0.52 to    2.17)","1.04 (0.18 to    6.15)","1.02 (0.10 to   10.15)","1.04 (0.16 to    6.89)","1st-generation EGFR TKIs","1.03 (0.43 to   2.45)","1.05 (0.29 to   3.78)","1.10 (0.23 to   5.30)","2.08 (0.47 to   9.08)",".","1.62 (0.60 to   4.36)","."
"8.59 (0.77 to   95.64)","3.25 (0.91 to   11.58)","2.53 (0.55 to   11.68)","2.33 (0.23 to   23.65)","1.74 (0.30 to    9.91)","1.40 (0.46 to    4.27)","1.33 (0.40 to    4.41)","1.10 (0.36 to    3.37)","1.07 (0.15 to    7.72)","1.05 (0.09 to   12.22)","1.06 (0.13 to    8.55)","1.03 (0.43 to    2.45)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".","."
"8.82 (0.66 to  116.98)","3.34 (0.69 to   16.17)","2.60 (0.43 to   15.60)","2.39 (0.20 to   29.11)","1.78 (0.25 to   12.88)","1.43 (0.33 to    6.16)","1.37 (0.30 to    6.25)","1.12 (0.26 to    4.85)","1.10 (0.12 to    9.78)","1.08 (0.08 to   14.90)","1.09 (0.11 to   10.73)","1.05 (0.29 to    3.78)","1.03 (0.22 to    4.81)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".","."
"9.20 (0.59 to  142.89)","3.48 (0.56 to   21.60)","2.71 (0.36 to   20.30)","2.49 (0.17 to   35.74)","1.86 (0.21 to   16.45)","1.49 (0.27 to    8.37)","1.43 (0.24 to    8.42)","1.17 (0.21 to    6.59)","1.15 (0.11 to   12.27)","1.12 (0.07 to   18.16)","1.14 (0.10 to   13.36)","1.10 (0.23 to    5.30)","1.07 (0.18 to    6.45)","1.04 (0.14 to    7.91)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".","."
