"2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".","0.29 (0.01 to   7.32)",".",".",".",".",".",".","."
"0.50 (0.02 to   15.81)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".","0.62 (0.23 to   1.66)",".",".",".",".",".",".",".",".",".",".","."
"0.85 (0.01 to   81.63)","1.71 (0.06 to   53.25)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".","0.34 (0.01 to   8.40)",".",".",".",".",".",".","."
"0.46 (0.02 to   13.56)","0.92 (0.24 to    3.61)","0.54 (0.02 to   15.59)","Placebo",".",".",".","0.48 (0.11 to   2.11)",".",".",".","0.73 (0.18 to   2.92)",".","0.60 (0.11 to   3.36)",".",".",".",".","."
"0.34 (0.01 to   13.21)","0.68 (0.11 to    4.34)","0.40 (0.01 to   15.20)","0.73 (0.12 to    4.57)","1st-generation EGFR TKIs + HER3 inhibitor",".",".","0.91 (0.19 to   4.39)",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.01 to   11.27)","0.65 (0.13 to    3.26)","0.38 (0.01 to   12.96)","0.70 (0.14 to    3.42)","0.96 (0.13 to    7.27)","1st-generation EGFR TKIs + IGF-1R inhibitor",".","0.95 (0.26 to   3.40)",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.01 to    9.69)","0.63 (0.17 to    2.36)","0.37 (0.01 to   11.13)","0.68 (0.19 to    2.46)","0.93 (0.16 to    5.63)","0.97 (0.21 to    4.57)","1st-generation EGFR TKIs + antiangiogenesis","0.97 (0.41 to   2.32)",".",".",".",".",".",".",".",".",".",".","."
"0.31 (0.01 to    8.43)","0.62 (0.23 to    1.66)","0.36 (0.01 to    9.69)","0.67 (0.26 to    1.70)","0.91 (0.19 to    4.39)","0.95 (0.26 to    3.40)","0.97 (0.41 to    2.32)","1st-generation EGFR TKIs",".","0.98 (0.10 to   9.75)","0.96 (0.16 to   5.67)","0.81 (0.37 to   1.79)","0.87 (0.34 to   2.28)","0.71 (0.32 to   1.59)","0.49 (0.09 to   2.74)",".","0.41 (0.12 to   1.43)","0.32 (0.13 to   0.80)","."
"0.30 (0.01 to   13.34)","0.60 (0.07 to    5.04)","0.35 (0.01 to   15.37)","0.64 (0.08 to    4.98)","0.88 (0.07 to   10.31)","0.92 (0.09 to    9.01)","0.94 (0.12 to    7.56)","0.97 (0.15 to    6.43)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".","0.76 (0.13 to   4.42)",".",".",".",".","."
"0.30 (0.01 to   16.95)","0.60 (0.05 to    7.36)","0.35 (0.01 to   19.54)","0.65 (0.05 to    7.81)","0.89 (0.06 to   14.43)","0.93 (0.07 to   12.88)","0.95 (0.08 to   11.12)","0.98 (0.10 to    9.75)","1.01 (0.05 to   19.94)","Rociletinib",".",".",".",".",".",".",".",".","."
"0.29 (0.01 to   12.64)","0.59 (0.08 to    4.51)","0.35 (0.01 to   14.55)","0.64 (0.09 to    4.76)","0.87 (0.08 to    9.36)","0.91 (0.10 to    8.12)","0.93 (0.13 to    6.74)","0.96 (0.16 to    5.67)","0.99 (0.07 to   13.34)","0.98 (0.05 to   17.87)","DHFR inhibitor",".",".",".",".",".",".",".","."
"0.29 (0.01 to    7.32)","0.58 (0.17 to    1.95)","0.34 (0.01 to    8.40)","0.62 (0.23 to    1.67)","0.85 (0.15 to    4.79)","0.89 (0.21 to    3.84)","0.91 (0.30 to    2.80)","0.94 (0.46 to    1.91)","0.97 (0.13 to    7.21)","0.96 (0.09 to   10.59)","0.98 (0.14 to    6.61)","2nd-generation EGFR TKIs","0.16 (0.01 to   3.97)",".",".",".",".",".","."
"0.24 (0.01 to    7.10)","0.47 (0.13 to    1.72)","0.28 (0.01 to    8.16)","0.51 (0.15 to    1.73)","0.70 (0.12 to    4.13)","0.73 (0.16 to    3.34)","0.75 (0.23 to    2.48)","0.77 (0.34 to    1.75)","0.80 (0.11 to    6.02)","0.79 (0.07 to    9.02)","0.80 (0.11 to    5.68)","0.82 (0.29 to    2.35)","Chemotherapy","0.87 (0.13 to   5.99)","0.97 (0.10 to   9.58)",".",".",".","."
"0.23 (0.01 to    6.61)","0.45 (0.13 to    1.53)","0.26 (0.01 to    7.59)","0.49 (0.17 to    1.39)","0.67 (0.12 to    3.75)","0.70 (0.16 to    3.00)","0.72 (0.23 to    2.19)","0.74 (0.36 to    1.49)","0.76 (0.13 to    4.42)","0.75 (0.07 to    8.30)","0.77 (0.11 to    5.18)","0.78 (0.30 to    2.06)","0.96 (0.35 to    2.59)","3rd-generation EGFR TKIs",".","0.60 (0.08 to   4.57)",".",".","0.16 (0.02 to   1.37)"
"0.18 (0.00 to    6.89)","0.36 (0.06 to    2.21)","0.21 (0.01 to    7.93)","0.39 (0.07 to    2.31)","0.54 (0.06 to    4.75)","0.56 (0.08 to    4.05)","0.58 (0.10 to    3.28)","0.59 (0.13 to    2.67)","0.61 (0.06 to    6.81)","0.60 (0.04 to    9.42)","0.62 (0.06 to    6.33)","0.63 (0.12 to    3.31)","0.77 (0.16 to    3.69)","0.80 (0.15 to    4.17)","1st-generation EGFR TKIs + chemotherapy",".",".",".","."
"0.14 (0.00 to    6.97)","0.27 (0.03 to    2.90)","0.16 (0.00 to    8.03)","0.29 (0.03 to    2.89)","0.40 (0.03 to    5.76)","0.42 (0.03 to    5.11)","0.43 (0.04 to    4.37)","0.44 (0.05 to    3.79)","0.46 (0.03 to    6.71)","0.45 (0.02 to   10.48)","0.46 (0.03 to    7.47)","0.47 (0.05 to    4.46)","0.57 (0.06 to    5.50)","0.60 (0.08 to    4.57)","0.75 (0.05 to   10.20)","3rd-generation EGFR TKIs + chemotherapy",".",".","."
"0.12 (0.00 to    4.31)","0.25 (0.05 to    1.24)","0.15 (0.00 to    4.96)","0.27 (0.06 to    1.30)","0.37 (0.05 to    2.77)","0.39 (0.06 to    2.32)","0.40 (0.09 to    1.82)","0.41 (0.12 to    1.43)","0.42 (0.04 to    4.09)","0.41 (0.03 to    5.69)","0.42 (0.05 to    3.73)","0.43 (0.10 to    1.84)","0.53 (0.12 to    2.37)","0.55 (0.13 to    2.34)","0.69 (0.10 to    4.90)","0.92 (0.08 to   11.11)","Zorifertinib",".","."
"0.10 (0.00 to    3.02)","0.19 (0.05 to    0.75)","0.11 (0.00 to    3.48)","0.21 (0.06 to    0.79)","0.29 (0.05 to    1.78)","0.30 (0.06 to    1.45)","0.31 (0.09 to    1.09)","0.32 (0.13 to    0.80)","0.33 (0.04 to    2.69)","0.32 (0.03 to    3.84)","0.33 (0.04 to    2.44)","0.34 (0.10 to    1.08)","0.41 (0.12 to    1.42)","0.43 (0.13 to    1.37)","0.53 (0.09 to    3.14)","0.72 (0.07 to    7.44)","0.78 (0.16 to    3.71)","Antiangiogenesis","."
"0.04 (0.00 to    1.99)","0.07 (0.01 to    0.86)","0.04 (0.00 to    2.30)","0.08 (0.01 to    0.86)","0.11 (0.01 to    1.69)","0.11 (0.01 to    1.50)","0.12 (0.01 to    1.29)","0.12 (0.01 to    1.13)","0.12 (0.01 to    1.97)","0.12 (0.00 to    3.03)","0.12 (0.01 to    2.18)","0.13 (0.01 to    1.33)","0.16 (0.01 to    1.64)","0.16 (0.02 to    1.37)","0.20 (0.01 to    2.99)","0.27 (0.01 to    5.15)","0.29 (0.02 to    3.87)","0.38 (0.03 to    4.30)","3rd-generation EGFR TKIs + antiangiogenesis"
