"Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","6.15 (0.73 to  52.01)",".",".",".",".",".",".",".",".",".",".",".","."
"2.13 (0.14 to  32.95)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","3.17 (1.25 to   8.00)",".",".",".",".",".",".",".",".","."
"2.04 (0.07 to  63.26)","0.96 (0.06 to  14.57)","Almonertinib",".",".","1.68 (0.22 to  12.85)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.48 (0.13 to  48.98)","1.16 (0.14 to   9.76)","1.21 (0.12 to  12.35)","Furmonertinib",".","1.39 (0.45 to   4.25)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.00 (0.19 to  48.54)","1.41 (0.14 to  14.21)","1.47 (0.08 to  27.82)","1.21 (0.11 to  13.39)","Lazertinib","0.33 (0.01 to   8.23)",".",".",".",".",".","1.98 (0.34 to  11.54)","3.37 (0.44 to  25.67)",".",".",".",".",".",".",".",".",".",".",".","."
"3.44 (0.22 to  54.63)","1.61 (0.26 to   9.85)","1.68 (0.22 to  12.85)","1.39 (0.45 to   4.25)","1.15 (0.14 to   9.61)","Gefitinib",".","3.04 (0.12 to  75.13)",".","0.76 (0.16 to   3.57)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.74 (0.20 to  69.57)","1.76 (0.30 to  10.43)","1.83 (0.10 to  32.60)","1.51 (0.15 to  15.47)","1.25 (0.10 to  15.50)","1.09 (0.14 to   8.36)","Erlotinib + chemotherapy",".",".","1.03 (0.10 to  10.08)",".",".",".",".",".","2.06 (0.37 to  11.63)",".",".",".",".",".",".",".",".","."
"4.03 (0.29 to  56.90)","1.89 (0.51 to   7.01)","1.97 (0.15 to  26.82)","1.63 (0.22 to  11.82)","1.34 (0.15 to  12.10)","1.17 (0.23 to   6.02)","1.08 (0.19 to   6.17)","Afatinib",".","0.16 (0.01 to   3.97)",".",".",".",".",".","2.39 (0.78 to   7.27)",".",".",".","2.96 (0.12 to  73.82)","3.48 (0.14 to  88.40)",".","2.54 (0.44 to  14.76)",".","."
"3.69 (0.19 to  70.29)","1.73 (0.12 to  24.73)","1.81 (0.06 to  52.57)","1.49 (0.08 to  27.42)","1.23 (0.08 to  18.44)","1.07 (0.07 to  15.79)","0.99 (0.06 to  17.02)","0.92 (0.07 to  11.92)","Osimertinib + chemotherapy",".",".",".","1.67 (0.22 to  12.70)",".",".",".",".",".",".",".",".",".",".",".","."
"4.35 (0.34 to  55.45)","2.04 (0.52 to   7.97)","2.13 (0.19 to  24.30)","1.76 (0.31 to  10.06)","1.45 (0.19 to  11.25)","1.27 (0.33 to   4.83)","1.16 (0.23 to   5.83)","1.08 (0.32 to   3.67)","1.18 (0.10 to  13.78)","Chemotherapy",".",".","0.87 (0.13 to   5.99)",".",".","1.05 (0.31 to   3.58)",".",".",".",".",".",".",".",".","."
