"Dacomitinib",".","0.50 (0.05 to   4.84)",".",".",".",".",".",".","0.69 (0.21 to   2.31)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.95 (0.22 to   4.12)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","0.62 (0.23 to   1.66)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.90 (0.24 to   3.41)","0.96 (0.23 to   3.94)","Placebo",".",".",".",".",".",".","0.48 (0.11 to   2.11)",".",".","0.60 (0.11 to   3.36)",".",".",".",".","0.39 (0.07 to   2.30)",".",".",".",".",".",".","."
"0.96 (0.09 to   9.80)","1.01 (0.10 to  10.50)","1.06 (0.13 to   8.38)","Gefitinib/Erlotinib",".",".",".",".",".",".",".",".","0.56 (0.12 to   2.63)",".","0.41 (0.12 to   1.43)",".",".",".",".",".",".",".",".",".","."
"1.21 (0.04 to  40.85)","1.28 (0.04 to  42.69)","1.34 (0.04 to  41.37)","1.26 (0.03 to  63.55)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.29 (0.01 to   7.32)",".",".",".",".",".",".","."
"1.03 (0.03 to  34.17)","1.09 (0.03 to  35.70)","1.14 (0.04 to  34.59)","1.08 (0.02 to  53.26)","0.85 (0.01 to  81.63)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".","0.34 (0.01 to   8.40)",".",".",".",".",".",".","."
"0.64 (0.09 to   4.34)","0.68 (0.11 to   4.34)","0.71 (0.11 to   4.59)","0.67 (0.05 to   9.40)","0.53 (0.01 to  21.76)","0.62 (0.02 to  25.05)","Erlotinib + HER3 inhibitor",".",".","0.91 (0.19 to   4.39)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.61 (0.11 to   3.29)","0.65 (0.13 to   3.26)","0.68 (0.13 to   3.46)","0.64 (0.05 to   7.64)","0.51 (0.01 to  18.59)","0.60 (0.02 to  21.40)","0.96 (0.13 to   7.27)","Erlotinib + IGF-1R inhibitor",".","0.95 (0.26 to   3.40)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.60 (0.15 to   2.41)","0.63 (0.17 to   2.36)","0.66 (0.17 to   2.51)","0.63 (0.06 to   6.20)","0.50 (0.02 to  16.01)","0.58 (0.02 to  18.41)","0.93 (0.16 to   5.63)","0.97 (0.21 to   4.57)","Erlotinib + antiangiogenesis","0.97 (0.41 to   2.32)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.58 (0.20 to   1.73)","0.62 (0.23 to   1.66)","0.64 (0.23 to   1.77)","0.61 (0.07 to   5.09)","0.48 (0.02 to  13.96)","0.57 (0.02 to  16.04)","0.91 (0.19 to   4.39)","0.95 (0.26 to   3.40)","0.97 (0.41 to   2.32)","Erlotinib","0.96 (0.16 to   5.67)","0.98 (0.10 to   9.75)",".",".",".","0.95 (0.28 to   3.23)",".","0.42 (0.14 to   1.27)","0.49 (0.09 to   2.74)",".",".",".",".","0.32 (0.13 to   0.80)","."
"0.56 (0.07 to   4.49)","0.59 (0.08 to   4.51)","0.62 (0.08 to   4.77)","0.58 (0.04 to   9.30)","0.46 (0.01 to  20.80)","0.54 (0.01 to  23.95)","0.87 (0.08 to   9.36)","0.91 (0.10 to   8.12)","0.93 (0.13 to   6.74)","0.96 (0.16 to   5.67)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.57 (0.04 to   7.26)","0.60 (0.05 to   7.36)","0.63 (0.05 to   7.76)","0.60 (0.03 to  13.62)","0.47 (0.01 to  27.80)","0.55 (0.01 to  32.06)","0.89 (0.06 to  14.43)","0.93 (0.07 to  12.88)","0.95 (0.08 to  11.12)","0.98 (0.10 to   9.75)","1.02 (0.06 to  18.62)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.53 (0.09 to   3.00)","0.56 (0.10 to   3.23)","0.59 (0.15 to   2.30)","0.56 (0.12 to   2.63)","0.44 (0.01 to  16.00)","0.52 (0.01 to  18.41)","0.83 (0.10 to   7.01)","0.87 (0.13 to   5.95)","0.89 (0.16 to   4.78)","0.91 (0.22 to   3.86)","0.95 (0.10 to   9.36)","0.93 (0.06 to  14.03)","Osimertinib","0.59 (0.08 to   4.48)",".","1.14 (0.17 to   7.83)","0.60 (0.08 to   4.57)",".",".",".","0.30 (0.04 to   2.26)",".",".",".","0.16 (0.02 to   1.37)"
"0.43 (0.03 to   5.23)","0.45 (0.04 to   5.57)","0.47 (0.05 to   4.66)","0.45 (0.04 to   5.34)","0.35 (0.01 to  19.64)","0.41 (0.01 to  22.64)","0.66 (0.04 to  10.90)","0.69 (0.05 to   9.74)","0.71 (0.06 to   8.41)","0.73 (0.07 to   7.38)","0.76 (0.04 to  14.05)","0.75 (0.03 to  19.42)","0.80 (0.12 to   5.57)","Lazertinib + Amivantamab",".",".",".",".",".",".","0.50 (0.09 to   2.93)",".",".",".","."
"0.39 (0.03 to   5.47)","0.41 (0.03 to   5.86)","0.43 (0.04 to   4.84)","0.41 (0.12 to   1.43)","0.32 (0.01 to  19.66)","0.38 (0.01 to  22.67)","0.61 (0.03 to  11.31)","0.63 (0.04 to  10.18)","0.65 (0.05 to   8.87)","0.67 (0.06 to   7.86)","0.69 (0.03 to  14.51)","0.68 (0.02 to  19.80)","0.73 (0.10 to   5.41)","0.91 (0.06 to  14.78)","Zorifertinib",".",".",".",".",".",".",".",".",".","."
"0.38 (0.09 to   1.60)","0.40 (0.10 to   1.62)","0.42 (0.12 to   1.48)","0.39 (0.05 to   3.15)","0.31 (0.01 to   9.88)","0.36 (0.01 to  11.36)","0.59 (0.09 to   3.78)","0.61 (0.12 to   3.10)","0.63 (0.17 to   2.36)","0.64 (0.24 to   1.75)","0.67 (0.09 to   5.15)","0.66 (0.05 to   8.06)","0.71 (0.18 to   2.83)","0.88 (0.09 to   8.44)","0.97 (0.08 to  11.04)","Chemotherapy",".","6.23 (0.25 to 154.18)","0.97 (0.10 to   9.58)","1.31 (0.28 to   6.12)",".",".",".",".","."
"0.32 (0.02 to   4.60)","0.34 (0.02 to   4.92)","0.35 (0.03 to   4.07)","0.33 (0.03 to   4.30)","0.26 (0.00 to  16.38)","0.31 (0.01 to  18.89)","0.50 (0.03 to   9.48)","0.52 (0.03 to   8.54)","0.53 (0.04 to   7.45)","0.55 (0.05 to   6.61)","0.57 (0.03 to  12.15)","0.56 (0.02 to  16.55)","0.60 (0.08 to   4.57)","0.75 (0.05 to  12.40)","0.82 (0.05 to  14.21)","0.85 (0.07 to   9.92)","Osimertinib + chemotherapy",".",".",".",".",".",".",".","."
"0.35 (0.09 to   1.39)","0.37 (0.09 to   1.43)","0.38 (0.12 to   1.21)","0.36 (0.04 to   3.31)","0.29 (0.01 to   7.32)","0.34 (0.01 to   8.40)","0.54 (0.09 to   3.37)","0.57 (0.12 to   2.75)","0.58 (0.16 to   2.07)","0.60 (0.24 to   1.51)","0.62 (0.08 to   4.61)","0.61 (0.05 to   7.26)","0.65 (0.14 to   3.14)","0.82 (0.08 to   8.89)","0.90 (0.07 to  11.37)","0.93 (0.27 to   3.14)","1.09 (0.08 to  14.19)","Afatinib",".","0.33 (0.01 to   8.14)",".",".",".",".","."
"0.32 (0.05 to   2.08)","0.34 (0.06 to   2.10)","0.36 (0.06 to   2.13)","0.34 (0.03 to   4.24)","0.27 (0.01 to  10.56)","0.31 (0.01 to  12.16)","0.50 (0.06 to   4.50)","0.53 (0.07 to   3.84)","0.54 (0.09 to   3.11)","0.55 (0.12 to   2.54)","0.58 (0.06 to   5.99)","0.57 (0.04 to   8.91)","0.61 (0.08 to   4.48)","0.76 (0.05 to  11.14)","0.83 (0.05 to  14.05)","0.86 (0.17 to   4.31)","1.01 (0.06 to  17.49)","0.93 (0.16 to   5.32)","Erlotinib + chemotherapy",".",".",".",".",".","."
"0.30 (0.05 to   1.92)","0.31 (0.05 to   1.98)","0.33 (0.06 to   1.81)","0.31 (0.03 to   3.25)","0.25 (0.01 to   9.21)","0.29 (0.01 to  10.60)","0.46 (0.05 to   4.23)","0.48 (0.06 to   3.61)","0.50 (0.08 to   2.94)","0.51 (0.11 to   2.41)","0.53 (0.05 to   5.62)","0.52 (0.03 to   8.33)","0.56 (0.10 to   3.24)","0.70 (0.06 to   7.66)","0.76 (0.05 to  10.97)","0.79 (0.21 to   3.01)","0.93 (0.06 to  13.67)","0.85 (0.17 to   4.38)","0.92 (0.12 to   7.04)","Gefitinib","3.00 (0.12 to  74.09)","0.72 (0.24 to   2.21)","0.59 (0.08 to   4.54)",".","."
"0.26 (0.03 to   2.67)","0.27 (0.03 to   2.84)","0.29 (0.03 to   2.37)","0.27 (0.03 to   2.89)","0.21 (0.00 to  10.70)","0.25 (0.01 to  12.33)","0.40 (0.03 to   5.66)","0.42 (0.04 to   5.00)","0.43 (0.04 to   4.27)","0.44 (0.05 to   3.70)","0.46 (0.03 to   7.34)","0.45 (0.02 to  10.32)","0.49 (0.08 to   2.91)","0.61 (0.11 to   3.40)","0.67 (0.05 to   9.76)","0.69 (0.09 to   5.34)","0.81 (0.05 to  12.16)","0.74 (0.08 to   6.70)","0.80 (0.06 to   9.94)","0.87 (0.10 to   7.32)","Lazertinib",".",".",".","."
"0.21 (0.02 to   1.89)","0.23 (0.03 to   1.95)","0.24 (0.03 to   1.82)","0.22 (0.02 to   3.02)","0.18 (0.00 to   7.86)","0.21 (0.00 to   9.06)","0.33 (0.03 to   3.98)","0.35 (0.03 to   3.48)","0.36 (0.04 to   2.93)","0.37 (0.05 to   2.49)","0.38 (0.03 to   5.21)","0.37 (0.02 to   7.46)","0.40 (0.05 to   3.24)","0.50 (0.04 to   7.08)","0.55 (0.03 to   9.91)","0.57 (0.10 to   3.26)","0.67 (0.04 to  12.33)","0.61 (0.08 to   4.46)","0.66 (0.06 to   6.77)","0.72 (0.24 to   2.21)","0.83 (0.07 to   9.14)","Furmonertinib",".",".","."
"0.18 (0.01 to   2.79)","0.19 (0.01 to   2.90)","0.19 (0.01 to   2.77)","0.18 (0.01 to   4.12)","0.15 (0.00 to   9.31)","0.17 (0.00 to  10.74)","0.28 (0.01 to   5.55)","0.29 (0.02 to   5.02)","0.29 (0.02 to   4.40)","0.30 (0.02 to   3.91)","0.32 (0.01 to   7.10)","0.31 (0.01 to   9.63)","0.33 (0.02 to   4.88)","0.41 (0.02 to   9.60)","0.45 (0.02 to  12.96)","0.47 (0.04 to   5.35)","0.55 (0.02 to  16.08)","0.51 (0.04 to   6.89)","0.55 (0.03 to   9.71)","0.59 (0.08 to   4.54)","0.68 (0.04 to  12.91)","0.82 (0.08 to   8.40)","Almonertinib",".","."
"0.18 (0.04 to   0.77)","0.19 (0.05 to   0.75)","0.20 (0.05 to   0.80)","0.19 (0.02 to   1.95)","0.15 (0.00 to   5.00)","0.18 (0.01 to   5.75)","0.29 (0.05 to   1.78)","0.30 (0.06 to   1.45)","0.31 (0.09 to   1.09)","0.32 (0.13 to   0.80)","0.33 (0.04 to   2.44)","0.32 (0.03 to   3.84)","0.35 (0.06 to   1.93)","0.43 (0.04 to   5.22)","0.47 (0.03 to   6.61)","0.49 (0.13 to   1.91)","0.58 (0.04 to   8.24)","0.53 (0.14 to   1.96)","0.57 (0.10 to   3.38)","0.62 (0.10 to   3.79)","0.71 (0.07 to   7.18)","0.86 (0.10 to   7.23)","1.04 (0.07 to  15.88)","Antiangiogenesis","."
"0.09 (0.01 to   1.35)","0.09 (0.01 to   1.44)","0.10 (0.01 to   1.20)","0.09 (0.01 to   1.27)","0.07 (0.00 to   4.67)","0.08 (0.00 to   5.39)","0.13 (0.01 to   2.76)","0.14 (0.01 to   2.49)","0.14 (0.01 to   2.19)","0.15 (0.01 to   1.95)","0.15 (0.01 to   3.53)","0.15 (0.00 to   4.77)","0.16 (0.02 to   1.37)","0.20 (0.01 to   3.62)","0.22 (0.01 to   4.14)","0.23 (0.02 to   2.93)","0.27 (0.01 to   5.15)","0.25 (0.02 to   3.50)","0.27 (0.01 to   4.96)","0.29 (0.02 to   4.63)","0.33 (0.02 to   5.40)","0.40 (0.02 to   7.98)","0.49 (0.02 to  15.16)","0.47 (0.03 to   7.25)","Osimertinib + antiangiogenesis"
