"Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".",".","0.47 (0.19 to   1.15)",".","0.41 (0.12 to   1.43)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.87 (0.23 to    3.21)","Dacomitinib",".",".","0.41 (0.12 to   1.42)",".",".","0.80 (0.38 to   1.71)",".","0.99 (0.10 to   9.56)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.98 (0.06 to   63.56)","2.29 (0.08 to   64.22)","Afatinib + HMGCR inhibitor",".",".",".",".",".","0.29 (0.01 to   7.32)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.79 (0.06 to   55.70)","2.06 (0.08 to   55.24)","0.90 (0.01 to   89.68)","Erlotinib + COX2 inhibitor",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.67 (0.22 to    2.09)","0.78 (0.37 to    1.62)","0.34 (0.01 to    9.18)","0.38 (0.01 to    9.87)","Placebo",".",".","0.72 (0.34 to   1.54)","0.44 (0.14 to   1.42)","1.03 (0.31 to   3.39)",".",".","0.82 (0.35 to   1.92)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.66 (0.17 to    2.54)","0.77 (0.32 to    1.85)","0.33 (0.01 to    9.40)","0.37 (0.01 to    9.84)","0.99 (0.44 to    2.22)","Erlotinib + MET inhibitor",".","0.87 (0.47 to   1.58)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.71 (0.11 to    4.61)","0.83 (0.17 to    3.95)","0.36 (0.01 to   12.92)","0.40 (0.01 to   13.57)","1.06 (0.23 to    4.89)","1.08 (0.23 to    5.08)","DHFR inhibitor","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.57 (0.17 to    1.91)","0.66 (0.35 to    1.26)","0.29 (0.01 to    7.71)","0.32 (0.01 to    8.06)","0.85 (0.50 to    1.47)","0.87 (0.47 to    1.58)","0.80 (0.19 to    3.34)","Erlotinib","1.06 (0.53 to   2.10)",".",".","0.83 (0.43 to   1.62)",".","0.81 (0.51 to   1.31)",".","0.73 (0.28 to   1.87)","0.68 (0.13 to   3.65)",".","0.62 (0.23 to   1.65)",".",".",".","0.45 (0.11 to   1.84)",".",".",".",".",".","0.23 (0.11 to   0.50)","0.10 (0.01 to   1.96)"
"0.57 (0.16 to    1.99)","0.66 (0.29 to    1.47)","0.29 (0.01 to    7.32)","0.32 (0.01 to    8.38)","0.85 (0.45 to    1.61)","0.86 (0.38 to    1.94)","0.80 (0.17 to    3.66)","0.99 (0.58 to    1.71)","Afatinib","0.99 (0.33 to   3.01)","0.98 (0.10 to   9.58)","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.56 (0.16 to    1.94)","0.64 (0.27 to    1.54)","0.28 (0.01 to    7.74)","0.31 (0.01 to    8.44)","0.83 (0.41 to    1.67)","0.84 (0.34 to    2.11)","0.78 (0.16 to    3.81)","0.97 (0.49 to    1.95)","0.98 (0.48 to    1.99)","Gefitinib",".","1.15 (0.40 to   3.27)",".",".",".",".",".","0.72 (0.24 to   2.21)",".","0.71 (0.14 to   3.63)",".","0.33 (0.01 to   8.20)",".","0.45 (0.10 to   2.01)","0.41 (0.06 to   2.80)",".","0.14 (0.01 to   2.76)",".",".","."
