"3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".","9.10 (0.49 to 169.82)",".",".",".",".",".",".",".","."
"1.45 (0.02 to 103.95)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".","8.93 (0.48 to 166.17)",".",".","."
"1.75 (0.03 to 120.10)","1.21 (0.02 to  94.99)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".","5.20 (0.25 to 110.15)",".",".",".",".",".",".",".","."
"4.19 (0.05 to 369.71)","2.90 (0.04 to 223.72)","2.39 (0.02 to 229.76)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".","3.08 (0.12 to  76.92)",".",".","."
"4.25 (0.05 to 374.91)","2.94 (0.04 to 226.86)","2.43 (0.03 to 233.01)","1.02 (0.01 to  95.91)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".","."
"5.04 (0.06 to 395.05)","3.48 (0.05 to 238.16)","2.88 (0.03 to 246.05)","1.20 (0.01 to 101.24)","1.18 (0.01 to  99.39)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".",".","2.56 (0.12 to  54.10)",".",".","."
"7.69 (0.19 to 317.99)","5.32 (0.15 to 187.04)","4.40 (0.10 to 200.93)","1.84 (0.04 to  82.46)","1.81 (0.04 to  80.92)","1.53 (0.04 to  59.58)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".","1.68 (0.22 to  12.79)",".",".","."
"9.10 (0.49 to 169.82)","6.29 (0.28 to 142.10)","5.20 (0.25 to 110.15)","2.17 (0.07 to  64.69)","2.14 (0.07 to  63.46)","1.81 (0.07 to  45.92)","1.18 (0.12 to  11.80)","3rd-generation EGFR TKIs","2.46 (0.12 to  51.58)",".",".",".","2.76 (0.69 to  11.08)","1.84 (0.36 to   9.41)",".","0.85 (0.20 to   3.62)"
"10.28 (0.34 to 313.84)","7.11 (0.25 to 202.54)","5.88 (0.17 to 200.03)","2.46 (0.07 to  90.58)","2.42 (0.07 to  88.88)","2.04 (0.06 to  64.93)","1.34 (0.10 to  18.11)","1.13 (0.19 to   6.61)","Chemotherapy",".",".",".","0.97 (0.10 to   9.39)",".","6.39 (0.26 to 158.01)","."
"11.15 (0.43 to 291.29)","7.71 (0.36 to 167.25)","6.37 (0.22 to 186.59)","2.66 (0.09 to  76.40)","2.62 (0.09 to  74.94)","2.21 (0.09 to  54.12)","1.45 (0.15 to  13.69)","1.23 (0.29 to   5.19)","1.08 (0.16 to   7.20)","1st-generation EGFR TKIs + antiangiogenesis",".",".","1.16 (0.44 to   3.01)",".",".","."
"13.32 (0.38 to 471.42)","9.21 (0.31 to 275.23)","7.61 (0.19 to 299.15)","3.18 (0.08 to 122.68)","3.13 (0.08 to 120.37)","2.64 (0.08 to  88.10)","1.73 (0.12 to  24.94)","1.46 (0.19 to  11.24)","1.30 (0.12 to  13.98)","1.19 (0.17 to   8.62)","1st-generation EGFR TKIs + chemotherapy",".","0.97 (0.17 to   5.46)",".",".","."
"13.05 (0.47 to 362.93)","9.03 (0.39 to 209.16)","7.46 (0.24 to 232.00)","3.12 (0.10 to  95.02)","3.07 (0.10 to  93.22)","2.59 (0.10 to  67.52)","1.70 (0.16 to  17.53)","1.43 (0.30 to   6.96)","1.27 (0.17 to   9.37)","1.17 (0.26 to   5.24)","0.98 (0.12 to   7.83)","1st-generation EGFR TKIs + MET inhibitor","0.99 (0.31 to   3.13)",".",".","."
"12.90 (0.57 to 292.06)","8.93 (0.48 to 166.17)","7.38 (0.29 to 188.03)","3.08 (0.12 to  76.92)","3.03 (0.12 to  75.44)","2.56 (0.12 to  54.10)","1.68 (0.22 to  12.79)","1.42 (0.48 to   4.18)","1.26 (0.25 to   6.43)","1.16 (0.44 to   3.01)","0.97 (0.17 to   5.46)","0.99 (0.31 to   3.13)","1st-generation EGFR TKIs",".","1.19 (0.36 to   3.94)","3.43 (0.72 to  16.33)"
"16.78 (0.59 to 478.05)","11.61 (0.34 to 391.01)","9.59 (0.30 to 305.35)","4.01 (0.09 to 172.87)","3.94 (0.09 to 169.64)","3.33 (0.09 to 124.71)","2.18 (0.13 to  36.56)","1.84 (0.36 to   9.41)","1.63 (0.15 to  18.06)","1.50 (0.17 to  13.27)","1.26 (0.09 to  17.13)","1.29 (0.13 to  12.44)","1.30 (0.18 to   9.18)","3rd-generation EGFR TKIs + Amivantamab",".","."
"16.63 (0.66 to 419.81)","11.50 (0.52 to 254.07)","9.50 (0.34 to 269.23)","3.97 (0.14 to 115.87)","3.91 (0.13 to 113.67)","3.30 (0.13 to  82.16)","2.16 (0.22 to  20.94)","1.83 (0.47 to   7.15)","1.62 (0.28 to   9.43)","1.49 (0.37 to   6.02)","1.25 (0.17 to   9.27)","1.27 (0.27 to   5.92)","1.29 (0.47 to   3.56)","0.99 (0.12 to   8.30)","2nd-generation EGFR TKIs","1.51 (0.24 to   9.66)"
"19.03 (0.83 to 438.65)","13.17 (0.59 to 295.83)","10.88 (0.42 to 282.22)","4.55 (0.15 to 134.73)","4.47 (0.15 to 132.17)","3.78 (0.15 to  95.61)","2.47 (0.25 to  24.53)","2.09 (0.67 to   6.48)","1.85 (0.30 to  11.62)","1.71 (0.41 to   7.15)","1.43 (0.19 to  10.90)","1.46 (0.30 to   7.01)","1.47 (0.51 to   4.28)","1.13 (0.16 to   8.25)","1.14 (0.33 to   3.93)","Placebo"
