"Placebo","0.66 (0.10 to   4.24)",".","0.29 (0.06 to   1.39)",".",".",".",".","1.18 (0.28 to   5.05)",".",".",".",".",".",".","."
"0.87 (0.25 to   3.00)","2nd-generation EGFR TKIs",".","0.84 (0.25 to   2.76)",".",".",".","0.16 (0.01 to   3.87)",".",".",".",".",".",".",".","."
"0.88 (0.12 to   6.41)","1.01 (0.12 to   8.45)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".","0.54 (0.11 to   2.77)",".",".",".",".",".",".","."
"0.68 (0.23 to   1.97)","0.78 (0.28 to   2.14)","0.77 (0.11 to   5.43)","1st-generation EGFR TKIs","1.01 (0.32 to   3.20)","1.03 (0.18 to   5.82)","0.86 (0.33 to   2.25)","1.03 (0.11 to   9.90)","0.36 (0.09 to   1.46)","0.60 (0.08 to   4.54)","0.39 (0.02 to   8.24)","0.33 (0.01 to   8.20)","0.32 (0.01 to   8.09)",".","0.11 (0.01 to   2.08)","."
"0.69 (0.14 to   3.30)","0.78 (0.17 to   3.65)","0.78 (0.08 to   7.52)","1.01 (0.32 to   3.20)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.70 (0.09 to   5.34)","0.80 (0.11 to   5.95)","0.79 (0.06 to  10.79)","1.03 (0.18 to   5.82)","1.02 (0.13 to   8.15)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.59 (0.14 to   2.46)","0.67 (0.17 to   2.71)","0.66 (0.08 to   5.86)","0.86 (0.33 to   2.25)","0.85 (0.19 to   3.82)","0.84 (0.12 to   6.04)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".","."
"0.54 (0.09 to   3.39)","0.62 (0.11 to   3.60)","0.61 (0.06 to   6.78)","0.80 (0.16 to   4.08)","0.79 (0.11 to   5.82)","0.77 (0.07 to   8.33)","0.92 (0.14 to   6.12)","Chemotherapy","0.41 (0.02 to   8.53)",".",".",".",".",".",".","."
"0.48 (0.15 to   1.48)","0.55 (0.14 to   2.14)","0.54 (0.11 to   2.77)","0.71 (0.24 to   2.08)","0.70 (0.14 to   3.38)","0.68 (0.09 to   5.25)","0.82 (0.19 to   3.45)","0.89 (0.15 to   5.18)","3rd-generation EGFR TKIs",".",".",".",".","0.19 (0.01 to   4.07)",".","0.11 (0.01 to   2.05)"
"0.40 (0.04 to   4.00)","0.46 (0.05 to   4.48)","0.46 (0.03 to   7.68)","0.60 (0.08 to   4.54)","0.59 (0.06 to   6.09)","0.58 (0.04 to   8.31)","0.69 (0.07 to   6.51)","0.75 (0.06 to  10.14)","0.85 (0.08 to   8.43)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".","."
"0.26 (0.01 to   6.69)","0.30 (0.01 to   7.54)","0.30 (0.01 to  11.23)","0.39 (0.02 to   8.24)","0.39 (0.01 to  10.06)","0.38 (0.01 to  12.59)","0.45 (0.02 to  11.04)","0.49 (0.02 to  15.58)","0.55 (0.02 to  14.06)","0.65 (0.02 to  25.55)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".","."
"0.22 (0.01 to   6.61)","0.26 (0.01 to   7.44)","0.25 (0.01 to  10.91)","0.33 (0.01 to   8.20)","0.33 (0.01 to   9.91)","0.32 (0.01 to  12.28)","0.38 (0.01 to  10.91)","0.41 (0.01 to  15.23)","0.47 (0.02 to  13.88)","0.55 (0.01 to  24.77)","0.84 (0.01 to  70.95)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".","."
"0.22 (0.01 to   6.52)","0.25 (0.01 to   7.34)","0.25 (0.01 to  10.76)","0.32 (0.01 to   8.09)","0.32 (0.01 to   9.78)","0.31 (0.01 to  12.12)","0.38 (0.01 to  10.77)","0.41 (0.01 to  15.02)","0.46 (0.02 to  13.69)","0.54 (0.01 to  24.44)","0.83 (0.01 to  69.96)","0.98 (0.01 to  92.85)","1st-generation EGFR TKIs + MMP inhibitor",".",".","."
"0.09 (0.00 to   2.38)","0.11 (0.00 to   2.98)","0.10 (0.00 to   3.32)","0.14 (0.01 to   3.46)","0.13 (0.00 to   4.17)","0.13 (0.00 to   5.16)","0.16 (0.01 to   4.59)","0.17 (0.00 to   5.79)","0.19 (0.01 to   4.07)","0.23 (0.00 to  10.40)","0.35 (0.00 to  29.70)","0.41 (0.00 to  39.39)","0.42 (0.00 to  40.13)","3rd-generation EGFR TKIs + antiangiogenesis",".","."
"0.08 (0.00 to   1.71)","0.09 (0.00 to   1.92)","0.09 (0.00 to   2.90)","0.11 (0.01 to   2.08)","0.11 (0.00 to   2.57)","0.11 (0.00 to   3.24)","0.13 (0.01 to   2.81)","0.14 (0.00 to   4.01)","0.16 (0.01 to   3.59)","0.19 (0.01 to   6.61)","0.29 (0.00 to  19.63)","0.34 (0.00 to  26.19)","0.35 (0.00 to  26.68)","0.83 (0.01 to  64.86)","Antiangiogenesis","."
"0.05 (0.00 to   1.21)","0.06 (0.00 to   1.52)","0.06 (0.00 to   1.70)","0.08 (0.00 to   1.75)","0.08 (0.00 to   2.13)","0.08 (0.00 to   2.66)","0.09 (0.00 to   2.34)","0.10 (0.00 to   2.97)","0.11 (0.01 to   2.05)","0.13 (0.00 to   5.38)","0.20 (0.00 to  15.58)","0.24 (0.00 to  20.71)","0.24 (0.00 to  21.10)","0.57 (0.01 to  39.25)","0.69 (0.01 to  49.75)","3rd-generation EGFR TKIs + chemotherapy"
