"Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","8.93 (0.48 to 166.17)",".",".",".",".",".",".",".",".",".","."
"0.92 (0.01 to  108.46)","Icotinib",".",".",".",".",".",".",".","7.07 (0.36 to 137.79)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.14 (0.01 to  102.98)","1.24 (0.01 to  133.95)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","9.10 (0.49 to 169.82)",".",".",".",".",".",".","."
"1.99 (0.02 to  195.77)","2.16 (0.02 to  253.84)","1.75 (0.03 to  120.10)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","5.20 (0.25 to 110.15)",".",".",".",".",".",".","."
"2.08 (0.02 to  285.57)","2.26 (0.03 to  179.11)","1.83 (0.01 to  231.11)","1.04 (0.01 to  142.75)","Gefitinib + chemotherapy",".",".",".",".","3.13 (0.13 to  77.69)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.14 (0.02 to  295.43)","2.33 (0.03 to  185.34)","1.88 (0.01 to  239.10)","1.08 (0.01 to  147.68)","1.03 (0.01 to   97.04)","Gefitinib + PARP inhibitor",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.90 (0.04 to  223.72)","3.15 (0.02 to  447.19)","2.55 (0.02 to  280.40)","1.46 (0.01 to  173.59)","1.40 (0.01 to  229.74)","1.35 (0.01 to  222.87)","Erlotinib + MMP inhibitor",".",".",".",".",".","3.08 (0.12 to  76.92)",".",".",".",".",".",".",".",".",".","."
"3.48 (0.05 to  238.16)","3.79 (0.03 to  483.42)","3.06 (0.03 to  301.33)","1.75 (0.02 to  186.91)","1.68 (0.01 to  249.14)","1.63 (0.01 to  241.70)","1.20 (0.01 to  101.24)","Erlotinib + HER3 inhibitor",".",".",".",".","2.56 (0.12 to  54.10)",".",".",".",".",".",".",".",".",".","."
"5.32 (0.15 to  187.04)","5.79 (0.08 to  418.74)","4.68 (0.09 to  251.57)","2.67 (0.05 to  157.94)","2.56 (0.03 to  220.01)","2.48 (0.03 to  213.49)","1.84 (0.04 to   82.46)","1.53 (0.04 to   59.58)","Erlotinib + IGF-1R inhibitor",".",".",".","1.68 (0.22 to  12.79)",".",".",".",".",".",".",".",".",".","."
"6.50 (0.16 to  271.88)","7.07 (0.36 to  137.79)","5.72 (0.15 to  214.13)","3.27 (0.08 to  135.67)","3.13 (0.13 to   77.69)","3.03 (0.12 to   75.44)","2.24 (0.04 to  118.60)","1.87 (0.04 to   86.20)","1.22 (0.06 to   26.71)","Gefitinib",".","2.92 (0.12 to  71.72)",".",".",".",".","0.33 (0.01 to   8.15)",".",".","3.00 (0.12 to  74.06)","4.92 (0.23 to 102.99)",".","."
"7.71 (0.36 to  167.25)","8.39 (0.17 to  410.02)","6.78 (0.19 to  238.44)","3.88 (0.10 to  151.34)","3.72 (0.06 to  219.01)","3.60 (0.06 to  212.56)","2.66 (0.09 to   76.40)","2.21 (0.09 to   54.12)","1.45 (0.15 to   13.69)","1.19 (0.10 to   14.62)","Erlotinib + antiangiogenesis",".","1.16 (0.44 to   3.01)",".",".",".",".",".",".",".",".",".","."
"7.77 (0.24 to  252.76)","8.45 (0.21 to  343.83)","6.83 (0.21 to  227.57)","3.91 (0.11 to  144.66)","3.74 (0.08 to  185.28)","3.63 (0.07 to  179.84)","2.68 (0.06 to  112.01)","2.23 (0.06 to   80.70)","1.46 (0.09 to   23.43)","1.20 (0.13 to   10.97)","1.01 (0.12 to    8.39)","Chemotherapy","2.77 (0.11 to  68.50)",".",".","0.41 (0.02 to   8.53)",".","6.39 (0.26 to 158.01)",".",".",".",".","."
