"Antiangiogenesis","8.84 (0.90 to  86.31)",".",".",".",".",".",".","6.68 (1.30 to  34.48)",".",".",".","."
"1.92 (0.45 to    8.18)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".","7.35 (3.89 to  13.89)",".",".",".","."
"4.08 (0.09 to  180.31)","2.13 (0.06 to   75.97)","Chemotherapy",".",".",".",".",".","3.15 (0.09 to 106.29)",".",".",".","."
"4.26 (0.10 to  186.40)","2.22 (0.06 to   78.50)","1.04 (0.01 to  150.10)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".","3.02 (0.09 to 100.92)",".",".",".","."
"4.30 (0.10 to  188.12)","2.25 (0.06 to   79.21)","1.05 (0.01 to  151.54)","1.01 (0.01 to  144.29)","1st-generation EGFR TKIs + MET inhibitor",".",".",".","2.99 (0.09 to  99.68)",".",".",".","."
"5.89 (0.08 to  456.53)","3.07 (0.05 to  198.03)","1.44 (0.01 to  324.74)","1.38 (0.01 to  309.39)","1.37 (0.01 to  305.74)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".","3.26 (0.09 to 118.79)","."
"6.60 (0.36 to  119.42)","3.44 (0.25 to   46.80)","1.62 (0.02 to  123.42)","1.55 (0.02 to  117.40)","1.53 (0.02 to  115.99)","1.12 (0.02 to   56.07)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".","2.91 (0.62 to  13.63)","."
"8.60 (0.86 to   86.38)","4.49 (0.65 to   31.08)","2.11 (0.04 to  111.25)","2.02 (0.04 to  105.75)","2.00 (0.04 to  104.46)","1.46 (0.02 to   92.61)","1.30 (0.10 to   17.27)","Placebo","5.38 (0.48 to  60.91)",".","0.66 (0.02 to  22.20)","0.98 (0.07 to  14.34)","."
"12.85 (3.15 to   52.39)","6.71 (3.58 to   12.58)","3.15 (0.09 to  106.29)","3.02 (0.09 to  100.92)","2.99 (0.09 to   99.68)","2.18 (0.04 to  134.12)","1.95 (0.15 to   24.53)","1.49 (0.24 to    9.30)","1st-generation EGFR TKIs","1.01 (0.29 to   3.51)","3.01 (0.25 to  36.02)","3.02 (0.25 to  36.08)","."
"13.03 (2.00 to   84.93)","6.80 (1.69 to   27.34)","3.19 (0.08 to  133.24)","3.06 (0.07 to  126.58)","3.03 (0.07 to  125.02)","2.21 (0.03 to  163.23)","1.98 (0.12 to   33.15)","1.51 (0.17 to   13.81)","1.01 (0.29 to    3.51)","1st-generation EGFR TKIs + chemotherapy",".",".","."
"20.45 (1.61 to  259.38)","10.68 (1.17 to   97.10)","5.01 (0.08 to  304.30)","4.81 (0.08 to  289.33)","4.76 (0.08 to  285.82)","3.47 (0.04 to  318.16)","3.10 (0.13 to   71.68)","2.38 (0.22 to   25.30)","1.59 (0.19 to   13.20)","1.57 (0.14 to   18.25)","2nd-generation EGFR TKIs",".","2.96 (0.09 to  99.96)"
"19.20 (1.66 to  222.50)","10.02 (1.22 to   82.13)","4.71 (0.08 to  270.31)","4.51 (0.08 to  256.98)","4.46 (0.08 to  253.86)","3.26 (0.09 to  118.79)","2.91 (0.62 to   13.63)","2.23 (0.28 to   17.69)","1.49 (0.20 to   11.12)","1.47 (0.14 to   15.60)","0.94 (0.06 to   14.46)","3rd-generation EGFR TKIs","."
"60.64 (0.79 to 4647.75)","31.66 (0.50 to 2014.99)","14.86 (0.07 to 3313.68)","14.25 (0.06 to 3156.95)","14.10 (0.06 to 3119.76)","10.30 (0.03 to 3157.85)","9.19 (0.08 to 1026.93)","7.05 (0.10 to  488.65)","4.72 (0.08 to  286.19)","4.65 (0.06 to  339.23)","2.96 (0.09 to   99.96)","3.16 (0.04 to  272.05)","2nd-generation EGFR TKIs + Cetuximab"
