"2nd-generation EGFR TKIs + Cetuximab",".","0.34 (0.01 to  11.37)",".",".",".",".",".",".",".",".",".","."
"0.32 (0.00 to   27.27)","3rd-generation EGFR TKIs",".",".","0.33 (0.03 to   3.97)","1.02 (0.07 to  14.86)","0.34 (0.07 to   1.61)","0.31 (0.01 to  11.17)",".",".",".",".","."
"0.34 (0.01 to   11.37)","1.07 (0.07 to   16.41)","2nd-generation EGFR TKIs",".","0.33 (0.03 to   3.97)","1.51 (0.05 to  50.33)",".",".",".",".",".",".","."
"0.21 (0.00 to   15.66)","0.68 (0.06 to    7.19)","0.64 (0.05 to    7.40)","1st-generation EGFR TKIs + chemotherapy","0.99 (0.29 to   3.41)",".",".",".",".",".",".",".","."
"0.21 (0.00 to   12.86)","0.67 (0.09 to    4.98)","0.63 (0.08 to    5.22)","0.99 (0.29 to    3.41)","1st-generation EGFR TKIs","0.19 (0.02 to   2.10)",".",".","0.33 (0.01 to  11.16)","0.33 (0.01 to  11.06)","0.32 (0.01 to  10.71)","0.14 (0.07 to   0.26)","0.15 (0.03 to   0.77)"
"0.14 (0.00 to    9.84)","0.45 (0.06 to    3.55)","0.42 (0.04 to    4.48)","0.66 (0.07 to    6.02)","0.67 (0.11 to    4.17)","Placebo",".",".",".",".",".",".","."
"0.11 (0.00 to   12.15)","0.34 (0.07 to    1.61)","0.32 (0.01 to    7.45)","0.51 (0.03 to    8.50)","0.51 (0.04 to    6.46)","0.77 (0.06 to   10.15)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".","."
"0.10 (0.00 to   29.77)","0.31 (0.01 to   11.17)","0.29 (0.00 to   26.36)","0.45 (0.01 to   33.33)","0.46 (0.01 to   28.13)","0.68 (0.01 to   43.35)","0.89 (0.02 to   44.67)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".","."
"0.07 (0.00 to   15.70)","0.22 (0.00 to   12.75)","0.21 (0.00 to   12.64)","0.33 (0.01 to   13.63)","0.33 (0.01 to   11.16)","0.50 (0.01 to   26.11)","0.65 (0.01 to   49.33)","0.73 (0.00 to  163.22)","1st-generation EGFR TKIs + MET inhibitor",".",".",".","."
"0.07 (0.00 to   15.55)","0.22 (0.00 to   12.63)","0.21 (0.00 to   12.52)","0.33 (0.01 to   13.50)","0.33 (0.01 to   11.06)","0.49 (0.01 to   25.86)","0.65 (0.01 to   48.87)","0.72 (0.00 to  161.65)","0.99 (0.01 to  141.22)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".","."
"0.07 (0.00 to   15.00)","0.21 (0.00 to   12.21)","0.20 (0.00 to   12.10)","0.31 (0.01 to   13.06)","0.32 (0.01 to   10.71)","0.47 (0.01 to   25.01)","0.62 (0.01 to   47.22)","0.69 (0.00 to  155.95)","0.95 (0.01 to  136.31)","0.96 (0.01 to  137.95)","Chemotherapy",".","."
"0.03 (0.00 to    2.01)","0.10 (0.01 to    0.82)","0.09 (0.01 to    0.85)","0.15 (0.04 to    0.59)","0.15 (0.08 to    0.28)","0.22 (0.03 to    1.54)","0.29 (0.02 to    3.95)","0.33 (0.01 to   20.96)","0.45 (0.01 to   15.70)","0.45 (0.01 to   15.90)","0.47 (0.01 to   16.74)","1st-generation EGFR TKIs + antiangiogenesis","0.11 (0.01 to   1.11)"
"0.02 (0.00 to    1.26)","0.05 (0.00 to    0.60)","0.05 (0.00 to    0.62)","0.08 (0.01 to    0.50)","0.08 (0.02 to    0.32)","0.12 (0.01 to    1.17)","0.15 (0.01 to    2.75)","0.17 (0.00 to   13.17)","0.23 (0.01 to   10.17)","0.24 (0.01 to   10.29)","0.25 (0.01 to   10.83)","0.52 (0.12 to    2.23)","Antiangiogenesis"
