"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","27.46 (6.47 to 116.52)",".",".",".",".","."
"4.78 (0.29 to    78.68)","Antiangiogenesis","8.84 (1.01 to  77.47)",".",".",".",".",".",".",".",".","7.43 (0.29 to 187.98)",".",".",".","6.31 (1.02 to  38.93)","."
"12.65 (0.73 to   218.52)","2.64 (0.62 to    11.27)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","5.73 (2.98 to  11.01)","."
"15.28 (0.13 to  1803.54)","3.19 (0.03 to   388.88)","1.21 (0.01 to   141.35)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".","3.26 (0.10 to 111.04)",".",".","."
"17.75 (0.52 to   608.38)","3.71 (0.10 to   132.59)","1.40 (0.04 to    47.54)","1.16 (0.03 to    53.18)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".","2.81 (0.64 to  12.28)",".",".","."
"16.43 (0.15 to  1817.72)","3.44 (0.03 to   392.10)","1.30 (0.01 to   142.45)","1.08 (0.01 to   148.40)","0.93 (0.02 to    39.09)","Gefitinib/Erlotinib",".",".",".",".",".",".",".","3.03 (0.10 to  94.56)",".",".","."
"21.09 (0.25 to  1797.25)","4.41 (0.11 to   183.31)","1.67 (0.05 to    55.73)","1.38 (0.00 to   481.00)","1.19 (0.01 to   159.36)","1.28 (0.00 to   424.37)","Chemotherapy",".",".",".",".",".",".",".",".","3.15 (0.10 to  99.21)","."
"22.00 (0.26 to  1860.43)","4.60 (0.11 to   189.48)","1.74 (0.05 to    57.58)","1.44 (0.00 to   498.82)","1.24 (0.01 to   165.08)","1.34 (0.00 to   440.08)","1.04 (0.01 to   136.13)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".","3.02 (0.10 to  94.18)","."
"22.24 (0.26 to  1878.08)","4.65 (0.11 to   191.23)","1.76 (0.05 to    58.10)","1.46 (0.00 to   503.72)","1.25 (0.01 to   166.66)","1.35 (0.00 to   444.39)","1.05 (0.01 to   137.44)","1.01 (0.01 to   130.84)","Erlotinib + MET inhibitor",".",".",".",".",".",".","2.99 (0.10 to  93.01)","."
"26.03 (1.09 to   621.53)","5.44 (0.17 to   175.03)","2.06 (0.06 to    65.71)","1.70 (0.02 to   156.28)","1.47 (0.06 to    35.49)","1.58 (0.02 to   135.73)","1.23 (0.01 to   159.03)","1.18 (0.01 to   151.40)","1.17 (0.01 to   149.60)","Lazertinib",".","0.33 (0.01 to  10.41)",".","6.05 (0.19 to 188.62)",".",".","."
"26.42 (1.86 to   374.50)","5.52 (0.44 to    68.94)","2.09 (0.19 to    23.25)","1.73 (0.03 to   119.08)","1.49 (0.09 to    23.63)","1.61 (0.03 to   102.93)","1.25 (0.02 to    80.93)","1.20 (0.02 to    76.96)","1.19 (0.02 to    76.03)","1.01 (0.05 to    20.61)","Placebo","3.09 (0.10 to  96.30)",".","0.98 (0.07 to  13.09)","0.66 (0.02 to  20.71)","8.95 (0.33 to 239.38)","."
