"Afatinib + Cetuximab",".","0.34 (0.01 to  10.62)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.34 (0.00 to    22.98)","Erlotinib","2.98 (0.10 to  92.96)",".",".",".","0.11 (0.00 to   2.99)",".","0.33 (0.01 to  10.41)","0.33 (0.01 to  10.32)","0.32 (0.01 to   9.99)",".",".",".","0.17 (0.09 to   0.34)","0.16 (0.03 to   0.98)","."
"0.34 (0.01 to    10.62)","1.00 (0.09 to    11.29)","Afatinib",".",".","0.33 (0.01 to  10.30)","1.51 (0.05 to  46.97)",".",".",".",".",".",".",".",".",".","."
"0.25 (0.00 to    27.38)","0.75 (0.03 to    17.48)","0.75 (0.03 to    17.82)","Osimertinib",".",".","1.02 (0.08 to  13.56)","0.17 (0.01 to   5.15)",".",".",".","0.33 (0.01 to  10.28)","0.36 (0.08 to   1.56)","0.31 (0.01 to  10.44)",".",".","."
"0.14 (0.00 to    10.79)","0.41 (0.03 to     5.86)","0.41 (0.03 to     5.83)","0.55 (0.03 to    12.01)","Gefitinib + chemotherapy","1.00 (0.32 to   3.08)",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to     9.30)","0.41 (0.04 to     4.56)","0.41 (0.04 to     4.53)","0.55 (0.03 to     9.70)","1.00 (0.32 to     3.08)","Gefitinib","0.32 (0.01 to  10.11)","3.00 (0.10 to  93.70)",".",".",".",".",".",".",".","0.13 (0.01 to   3.40)","0.04 (0.01 to   0.15)"
"0.13 (0.00 to     8.84)","0.40 (0.04 to     4.13)","0.40 (0.04 to     4.27)","0.53 (0.05 to     5.49)","0.96 (0.08 to    11.62)","0.96 (0.10 to     8.88)","Placebo",".",".",".",".",".",".",".",".",".","."
"0.13 (0.00 to    17.12)","0.39 (0.01 to    11.99)","0.39 (0.01 to    12.08)","0.52 (0.03 to     8.80)","0.95 (0.05 to    19.82)","0.95 (0.06 to    15.98)","0.99 (0.05 to    20.01)","Lazertinib",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    26.14)","0.33 (0.01 to    10.41)","0.34 (0.00 to    22.59)","0.45 (0.00 to    47.26)","0.81 (0.01 to    62.26)","0.81 (0.01 to    53.69)","0.84 (0.01 to    53.89)","0.85 (0.01 to   109.18)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","."
"0.11 (0.00 to    25.89)","0.33 (0.01 to    10.32)","0.33 (0.00 to    22.38)","0.44 (0.00 to    46.81)","0.80 (0.01 to    61.68)","0.80 (0.01 to    53.19)","0.83 (0.01 to    53.38)","0.85 (0.01 to   108.14)","0.99 (0.01 to   128.06)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".","."
"0.11 (0.00 to    24.98)","0.32 (0.01 to     9.99)","0.32 (0.00 to    21.63)","0.42 (0.00 to    45.21)","0.77 (0.01 to    59.59)","0.77 (0.01 to    51.41)","0.80 (0.01 to    51.60)","0.81 (0.01 to   104.40)","0.95 (0.01 to   123.63)","0.96 (0.01 to   125.11)","Chemotherapy",".",".",".",".",".","."
"0.08 (0.00 to    27.90)","0.25 (0.00 to    26.21)","0.25 (0.00 to    26.59)","0.33 (0.01 to    10.28)","0.60 (0.01 to    60.59)","0.60 (0.01 to    52.73)","0.62 (0.01 to    39.82)","0.63 (0.01 to    54.06)","0.74 (0.00 to   242.55)","0.75 (0.00 to   245.42)","0.78 (0.00 to   257.50)","Gefitinib/Erlotinib",".",".",".",".","."
"0.09 (0.00 to    12.24)","0.27 (0.01 to     8.65)","0.27 (0.01 to     8.80)","0.36 (0.08 to     1.56)","0.65 (0.02 to    19.68)","0.65 (0.03 to    16.27)","0.67 (0.04 to    10.66)","0.68 (0.03 to    16.49)","0.80 (0.01 to   106.12)","0.81 (0.01 to   107.40)","0.84 (0.01 to   112.81)","1.08 (0.03 to    45.61)","Osimertinib + antiangiogenesis",".",".",".","."
