"3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".",".","2.69 (0.55 to  13.21)",".",".",".",".",".",".",".",".",".",".","."
"1.06 (0.11 to   10.51)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".","2.54 (0.49 to  13.27)",".",".",".",".",".",".",".",".",".",".","."
"1.27 (0.15 to   10.64)","1.20 (0.14 to   10.52)","Antiangiogenesis","6.34 (0.90 to  44.64)",".",".",".",".",".",".",".",".",".",".",".",".","2.28 (0.60 to   8.62)",".",".",".","."
"1.48 (0.23 to    9.50)","1.40 (0.21 to    9.46)","1.16 (0.35 to    3.85)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","3.89 (2.29 to   6.61)",".",".",".","."
"1.41 (0.18 to   11.40)","1.34 (0.16 to   11.28)","1.11 (0.16 to    7.79)","0.95 (0.18 to    4.99)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".","1.90 (0.49 to   7.33)",".",".",".",".",".",".",".",".",".",".","."
"1.01 (0.02 to   46.48)","0.95 (0.02 to   45.05)","0.79 (0.02 to   28.45)","0.68 (0.02 to   21.02)","0.71 (0.02 to   29.91)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".","5.06 (0.17 to 150.58)",".",".",".","."
"1.82 (0.17 to   19.86)","1.72 (0.15 to   19.55)","1.43 (0.20 to   10.20)","1.23 (0.23 to    6.55)","1.29 (0.14 to   12.03)","1.81 (0.04 to   76.85)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".","2.79 (0.57 to  13.68)",".",".",".","."
"1.60 (0.03 to   91.75)","1.51 (0.03 to   88.82)","1.26 (0.03 to   56.96)","1.08 (0.03 to   42.50)","1.13 (0.02 to   59.35)","1.59 (0.01 to  229.85)","0.88 (0.02 to   46.42)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".","3.18 (0.08 to 120.77)",".",".",".","."
"1.91 (0.12 to   29.87)","1.80 (0.11 to   29.24)","1.50 (0.13 to   16.74)","1.29 (0.14 to   11.43)","1.35 (0.10 to   18.49)","1.90 (0.03 to  103.72)","1.05 (0.07 to   14.82)","1.19 (0.02 to   80.34)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".","1.98 (0.27 to  14.58)",".",".",".",".",".",".","."
"2.69 (0.55 to   13.21)","2.54 (0.49 to   13.27)","2.11 (0.52 to    8.61)","1.81 (0.70 to    4.73)","1.90 (0.49 to    7.33)","2.67 (0.08 to   87.44)","1.48 (0.25 to    8.76)","1.68 (0.04 to   69.71)","1.41 (0.15 to   13.29)","3rd-generation EGFR TKIs",".","0.67 (0.11 to   3.95)",".",".",".","0.98 (0.23 to   4.22)","2.88 (1.01 to   8.16)",".",".",".","."
"2.90 (0.13 to   63.89)","2.74 (0.12 to   62.31)","2.28 (0.14 to   36.61)","1.96 (0.15 to   25.83)","2.05 (0.10 to   40.16)","2.88 (0.04 to  198.34)","1.59 (0.08 to   31.50)","1.81 (0.02 to  151.97)","1.52 (0.06 to   41.15)","1.08 (0.08 to   15.28)","DHFR inhibitor",".",".",".",".",".","1.75 (0.14 to  21.95)",".",".",".","."
"2.95 (0.46 to   18.85)","2.78 (0.41 to   18.77)","2.32 (0.61 to    8.81)","1.99 (0.85 to    4.67)","2.08 (0.40 to   10.87)","2.93 (0.09 to   93.30)","1.62 (0.29 to    9.10)","1.84 (0.05 to   74.50)","1.55 (0.17 to   13.77)","1.10 (0.42 to    2.84)","1.02 (0.07 to   13.90)","Chemotherapy",".","1.79 (0.34 to   9.60)","1.65 (0.13 to  20.67)",".","1.46 (0.65 to   3.25)",".",".",".","."
"3.69 (0.50 to   27.24)","3.49 (0.45 to   27.03)","2.90 (0.67 to   12.53)","2.49 (0.88 to    7.06)","2.61 (0.43 to   15.97)","3.67 (0.11 to  123.02)","2.03 (0.33 to   12.61)","2.31 (0.05 to   97.92)","1.94 (0.19 to   19.39)","1.37 (0.41 to    4.60)","1.27 (0.09 to   18.63)","1.25 (0.41 to    3.87)","1st-generation EGFR TKIs + MET inhibitor",".",".",".","1.38 (0.56 to   3.39)",".",".",".","."
"3.77 (0.57 to   24.98)","3.56 (0.51 to   24.86)","2.96 (0.77 to   11.46)","2.54 (1.06 to    6.14)","2.67 (0.49 to   14.47)","3.75 (0.12 to  120.14)","2.07 (0.36 to   11.80)","2.36 (0.06 to   95.90)","1.98 (0.27 to   14.58)","1.40 (0.51 to    3.89)","1.30 (0.09 to   17.94)","1.28 (0.53 to    3.11)","1.02 (0.32 to    3.21)","2nd-generation EGFR TKIs",".","1.81 (0.47 to   6.91)","1.21 (0.50 to   2.92)",".",".",".","."
"4.20 (0.58 to   30.19)","3.97 (0.53 to   29.98)","3.30 (0.79 to   13.84)","2.84 (1.04 to    7.70)","2.97 (0.50 to   17.65)","4.18 (0.13 to  138.27)","2.31 (0.38 to   14.01)","2.63 (0.06 to  110.14)","2.20 (0.23 to   21.58)","1.56 (0.49 to    5.00)","1.45 (0.10 to   20.86)","1.43 (0.50 to    4.06)","1.14 (0.33 to    3.93)","1.11 (0.37 to    3.35)","1st-generation EGFR TKIs + chemotherapy",".","1.27 (0.52 to   3.05)",".",".",".","."
"4.29 (0.68 to   27.13)","4.05 (0.61 to   27.03)","3.37 (0.87 to   13.13)","2.90 (1.19 to    7.06)","3.04 (0.59 to   15.63)","4.27 (0.13 to  137.10)","2.36 (0.41 to   13.50)","2.69 (0.07 to  109.42)","2.25 (0.26 to   19.85)","1.60 (0.63 to    4.05)","1.48 (0.11 to   20.49)","1.46 (0.57 to    3.75)","1.16 (0.37 to    3.69)","1.14 (0.48 to    2.70)","1.02 (0.34 to    3.11)","Placebo","1.21 (0.48 to   3.05)",".",".",".","."
"5.08 (0.85 to   30.26)","4.80 (0.76 to   30.20)","4.00 (1.26 to   12.64)","3.43 (2.04 to    5.78)","3.60 (0.75 to   17.29)","5.06 (0.17 to  150.58)","2.79 (0.57 to   13.68)","3.18 (0.08 to  120.77)","2.67 (0.32 to   22.22)","1.89 (0.85 to    4.22)","1.75 (0.14 to   21.95)","1.73 (0.88 to    3.39)","1.38 (0.56 to    3.39)","1.35 (0.66 to    2.74)","1.21 (0.52 to    2.84)","1.18 (0.58 to    2.44)","1st-generation EGFR TKIs","3.00 (0.09 to 104.51)","3.08 (0.09 to 108.01)","2.02 (0.24 to  16.82)","9.38 (0.35 to 252.92)"
"15.25 (0.29 to  811.02)","14.41 (0.26 to  785.46)","11.99 (0.29 to  501.07)","10.30 (0.28 to  372.63)","10.79 (0.22 to  523.69)","15.17 (0.11 to 2061.36)","8.37 (0.17 to  409.70)","9.55 (0.06 to 1538.42)","8.00 (0.13 to  500.12)","5.67 (0.15 to  216.24)","5.26 (0.07 to  410.93)","5.18 (0.14 to  192.20)","4.13 (0.11 to  161.03)","4.05 (0.11 to  151.18)","3.63 (0.09 to  139.88)","3.55 (0.09 to  133.16)","3.00 (0.09 to  104.51)","Rociletinib",".",".","."
"15.66 (0.29 to  837.58)","14.79 (0.27 to  811.16)","12.31 (0.29 to  517.67)","10.57 (0.29 to  385.08)","11.08 (0.23 to  540.92)","15.58 (0.11 to 2126.47)","8.60 (0.17 to  423.18)","9.80 (0.06 to 1586.76)","8.21 (0.13 to  516.39)","5.83 (0.15 to  223.44)","5.40 (0.07 to  424.17)","5.31 (0.14 to  198.61)","4.24 (0.11 to  166.39)","4.15 (0.11 to  156.22)","3.73 (0.10 to  144.53)","3.65 (0.10 to  137.60)","3.08 (0.09 to  108.01)","1.03 (0.01 to  156.40)","1st-generation EGFR TKIs + Autophagy inhibitor",".","."
"10.28 (0.64 to  163.93)","9.71 (0.59 to  160.48)","8.08 (0.72 to   90.07)","6.94 (0.78 to   61.49)","7.27 (0.52 to  101.57)","10.23 (0.19 to  558.58)","5.64 (0.40 to   79.76)","6.43 (0.10 to  432.66)","5.39 (0.27 to  107.97)","3.82 (0.40 to   36.85)","3.55 (0.13 to   95.88)","3.49 (0.38 to   32.24)","2.78 (0.28 to   27.82)","2.73 (0.29 to   25.46)","2.45 (0.25 to   24.00)","2.40 (0.26 to   22.46)","2.02 (0.24 to   16.82)","0.67 (0.01 to   42.10)","0.66 (0.01 to   41.24)","1st-generation EGFR TKIs + HER3 inhibitor","."
