"1st-generation EGFR TKIs + MMP inhibitor",".",".",".","0.11 (0.00 to   2.87)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.00 to   10.82)","1st-generation EGFR TKIs + HER3 inhibitor",".",".","0.49 (0.06 to   4.11)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to   41.86)","1.52 (0.02 to   95.69)","1st-generation EGFR TKIs + Autophagy inhibitor",".","0.32 (0.01 to  11.39)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.00 to   40.58)","1.48 (0.02 to   92.68)","0.97 (0.01 to  148.38)","Rociletinib","0.33 (0.01 to  11.61)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    2.87)","0.49 (0.06 to    4.11)","0.32 (0.01 to   11.39)","0.33 (0.01 to   11.61)","1st-generation EGFR TKIs","0.82 (0.33 to   2.07)","0.79 (0.33 to   1.91)","0.83 (0.34 to   1.99)","0.73 (0.29 to   1.79)","0.69 (0.31 to   1.53)","0.57 (0.05 to   7.13)","0.35 (0.12 to   0.99)",".","0.31 (0.01 to  11.93)","0.36 (0.07 to   1.76)","0.20 (0.01 to   5.89)",".","0.26 (0.15 to   0.44)","0.44 (0.12 to   1.66)",".","."
"0.09 (0.00 to    2.62)","0.42 (0.04 to    3.91)","0.27 (0.01 to   10.33)","0.28 (0.01 to   10.54)","0.84 (0.41 to    1.74)","Placebo",".","0.55 (0.14 to   2.11)",".",".",".","1.02 (0.24 to   4.41)",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    2.65)","0.41 (0.04 to    4.01)","0.27 (0.01 to   10.41)","0.28 (0.01 to   10.61)","0.83 (0.35 to    1.94)","0.98 (0.32 to    2.98)","1st-generation EGFR TKIs + chemotherapy",".",".","0.61 (0.05 to   7.63)",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.30)","0.37 (0.04 to    3.42)","0.24 (0.01 to    9.05)","0.25 (0.01 to    9.24)","0.74 (0.36 to    1.51)","0.88 (0.37 to    2.08)","0.90 (0.30 to    2.70)","2nd-generation EGFR TKIs",".","0.56 (0.10 to   2.98)",".",".","0.51 (0.07 to   3.73)",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.36)","0.36 (0.04 to    3.59)","0.24 (0.01 to    9.25)","0.24 (0.01 to    9.44)","0.73 (0.29 to    1.79)","0.86 (0.27 to    2.73)","0.88 (0.25 to    3.04)","0.98 (0.31 to    3.08)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    1.78)","0.29 (0.03 to    2.65)","0.19 (0.01 to    7.03)","0.19 (0.01 to    7.17)","0.58 (0.29 to    1.14)","0.69 (0.27 to    1.77)","0.70 (0.25 to    2.00)","0.78 (0.32 to    1.90)","0.80 (0.26 to    2.46)","Chemotherapy",".","1.49 (0.25 to   8.72)",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    3.86)","0.28 (0.01 to    7.62)","0.19 (0.00 to   14.53)","0.19 (0.00 to   14.84)","0.57 (0.05 to    7.13)","0.68 (0.05 to    9.35)","0.69 (0.05 to    9.93)","0.77 (0.06 to   10.61)","0.78 (0.05 to   11.48)","0.98 (0.07 to   13.45)","DHFR inhibitor",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    1.67)","0.26 (0.03 to    2.52)","0.17 (0.00 to    6.58)","0.18 (0.00 to    6.72)","0.53 (0.24 to    1.18)","0.63 (0.25 to    1.59)","0.64 (0.20 to    2.05)","0.71 (0.26 to    1.98)","0.73 (0.22 to    2.43)","0.91 (0.35 to    2.37)","0.93 (0.07 to   13.14)","3rd-generation EGFR TKIs",".",".",".",".","0.53 (0.14 to   2.03)",".",".","0.39 (0.08 to   2.06)","0.37 (0.08 to   1.83)"
"0.04 (0.00 to    2.01)","0.19 (0.01 to    3.72)","0.12 (0.00 to    7.66)","0.13 (0.00 to    7.82)","0.38 (0.05 to    3.13)","0.44 (0.05 to    3.92)","0.45 (0.05 to    4.44)","0.51 (0.07 to    3.73)","0.52 (0.05 to    5.17)","0.65 (0.07 to    5.77)","0.66 (0.02 to   17.81)","0.71 (0.08 to    6.69)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".","."
"0.03 (0.00 to    4.53)","0.16 (0.00 to   10.45)","0.10 (0.00 to   16.52)","0.10 (0.00 to   16.88)","0.31 (0.01 to   11.93)","0.37 (0.01 to   15.17)","0.38 (0.01 to   15.93)","0.42 (0.01 to   17.23)","0.43 (0.01 to   18.33)","0.54 (0.01 to   21.91)","0.55 (0.01 to   46.18)","0.59 (0.01 to   24.63)","0.84 (0.01 to   56.41)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".","."
"0.04 (0.00 to    1.48)","0.18 (0.01 to    2.50)","0.12 (0.00 to    5.73)","0.12 (0.00 to    5.84)","0.36 (0.07 to    1.76)","0.42 (0.07 to    2.43)","0.43 (0.07 to    2.63)","0.48 (0.08 to    2.75)","0.49 (0.08 to    3.07)","0.62 (0.11 to    3.48)","0.63 (0.03 to   12.44)","0.68 (0.11 to    4.02)","0.96 (0.07 to   13.52)","1.14 (0.02 to   60.32)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".","."
"0.02 (0.00 to    2.39)","0.10 (0.00 to    5.34)","0.06 (0.00 to    8.76)","0.07 (0.00 to    8.95)","0.20 (0.01 to    5.89)","0.23 (0.01 to    7.52)","0.24 (0.01 to    7.91)","0.27 (0.01 to    8.54)","0.27 (0.01 to    9.12)","0.34 (0.01 to   10.86)","0.35 (0.01 to   23.85)","0.37 (0.01 to   12.23)","0.53 (0.01 to   28.82)","0.63 (0.00 to   90.96)","0.55 (0.01 to   23.41)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".","."
"0.03 (0.00 to    1.14)","0.14 (0.01 to    1.92)","0.09 (0.00 to    4.41)","0.09 (0.00 to    4.50)","0.28 (0.06 to    1.34)","0.33 (0.06 to    1.70)","0.34 (0.06 to    2.00)","0.38 (0.07 to    2.03)","0.38 (0.06 to    2.34)","0.48 (0.09 to    2.50)","0.49 (0.02 to    9.55)","0.53 (0.14 to    2.03)","0.74 (0.05 to   10.16)","0.88 (0.02 to   46.45)","0.78 (0.08 to    7.25)","1.41 (0.03 to   59.16)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".","."
"0.03 (0.00 to    0.87)","0.14 (0.02 to    1.28)","0.09 (0.00 to    3.45)","0.10 (0.00 to    3.52)","0.29 (0.17 to    0.49)","0.35 (0.14 to    0.84)","0.35 (0.13 to    0.96)","0.39 (0.16 to    0.95)","0.40 (0.14 to    1.14)","0.50 (0.21 to    1.18)","0.51 (0.04 to    6.74)","0.55 (0.21 to    1.44)","0.78 (0.09 to    6.90)","0.93 (0.02 to   36.53)","0.81 (0.15 to    4.33)","1.47 (0.05 to   45.66)","1.05 (0.20 to    5.48)","1st-generation EGFR TKIs + antiangiogenesis","0.16 (0.02 to   1.11)",".","."
"0.03 (0.00 to    0.87)","0.12 (0.01 to    1.38)","0.08 (0.00 to    3.42)","0.08 (0.00 to    3.49)","0.25 (0.08 to    0.79)","0.30 (0.08 to    1.15)","0.30 (0.07 to    1.27)","0.34 (0.09 to    1.31)","0.34 (0.08 to    1.49)","0.43 (0.11 to    1.64)","0.44 (0.03 to    7.05)","0.47 (0.12 to    1.93)","0.67 (0.06 to    7.45)","0.80 (0.02 to   36.12)","0.70 (0.10 to    4.97)","1.27 (0.04 to   45.58)","0.90 (0.13 to    6.31)","0.86 (0.26 to    2.84)","Antiangiogenesis",".","."
"0.02 (0.00 to    0.97)","0.10 (0.01 to    1.70)","0.07 (0.00 to    3.71)","0.07 (0.00 to    3.78)","0.21 (0.03 to    1.31)","0.25 (0.04 to    1.65)","0.25 (0.03 to    1.90)","0.28 (0.04 to    1.96)","0.29 (0.04 to    2.22)","0.36 (0.05 to    2.42)","0.37 (0.02 to    8.31)","0.39 (0.08 to    2.06)","0.56 (0.03 to    9.01)","0.66 (0.01 to   38.98)","0.58 (0.05 to    6.60)","1.05 (0.02 to   49.96)","0.75 (0.09 to    6.33)","0.71 (0.11 to    4.83)","0.83 (0.10 to    7.28)","3rd-generation EGFR TKIs + chemotherapy","."
"0.02 (0.00 to    0.89)","0.10 (0.01 to    1.55)","0.06 (0.00 to    3.42)","0.07 (0.00 to    3.49)","0.20 (0.03 to    1.17)","0.23 (0.04 to    1.47)","0.24 (0.03 to    1.71)","0.27 (0.04 to    1.76)","0.27 (0.04 to    2.00)","0.34 (0.05 to    2.17)","0.34 (0.02 to    7.60)","0.37 (0.08 to    1.83)","0.52 (0.03 to    8.21)","0.63 (0.01 to   35.93)","0.55 (0.05 to    5.99)","0.99 (0.02 to   46.00)","0.71 (0.09 to    5.70)","0.68 (0.11 to    4.33)","0.79 (0.09 to    6.57)","0.94 (0.10 to    9.38)","3rd-generation EGFR TKIs + Amivantamab"
