"3rd-generation EGFR TKIs + Amivantamab",".",".",".","3.18 (1.60 to   6.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.26 (0.35 to    4.52)","3rd-generation EGFR TKIs + chemotherapy",".",".","2.52 (0.86 to   7.36)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.31 (0.05 to   31.80)","1.03 (0.04 to   27.94)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.23 to 109.33)",".",".",".","."
"2.28 (0.37 to   14.17)","1.80 (0.24 to   13.38)","1.74 (0.05 to   56.40)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".","2.34 (0.49 to  11.26)",".",".",".",".",".",".","."
"3.18 (1.60 to    6.34)","2.52 (0.86 to    7.36)","2.44 (0.11 to   55.05)","1.40 (0.26 to    7.60)","3rd-generation EGFR TKIs",".",".","0.67 (0.24 to   1.88)",".",".",".",".","1.82 (0.36 to   9.24)",".",".",".","1.01 (0.43 to   2.37)","4.03 (1.96 to   8.26)",".",".",".","."
"2.82 (0.58 to   13.66)","2.23 (0.38 to   13.23)","2.16 (0.08 to   61.20)","1.24 (0.15 to   10.04)","0.88 (0.21 to    3.66)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".","2.35 (0.63 to   8.80)",".",".",".","."
"2.08 (0.07 to   65.37)","1.64 (0.05 to   57.00)","1.59 (0.02 to  148.74)","0.91 (0.02 to   37.38)","0.65 (0.02 to   19.16)","0.74 (0.02 to   26.76)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".","3.18 (0.11 to  89.76)",".",".",".","."
"3.91 (1.54 to    9.92)","3.09 (0.89 to   10.71)","2.99 (0.13 to   67.28)","1.72 (0.32 to    9.18)","1.23 (0.66 to    2.30)","1.39 (0.34 to    5.69)","1.88 (0.06 to   55.07)","Chemotherapy",".",".",".",".",".",".","2.08 (0.67 to   6.50)",".",".","1.22 (0.67 to   2.23)",".",".",".","."
"3.98 (1.32 to   12.01)","3.15 (0.80 to   12.48)","3.05 (0.13 to   71.11)","1.75 (0.30 to   10.20)","1.25 (0.53 to    2.96)","1.41 (0.32 to    6.27)","1.92 (0.06 to   58.04)","1.02 (0.44 to    2.37)","Antiangiogenesis",".",".","2.32 (0.47 to  11.60)",".",".",".",".",".","1.51 (0.72 to   3.18)",".",".",".","."
"3.99 (1.26 to   12.64)","3.16 (0.77 to   13.02)","3.06 (0.13 to   72.57)","1.75 (0.29 to   10.55)","1.25 (0.50 to    3.16)","1.42 (0.31 to    6.52)","1.92 (0.06 to   59.15)","1.02 (0.41 to    2.53)","1.00 (0.36 to    2.80)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".","1.65 (0.77 to   3.55)",".",".",".","."
