"1st-generation EGFR TKIs + MMP inhibitor",".",".",".","0.55 (0.11 to   2.78)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.71 (0.05 to   64.21)","1st-generation EGFR TKIs + COX2 inhibitor",".",".","0.32 (0.01 to   8.23)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.69 (0.04 to   64.02)","0.99 (0.01 to   97.86)","1st-generation EGFR TKIs + Autophagy inhibitor",".","0.32 (0.01 to   8.40)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.86 (0.10 to    7.67)","0.50 (0.01 to   17.69)","0.51 (0.01 to   18.04)","1st-generation EGFR TKIs + HER3 inhibitor","0.64 (0.15 to   2.80)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.55 (0.11 to    2.78)","0.32 (0.01 to    8.23)","0.32 (0.01 to    8.40)","0.64 (0.15 to    2.80)","1st-generation EGFR TKIs","0.79 (0.44 to   1.43)","0.98 (0.10 to  10.04)","0.90 (0.56 to   1.46)","0.96 (0.10 to   9.68)",".","0.69 (0.46 to   1.02)","0.66 (0.42 to   1.05)","0.60 (0.28 to   1.30)","0.66 (0.31 to   1.39)","0.82 (0.45 to   1.49)","0.31 (0.01 to   8.87)","0.43 (0.11 to   1.60)","0.25 (0.12 to   0.51)",".","0.20 (0.01 to   4.27)",".","."
"0.45 (0.08 to    2.43)","0.26 (0.01 to    6.97)","0.27 (0.01 to    7.11)","0.53 (0.11 to    2.46)","0.82 (0.52 to    1.30)","Placebo",".","0.52 (0.21 to   1.26)",".",".",".",".",".",".",".",".",".","0.99 (0.42 to   2.31)",".",".",".","."
"0.54 (0.03 to    9.17)","0.31 (0.01 to   17.06)","0.32 (0.01 to   17.37)","0.63 (0.04 to    9.87)","0.98 (0.10 to   10.04)","1.19 (0.11 to   12.81)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.44 (0.08 to    2.36)","0.26 (0.01 to    6.82)","0.26 (0.01 to    6.96)","0.52 (0.11 to    2.39)","0.81 (0.53 to    1.22)","0.98 (0.57 to    1.69)","0.82 (0.08 to    8.75)","2nd-generation EGFR TKIs",".",".",".",".",".",".","0.48 (0.15 to   1.50)",".",".",".","0.43 (0.09 to   2.06)",".",".","."
"0.53 (0.03 to    8.86)","0.31 (0.01 to   16.55)","0.31 (0.01 to   16.86)","0.62 (0.04 to    9.53)","0.96 (0.10 to    9.68)","1.17 (0.11 to   12.35)","0.98 (0.04 to   26.03)","1.19 (0.11 to   12.44)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.48 (0.05 to    5.07)","0.28 (0.01 to   11.02)","0.29 (0.01 to   11.23)","0.56 (0.06 to    5.36)","0.88 (0.16 to    4.83)","1.07 (0.19 to    6.00)","0.90 (0.05 to   16.06)","1.09 (0.19 to    6.21)","0.92 (0.05 to   16.16)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","0.55 (0.11 to   2.78)",".",".",".","."
