"Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","26.60 (1.57 to 452.28)",".",".",".",".",".","."
"5.70 (0.30 to  109.15)","Lazertinib + Amivantamab",".",".",".",".",".",".","2.59 (1.38 to   4.89)",".",".",".",".",".",".",".",".","3.57 (2.08 to   6.14)",".",".",".",".",".",".",".",".",".","."
"4.49 (0.07 to  303.42)","0.79 (0.03 to   18.54)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.24 to 106.89)",".",".",".",".",".",".",".","."
"8.41 (0.38 to  185.96)","1.48 (0.47 to    4.59)","1.88 (0.07 to   50.10)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".","2.52 (0.92 to   6.89)",".",".",".",".",".",".",".",".",".","."
"7.64 (0.29 to  203.38)","1.34 (0.23 to    7.78)","1.70 (0.05 to   53.85)","0.91 (0.13 to    6.57)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".","2.34 (0.51 to  10.77)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9.78 (0.41 to  236.02)","1.72 (0.37 to    7.97)","2.18 (0.08 to   60.02)","1.16 (0.20 to    6.89)","1.28 (0.16 to   10.18)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","2.32 (0.63 to   8.49)",".",".",".",".",".",".",".","."
"7.13 (0.09 to  587.90)","1.25 (0.04 to   38.20)","1.59 (0.02 to  144.26)","0.85 (0.02 to   29.07)","0.93 (0.02 to   37.46)","0.73 (0.02 to   25.73)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","3.18 (0.12 to  87.92)",".",".",".",".",".",".",".","."
"11.29 (0.53 to  239.17)","1.98 (0.48 to    8.10)","2.52 (0.09 to   69.70)","1.34 (0.25 to    7.26)","1.48 (0.20 to   11.02)","1.15 (0.18 to    7.31)","1.58 (0.04 to   56.18)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".","2.36 (0.75 to   7.36)",".",".",".",".",".","."
"13.91 (0.73 to  264.45)","2.44 (1.34 to    4.45)","3.10 (0.13 to   73.63)","1.65 (0.50 to    5.49)","1.82 (0.31 to   10.65)","1.42 (0.30 to    6.71)","1.95 (0.06 to   60.02)","1.23 (0.31 to    4.97)","Lazertinib",".",".",".",".",".",".",".",".","1.38 (0.66 to   2.88)",".",".",".","2.42 (0.79 to   7.44)",".",".",".",".",".","."
"14.15 (0.73 to  276.09)","2.48 (0.89 to    6.91)","3.16 (0.14 to   70.84)","1.68 (0.43 to    6.57)","1.85 (0.33 to   10.45)","1.45 (0.34 to    6.07)","1.98 (0.07 to   57.99)","1.25 (0.29 to    5.33)","1.02 (0.36 to    2.90)","Antiangiogenesis",".",".","2.32 (0.49 to  11.10)",".",".",".",".",".",".","1.47 (0.77 to   2.82)",".",".",".",".",".",".",".","."
"14.98 (0.80 to  282.08)","2.63 (1.05 to    6.56)","3.34 (0.15 to   72.50)","1.78 (0.49 to    6.42)","1.96 (0.37 to   10.40)","1.53 (0.39 to    5.96)","2.10 (0.07 to   59.51)","1.33 (0.34 to    5.24)","1.08 (0.42 to    2.76)","1.06 (0.51 to    2.20)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".","1.51 (1.01 to   2.27)",".",".",".",".",".",".",".","."
"15.69 (0.86 to  287.14)","2.75 (1.23 to    6.18)","3.50 (0.16 to   77.36)","1.86 (0.56 to    6.24)","2.05 (0.40 to   10.63)","1.60 (0.40 to    6.51)","2.20 (0.08 to   63.40)","1.39 (0.37 to    5.16)","1.13 (0.49 to    2.61)","1.11 (0.49 to    2.49)","1.05 (0.54 to    2.04)","Chemotherapy",".","2.06 (0.69 to   6.12)",".",".",".","1.49 (0.57 to   3.88)",".","1.14 (0.57 to   2.27)",".","1.51 (0.52 to   4.41)",".",".",".",".",".","."
"15.88 (0.85 to  296.78)","2.79 (1.14 to    6.80)","3.54 (0.16 to   76.30)","1.89 (0.53 to    6.69)","2.08 (0.40 to   10.88)","1.62 (0.42 to    6.22)","2.23 (0.08 to   62.66)","1.41 (0.36 to    5.47)","1.14 (0.46 to    2.86)","1.12 (0.57 to    2.21)","1.06 (0.62 to    1.81)","1.01 (0.54 to    1.90)","Erlotinib + antiangiogenesis",".",".",".",".",".",".","1.50 (1.05 to   2.13)",".",".",".",".",".",".",".","."
"17.88 (0.98 to  326.57)","3.14 (1.31 to    7.51)","3.99 (0.18 to   88.30)","2.13 (0.60 to    7.48)","2.34 (0.51 to   10.77)","1.83 (0.45 to    7.45)","2.51 (0.09 to   72.36)","1.58 (0.43 to    5.86)","1.29 (0.53 to    3.13)","1.26 (0.56 to    2.85)","1.19 (0.61 to    2.34)","1.14 (0.62 to    2.10)","1.13 (0.59 to    2.14)","Afatinib",".",".",".",".","2.77 (0.71 to  10.79)","1.15 (0.56 to   2.37)",".","1.86 (0.74 to   4.67)",".",".",".",".",".","."
"18.20 (0.85 to  390.23)","3.19 (0.89 to   11.39)","4.06 (0.17 to   99.72)","2.16 (0.46 to   10.27)","2.38 (0.36 to   15.73)","1.86 (0.37 to    9.41)","2.55 (0.08 to   81.07)","1.61 (0.31 to    8.26)","1.31 (0.36 to    4.76)","1.29 (0.41 to    4.05)","1.21 (0.42 to    3.48)","1.16 (0.38 to    3.50)","1.15 (0.41 to    3.22)","1.02 (0.34 to    3.09)","Erlotinib + chemotherapy",".",".",".",".","1.25 (0.47 to   3.29)",".",".",".",".",".",".",".","."
"21.78 (0.54 to  876.62)","3.82 (0.34 to   43.13)","4.86 (0.11 to  219.03)","2.59 (0.20 to   34.34)","2.85 (0.17 to   46.70)","2.23 (0.16 to   30.71)","3.06 (0.05 to  171.35)","1.93 (0.14 to   26.81)","1.57 (0.14 to   17.85)","1.54 (0.15 to   16.32)","1.45 (0.14 to   14.73)","1.39 (0.13 to   14.42)","1.37 (0.14 to   13.78)","1.22 (0.12 to   12.68)","1.20 (0.10 to   14.27)","DHFR inhibitor",".",".",".","1.04 (0.11 to  10.19)",".",".",".",".",".",".",".","."
"22.23 (0.55 to  904.09)","3.90 (0.34 to   44.73)","4.96 (0.11 to  225.82)","2.64 (0.20 to   35.57)","2.91 (0.18 to   48.33)","2.27 (0.16 to   31.81)","3.12 (0.06 to  176.56)","1.97 (0.14 to   27.77)","1.60 (0.14 to   18.51)","1.57 (0.15 to   16.93)","1.48 (0.14 to   15.29)","1.42 (0.13 to   14.97)","1.40 (0.14 to   14.30)","1.24 (0.12 to   13.16)","1.22 (0.10 to   14.80)","1.02 (0.04 to   25.98)","Rociletinib",".",".","1.02 (0.10 to  10.15)",".",".",".",".",".",".",".","."
