"Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".","0.32 (0.11 to   0.96)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.08 (0.03 to   34.70)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.07 (0.03 to   34.61)","0.99 (0.01 to   94.95)","Erlotinib + Autophagy inhibitor",".",".",".",".",".","0.32 (0.01 to   8.22)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.63 (0.08 to    4.85)","0.59 (0.02 to   21.23)","0.59 (0.02 to   21.65)","Erlotinib + MMP inhibitor",".",".",".",".","0.55 (0.11 to   2.66)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.59 (0.09 to    4.02)","0.55 (0.01 to   21.15)","0.55 (0.01 to   21.56)","0.93 (0.09 to    9.67)","Osimertinib + antiangiogenesis",".",".",".",".",".","0.55 (0.11 to   2.66)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.54 (0.08 to    3.69)","0.50 (0.01 to   17.01)","0.51 (0.01 to   17.35)","0.86 (0.10 to    7.19)","0.92 (0.10 to    8.57)","Erlotinib + HER3 inhibitor",".",".","0.64 (0.15 to   2.67)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 (0.11 to    1.51)","0.38 (0.01 to   10.09)","0.38 (0.01 to   10.30)","0.64 (0.12 to    3.55)","0.69 (0.12 to    3.93)","0.75 (0.16 to    3.61)","Gefitinib","0.61 (0.08 to   4.62)",".","1.71 (0.49 to   5.95)",".",".",".",".","0.54 (0.21 to   1.35)",".","0.66 (0.23 to   1.93)",".",".","0.41 (0.13 to   1.27)","0.42 (0.14 to   1.33)",".",".",".",".",".",".","0.04 (0.00 to   0.64)"
"0.36 (0.09 to    1.44)","0.34 (0.01 to    8.94)","0.34 (0.01 to    9.12)","0.57 (0.11 to    3.12)","0.62 (0.10 to    3.69)","0.67 (0.14 to    3.16)","0.89 (0.40 to    2.01)","Dacomitinib","0.73 (0.35 to   1.52)","1.52 (0.52 to   4.47)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.10 to    1.25)","0.32 (0.01 to    8.06)","0.32 (0.01 to    8.22)","0.55 (0.11 to    2.66)","0.59 (0.10 to    3.28)","0.64 (0.15 to    2.67)","0.85 (0.44 to    1.64)","0.95 (0.52 to    1.75)","Erlotinib","0.63 (0.34 to   1.19)",".","0.98 (0.10 to   9.75)","0.96 (0.10 to   9.39)","0.80 (0.30 to   2.12)","0.87 (0.42 to   1.78)","0.67 (0.47 to   0.95)","0.88 (0.44 to   1.75)","0.66 (0.44 to   0.99)","0.68 (0.35 to   1.31)",".",".","0.31 (0.01 to   8.68)","0.43 (0.12 to   1.58)",".",".","0.20 (0.01 to   4.18)",".","."
"0.35 (0.10 to    1.22)","0.32 (0.01 to    8.40)","0.33 (0.01 to    8.57)","0.55 (0.11 to    2.87)","0.59 (0.11 to    3.23)","0.64 (0.14 to    2.90)","0.86 (0.44 to    1.65)","0.96 (0.49 to    1.87)","1.01 (0.62 to    1.62)","Placebo","0.98 (0.44 to   2.19)",".",".",".","0.36 (0.09 to   1.41)",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.11 to    0.96)","0.30 (0.01 to    8.10)","0.30 (0.01 to    8.26)","0.51 (0.09 to    2.87)","0.55 (0.11 to    2.66)","0.60 (0.12 to    2.92)","0.80 (0.38 to    1.67)","0.89 (0.38 to    2.08)","0.93 (0.47 to    1.86)","0.93 (0.50 to    1.74)","Osimertinib",".",".",".",".",".","0.67 (0.26 to   1.76)",".",".","0.73 (0.35 to   1.52)",".",".",".",".","0.40 (0.15 to   1.09)",".","0.28 (0.16 to   0.48)","."
"0.34 (0.02 to    4.72)","0.31 (0.01 to   16.47)","0.32 (0.01 to   16.78)","0.54 (0.03 to    8.73)","0.57 (0.03 to   10.15)","0.63 (0.04 to    9.38)","0.84 (0.08 to    9.10)","0.93 (0.09 to   10.05)","0.98 (0.10 to    9.75)","0.97 (0.09 to   10.19)","1.05 (0.10 to   11.53)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.02 to    4.56)","0.31 (0.01 to   15.98)","0.31 (0.01 to   16.28)","0.53 (0.03 to    8.43)","0.56 (0.03 to    9.81)","0.62 (0.04 to    9.06)","0.82 (0.08 to    8.77)","0.92 (0.09 to    9.69)","0.96 (0.10 to    9.39)","0.95 (0.09 to    9.82)","1.03 (0.09 to   11.12)","0.98 (0.04 to   24.95)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.28 (0.06 to    1.39)","0.26 (0.01 to    7.46)","0.26 (0.01 to    7.61)","0.44 (0.07 to    2.81)","0.47 (0.07 to    3.40)","0.51 (0.09 to    2.89)","0.68 (0.21 to    2.20)","0.76 (0.24 to    2.40)","0.80 (0.30 to    2.12)","0.80 (0.27 to    2.36)","0.86 (0.26 to    2.82)","0.82 (0.07 to    9.92)","0.84 (0.07 to    9.96)","Erlotinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.27 (0.07 to    1.02)","0.25 (0.01 to    6.64)","0.26 (0.01 to    6.78)","0.43 (0.08 to    2.29)","0.46 (0.08 to    2.66)","0.50 (0.11 to    2.32)","0.67 (0.35 to    1.28)","0.75 (0.35 to    1.62)","0.79 (0.46 to    1.35)","0.78 (0.42 to    1.45)","0.84 (0.40 to    1.80)","0.80 (0.08 to    8.52)","0.82 (0.08 to    8.55)","0.98 (0.32 to    2.98)","Afatinib",".","0.49 (0.16 to   1.44)",".",".",".",".",".",".","0.43 (0.09 to   1.97)",".",".",".","."
"0.24 (0.06 to    0.92)","0.22 (0.01 to    5.75)","0.23 (0.01 to    5.86)","0.38 (0.08 to    1.93)","0.41 (0.07 to    2.38)","0.45 (0.10 to    1.95)","0.60 (0.28 to    1.25)","0.67 (0.33 to    1.34)","0.70 (0.49 to    0.99)","0.70 (0.39 to    1.26)","0.75 (0.35 to    1.62)","0.71 (0.07 to    7.30)","0.73 (0.07 to    7.32)","0.87 (0.31 to    2.45)","0.89 (0.47 to    1.68)","Erlotinib + antiangiogenesis",".",".","0.43 (0.09 to   2.06)",".",".",".",".",".",".",".",".","."
"0.24 (0.07 to    0.86)","0.22 (0.01 to    5.82)","0.22 (0.01 to    5.94)","0.38 (0.07 to    2.01)","0.41 (0.07 to    2.25)","0.44 (0.10 to    2.03)","0.59 (0.31 to    1.13)","0.66 (0.31 to    1.42)","0.69 (0.41 to    1.17)","0.69 (0.37 to    1.27)","0.74 (0.38 to    1.44)","0.71 (0.07 to    7.46)","0.72 (0.07 to    7.48)","0.86 (0.29 to    2.60)","0.88 (0.48 to    1.62)","0.99 (0.53 to    1.86)","Chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.06 to    0.88)","0.21 (0.01 to    5.46)","0.21 (0.01 to    5.57)","0.36 (0.07 to    1.85)","0.39 (0.07 to    2.27)","0.42 (0.10 to    1.86)","0.56 (0.26 to    1.21)","0.63 (0.30 to    1.30)","0.66 (0.44 to    0.99)","0.66 (0.35 to    1.23)","0.71 (0.32 to    1.57)","0.67 (0.07 to    6.95)","0.69 (0.07 to    6.97)","0.82 (0.29 to    2.36)","0.84 (0.43 to    1.64)","0.94 (0.55 to    1.61)","0.95 (0.49 to    1.86)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".","."
"0.22 (0.05 to    0.90)","0.20 (0.01 to    5.33)","0.20 (0.01 to    5.43)","0.34 (0.06 to    1.86)","0.37 (0.06 to    2.27)","0.40 (0.08 to    1.89)","0.53 (0.22 to    1.30)","0.59 (0.25 to    1.41)","0.62 (0.34 to    1.15)","0.62 (0.29 to    1.35)","0.67 (0.27 to    1.67)","0.64 (0.06 to    6.86)","0.65 (0.06 to    6.89)","0.78 (0.25 to    2.45)","0.79 (0.35 to    1.79)","0.89 (0.45 to    1.76)","0.90 (0.40 to    2.02)","0.94 (0.45 to    1.96)","Antiangiogenesis",".",".",".",".",".",".",".",".","."
"0.21 (0.06 to    0.75)","0.20 (0.01 to    5.52)","0.20 (0.01 to    5.63)","0.34 (0.06 to    2.02)","0.36 (0.07 to    1.99)","0.39 (0.07 to    2.07)","0.52 (0.23 to    1.17)","0.58 (0.22 to    1.56)","0.61 (0.26 to    1.43)","0.61 (0.27 to    1.38)","0.66 (0.34 to    1.26)","0.63 (0.05 to    7.25)","0.64 (0.06 to    7.28)","0.76 (0.21 to    2.78)","0.78 (0.32 to    1.89)","0.88 (0.35 to    2.19)","0.89 (0.38 to    2.05)","0.93 (0.36 to    2.38)","0.98 (0.35 to    2.80)","Lazertinib",".",".",".",".",".",".","0.39 (0.20 to   0.73)","."
"0.17 (0.03 to    0.98)","0.16 (0.00 to    5.19)","0.16 (0.00 to    5.29)","0.27 (0.03 to    2.13)","0.29 (0.04 to    2.34)","0.32 (0.05 to    2.21)","0.42 (0.14 to    1.33)","0.47 (0.12 to    1.92)","0.50 (0.13 to    1.85)","0.49 (0.13 to    1.84)","0.53 (0.14 to    2.07)","0.51 (0.04 to    7.16)","0.52 (0.04 to    7.20)","0.62 (0.12 to    3.18)","0.63 (0.17 to    2.33)","0.71 (0.18 to    2.76)","0.72 (0.19 to    2.67)","0.75 (0.19 to    2.97)","0.80 (0.19 to    3.39)","0.81 (0.20 to    3.27)","Gefitinib + chemotherapy",".",".",".",".",".",".","."
"0.11 (0.00 to    3.83)","0.10 (0.00 to   10.31)","0.10 (0.00 to   10.49)","0.17 (0.00 to    6.80)","0.18 (0.00 to    7.75)","0.20 (0.01 to    7.46)","0.27 (0.01 to    7.89)","0.30 (0.01 to    8.75)","0.31 (0.01 to    8.68)","0.31 (0.01 to    8.94)","0.34 (0.01 to    9.97)","0.32 (0.01 to   18.17)","0.33 (0.01 to   18.36)","0.39 (0.01 to   12.44)","0.40 (0.01 to   11.50)","0.45 (0.02 to   12.64)","0.45 (0.02 to   13.09)","0.48 (0.02 to   13.47)","0.50 (0.02 to   14.72)","0.51 (0.02 to   15.76)","0.63 (0.02 to   22.42)","Erlotinib + HGF inhibitor",".",".",".",".",".","."
"0.15 (0.02 to    0.93)","0.14 (0.00 to    4.47)","0.14 (0.00 to    4.56)","0.24 (0.03 to    1.82)","0.25 (0.03 to    2.18)","0.28 (0.04 to    1.90)","0.37 (0.09 to    1.57)","0.41 (0.10 to    1.72)","0.43 (0.12 to    1.58)","0.43 (0.11 to    1.71)","0.46 (0.11 to    2.00)","0.44 (0.03 to    6.16)","0.45 (0.03 to    6.19)","0.54 (0.11 to    2.72)","0.55 (0.13 to    2.23)","0.62 (0.16 to    2.36)","0.62 (0.15 to    2.53)","0.65 (0.17 to    2.54)","0.69 (0.16 to    2.90)","0.70 (0.15 to    3.31)","0.87 (0.14 to    5.49)","1.37 (0.04 to   48.40)","Erlotinib + IGF-1R inhibitor",".",".",".",".","."
"0.12 (0.02 to    0.88)","0.11 (0.00 to    3.98)","0.11 (0.00 to    4.06)","0.18 (0.02 to    1.77)","0.20 (0.02 to    2.02)","0.22 (0.02 to    1.87)","0.29 (0.05 to    1.50)","0.32 (0.06 to    1.77)","0.34 (0.07 to    1.70)","0.33 (0.06 to    1.74)","0.36 (0.07 to    1.98)","0.34 (0.02 to    5.71)","0.35 (0.02 to    5.75)","0.42 (0.06 to    2.77)","0.43 (0.09 to    1.97)","0.48 (0.09 to    2.52)","0.49 (0.09 to    2.52)","0.51 (0.10 to    2.70)","0.54 (0.10 to    3.05)","0.55 (0.09 to    3.21)","0.68 (0.09 to    5.05)","1.07 (0.03 to   43.02)","0.78 (0.10 to    6.22)","Afatinib + Cetuximab",".",".",".","."
