"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.11 (0.00 to   2.66)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.00 to     9.48)","Erlotinib + HER3 inhibitor",".",".",".",".",".","0.49 (0.07 to   3.63)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to    37.64)","1.52 (0.03 to    84.45)","Erlotinib + Autophagy inhibitor",".",".",".",".","0.32 (0.01 to  10.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.00 to    36.48)","1.48 (0.03 to    81.78)","0.97 (0.01 to   133.94)","Rociletinib",".",".",".","0.33 (0.01 to  10.80)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.00 to     8.08)","0.86 (0.05 to    14.27)","0.56 (0.01 to    31.02)","0.58 (0.01 to    31.67)","Gefitinib/Erlotinib",".","0.61 (0.12 to   3.16)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to     3.26)","0.53 (0.06 to     4.82)","0.35 (0.01 to    12.86)","0.36 (0.01 to    13.12)","0.62 (0.08 to     4.60)","Gefitinib",".",".",".","1.67 (0.34 to   8.19)","0.20 (0.01 to   5.50)","0.87 (0.17 to   4.52)","0.72 (0.26 to   1.97)","0.68 (0.13 to   3.54)",".","0.52 (0.12 to   2.27)",".",".",".",".",".",".",".",".",".","0.13 (0.01 to   3.47)","0.05 (0.00 to   1.03)","0.04 (0.01 to   0.16)"
"0.11 (0.00 to     3.42)","0.53 (0.05 to     5.18)","0.35 (0.01 to    13.43)","0.36 (0.01 to    13.70)","0.61 (0.12 to     3.16)","1.00 (0.31 to     3.21)","Osimertinib",".",".","0.98 (0.25 to   3.87)",".","0.67 (0.15 to   2.97)",".",".",".","0.67 (0.13 to   3.40)",".","0.54 (0.15 to   1.94)","0.40 (0.08 to   1.86)",".",".",".","0.31 (0.08 to   1.28)",".",".",".",".","."
"0.11 (0.00 to     2.66)","0.49 (0.07 to     3.63)","0.32 (0.01 to    10.59)","0.33 (0.01 to    10.80)","0.58 (0.08 to     4.19)","0.94 (0.36 to     2.45)","0.94 (0.31 to     2.87)","Erlotinib","0.98 (0.25 to   3.88)","0.60 (0.22 to   1.66)","1.17 (0.33 to   4.20)",".",".","0.82 (0.18 to   3.60)","0.71 (0.31 to   1.61)","0.76 (0.31 to   1.87)","0.57 (0.05 to   6.44)",".",".","0.31 (0.01 to  11.11)",".","0.36 (0.08 to   1.65)",".","0.33 (0.20 to   0.55)","0.20 (0.01 to   5.46)","0.61 (0.16 to   2.29)",".","."
"0.12 (0.00 to     3.66)","0.54 (0.05 to     5.69)","0.35 (0.01 to    14.33)","0.36 (0.01 to    14.62)","0.62 (0.06 to     6.38)","1.02 (0.22 to     4.77)","1.02 (0.20 to     5.28)","1.08 (0.31 to     3.84)","Erlotinib + chemotherapy",".",".",".",".",".",".","0.61 (0.05 to   6.89)",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to     2.92)","0.50 (0.06 to     4.20)","0.33 (0.01 to    11.57)","0.34 (0.01 to    11.80)","0.58 (0.08 to     4.03)","0.94 (0.36 to     2.45)","0.95 (0.34 to     2.66)","1.01 (0.47 to     2.15)","0.93 (0.22 to     3.98)","Placebo","0.87 (0.17 to   4.56)",".",".","0.31 (0.05 to   2.04)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to     2.85)","0.45 (0.05 to     4.25)","0.30 (0.01 to    11.23)","0.31 (0.01 to    11.45)","0.53 (0.06 to     4.56)","0.86 (0.24 to     3.03)","0.86 (0.21 to     3.48)","0.92 (0.33 to     2.53)","0.85 (0.17 to     4.25)","0.91 (0.31 to     2.67)","Dacomitinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to     2.87)","0.40 (0.03 to     4.57)","0.26 (0.01 to    11.20)","0.27 (0.01 to    11.42)","0.46 (0.06 to     3.58)","0.75 (0.21 to     2.70)","0.75 (0.22 to     2.57)","0.80 (0.20 to     3.29)","0.74 (0.12 to     4.76)","0.80 (0.20 to     3.15)","0.88 (0.17 to     4.49)","Lazertinib",".",".",".",".",".",".",".",".",".",".","0.46 (0.11 to   1.96)",".",".",".",".","."
