"Rociletinib",".",".",".",".",".",".",".",".",".",".","7.95 (2.80 to  22.58)",".",".",".",".",".",".",".",".",".",".","."
"1.91 (0.49 to    7.47)","Antiangiogenesis",".",".",".",".",".",".",".",".",".","4.16 (1.73 to  10.02)",".",".",".",".",".",".",".",".",".",".","."
"2.72 (0.75 to    9.85)","1.43 (0.45 to    4.53)","3rd-generation EGFR TKIs + antiangiogenesis",".",".","2.25 (1.12 to   4.51)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5.24 (1.59 to   17.30)","2.75 (0.96 to    7.86)","1.93 (0.81 to    4.56)","3rd-generation EGFR TKIs + chemotherapy",".","1.17 (0.70 to   1.94)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5.62 (1.38 to   22.78)","2.94 (0.82 to   10.59)","2.06 (0.62 to    6.82)","1.07 (0.36 to    3.21)","1st-generation EGFR TKIs + chemotherapy",".","1.03 (0.10 to  10.08)",".",".",".",".","1.50 (0.56 to   4.00)",".",".",".",".",".",".",".",".",".",".","."
"6.12 (2.08 to   18.03)","3.21 (1.28 to    8.05)","2.25 (1.12 to    4.51)","1.17 (0.70 to    1.94)","1.09 (0.41 to    2.88)","3rd-generation EGFR TKIs","1.14 (0.17 to   7.83)",".",".",".",".","1.27 (0.95 to   1.69)","1.31 (0.23 to   7.62)",".",".",".",".",".",".","4.03 (0.18 to  91.91)",".","3.69 (1.87 to   7.30)","11.64 (0.63 to 214.54)"
"6.71 (2.00 to   22.53)","3.52 (1.21 to   10.26)","2.46 (0.94 to    6.44)","1.28 (0.56 to    2.94)","1.19 (0.41 to    3.48)","1.10 (0.57 to    2.12)","Chemotherapy",".",".",".",".","1.13 (0.57 to   2.21)",".",".","6.23 (0.25 to 154.18)",".",".",".",".",".",".",".","."
"7.01 (2.11 to   23.26)","3.67 (1.28 to   10.58)","2.57 (0.99 to    6.68)","1.34 (0.59 to    3.05)","1.25 (0.41 to    3.76)","1.15 (0.60 to    2.20)","1.04 (0.45 to    2.45)","Zorifertinib",".",".",".","1.13 (0.63 to   2.04)",".",".",".",".",".",".",".",".",".",".","."
"7.52 (1.28 to   44.18)","3.94 (0.74 to   21.10)","2.76 (0.55 to   13.80)","1.43 (0.31 to    6.66)","1.34 (0.24 to    7.37)","1.23 (0.29 to    5.24)","1.12 (0.24 to    5.26)","1.07 (0.23 to    5.04)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".","1.35 (0.37 to   4.98)",".",".",".",".",".",".",".","."
"7.63 (0.97 to   59.84)","4.00 (0.55 to   28.96)","2.80 (0.41 to   19.24)","1.45 (0.22 to    9.41)","1.36 (0.18 to   10.09)","1.25 (0.21 to    7.52)","1.14 (0.17 to    7.43)","1.09 (0.17 to    7.06)","1.01 (0.10 to    9.91)","DHFR inhibitor",".","1.04 (0.18 to   6.15)",".",".",".",".",".",".",".",".",".",".","."
