"Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".","."
"0.28 (0.01 to    5.46)","Placebo",".",".",".",".",".",".","0.73 (0.18 to   2.92)",".",".","0.48 (0.11 to   2.11)",".",".",".",".",".","0.27 (0.14 to   0.53)",".",".",".",".","."
"0.22 (0.01 to    5.38)","0.80 (0.21 to    3.08)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".","0.64 (0.21 to   1.95)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   24.86)","1.24 (0.05 to   29.75)","1.55 (0.05 to   45.60)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".","."
"0.17 (0.01 to    3.58)","0.62 (0.24 to    1.64)","0.78 (0.18 to    3.40)","0.50 (0.02 to   12.69)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".","0.64 (0.30 to   1.37)",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.01 to    3.06)","0.56 (0.26 to    1.21)","0.71 (0.18 to    2.72)","0.46 (0.02 to   10.89)","0.91 (0.37 to    2.21)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".","0.71 (0.44 to   1.12)",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.01 to    6.63)","0.66 (0.08 to    5.63)","0.83 (0.08 to    9.25)","0.54 (0.01 to   22.80)","1.07 (0.12 to    9.51)","1.18 (0.14 to    9.63)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".","0.60 (0.08 to   4.66)",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.01 to    3.42)","0.56 (0.18 to    1.74)","0.71 (0.15 to    3.42)","0.46 (0.02 to   12.10)","0.91 (0.27 to    3.05)","1.00 (0.35 to    2.87)","0.85 (0.09 to    8.13)","1st-generation EGFR TKIs + MET inhibitor",".",".",".","0.71 (0.27 to   1.82)",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to    2.81)","0.51 (0.24 to    1.09)","0.64 (0.21 to    1.95)","0.41 (0.02 to    9.98)","0.82 (0.31 to    2.13)","0.90 (0.43 to    1.90)","0.77 (0.09 to    6.46)","0.90 (0.30 to    2.74)","2nd-generation EGFR TKIs",".",".","0.89 (0.47 to   1.70)",".",".","0.74 (0.20 to   2.73)",".","0.16 (0.01 to   3.97)",".",".",".",".",".","."
"0.12 (0.00 to    3.40)","0.44 (0.08 to    2.36)","0.55 (0.07 to    4.13)","0.35 (0.01 to   11.85)","0.70 (0.12 to    4.04)","0.78 (0.15 to    4.00)","0.66 (0.05 to    8.74)","0.78 (0.12 to    4.86)","0.86 (0.16 to    4.61)","1st-generation EGFR TKIs + HER3 inhibitor",".","0.91 (0.19 to   4.39)",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.39)","0.40 (0.06 to    2.57)","0.51 (0.06 to    4.46)","0.33 (0.01 to   11.77)","0.65 (0.09 to    4.49)","0.71 (0.11 to    4.50)","0.61 (0.04 to    9.17)","0.71 (0.10 to    5.36)","0.79 (0.12 to    5.13)","0.92 (0.09 to    9.90)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".","0.76 (0.13 to   4.42)",".",".",".",".","."
"0.11 (0.01 to    2.08)","0.40 (0.22 to    0.73)","0.50 (0.14 to    1.76)","0.32 (0.01 to    7.43)","0.64 (0.30 to    1.37)","0.71 (0.44 to    1.12)","0.60 (0.08 to    4.66)","0.71 (0.27 to    1.82)","0.78 (0.44 to    1.40)","0.91 (0.19 to    4.39)","0.99 (0.17 to    5.87)","1st-generation EGFR TKIs","1.00 (0.16 to   6.12)","0.96 (0.16 to   5.67)",".","0.88 (0.49 to   1.59)","0.89 (0.45 to   1.74)","0.79 (0.59 to   1.05)","0.67 (0.25 to   1.78)",".",".","0.24 (0.10 to   0.58)","0.13 (0.04 to   0.36)"
