"Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.95 (2.80 to  22.58)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.89 (0.48 to    7.42)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","29.90 (1.74 to 513.78)",".","3.38 (1.34 to   8.51)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.20 (0.43 to   11.33)","1.17 (0.25 to    5.38)","Osimertinib + antiangiogenesis",".",".",".","2.25 (1.12 to   4.51)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.15 (0.35 to   28.38)","1.67 (0.20 to   13.62)","1.43 (0.21 to    9.59)","Lazertinib",".",".","3.37 (0.44 to  25.67)",".","1.98 (0.34 to  11.54)",".",".",".",".",".","0.33 (0.01 to   8.23)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.24 (0.88 to   20.31)","2.25 (0.53 to    9.58)","1.93 (0.81 to    4.56)","1.34 (0.21 to    8.48)","Osimertinib + chemotherapy",".","1.17 (0.70 to   1.94)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.99 (0.59 to   26.82)","2.11 (0.34 to   12.97)","1.81 (0.27 to   12.37)","1.27 (0.11 to   14.24)","0.94 (0.15 to    6.05)","Afatinib + HMGCR inhibitor",".",".",".","1.35 (0.37 to   4.98)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.95 (1.12 to   21.79)","2.62 (0.67 to   10.21)","2.25 (1.12 to    4.51)","1.57 (0.27 to    9.21)","1.17 (0.70 to    1.94)","1.24 (0.21 to    7.43)","Osimertinib",".","0.59 (0.08 to   4.48)",".","1.14 (0.17 to   7.83)",".",".",".",".",".",".",".",".",".",".",".",".",".","2.39 (1.25 to   4.54)","4.03 (0.18 to  91.91)",".",".","3.69 (1.87 to   7.30)","11.64 (0.63 to 214.54)"
"4.83 (1.01 to   23.20)","2.56 (0.59 to   11.07)","2.20 (0.40 to   12.03)","1.53 (0.16 to   14.42)","1.14 (0.22 to    5.83)","1.21 (0.17 to    8.67)","0.98 (0.21 to    4.61)","Erlotinib + chemotherapy",".",".","1.03 (0.10 to  10.08)",".",".",".",".",".","1.83 (0.51 to   6.52)",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.69 (0.44 to   50.15)","2.48 (0.25 to   24.40)","2.13 (0.27 to   16.59)","1.49 (0.27 to    8.31)","1.11 (0.15 to    8.15)","1.17 (0.09 to   15.44)","0.95 (0.14 to    6.54)","0.97 (0.09 to   10.82)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5.39 (1.35 to   21.56)","2.85 (0.81 to   10.05)","2.45 (0.60 to   10.00)","1.71 (0.22 to   13.11)","1.27 (0.34 to    4.78)","1.35 (0.37 to    4.98)","1.09 (0.32 to    3.70)","1.11 (0.26 to    4.86)","1.15 (0.12 to   10.58)","Afatinib","0.16 (0.01 to   3.97)",".",".",".","0.33 (0.01 to   8.14)",".","2.39 (0.78 to   7.27)",".","1.57 (0.51 to   4.79)",".",".",".",".",".",".",".",".",".","2.54 (0.44 to  14.76)","."
