"Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".",".","."
"0.29 (0.01 to    5.69)","Placebo","2.00 (0.21 to  19.31)",".",".",".",".",".",".",".",".",".",".","0.48 (0.11 to   2.11)",".",".",".",".",".",".","0.39 (0.07 to   2.30)",".",".","0.27 (0.14 to   0.53)",".",".",".",".",".","."
"0.27 (0.01 to    6.35)","0.93 (0.30 to    2.90)","Dacomitinib",".",".",".",".",".",".",".",".",".",".","0.57 (0.25 to   1.27)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.01 to    5.23)","0.75 (0.22 to    2.52)","0.80 (0.27 to    2.36)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".","0.64 (0.30 to   1.37)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   24.86)","1.20 (0.05 to   29.34)","1.29 (0.04 to   37.18)","1.61 (0.05 to   47.47)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".",".","."
"0.20 (0.01 to    4.05)","0.71 (0.29 to    1.78)","0.76 (0.19 to    3.07)","0.95 (0.22 to    4.05)","0.59 (0.02 to   14.40)","Gefitinib/Erlotinib",".",".",".","0.88 (0.49 to   1.59)",".",".",".",".",".",".",".",".",".",".",".",".",".","0.42 (0.22 to   0.80)",".",".",".",".",".","."
"0.20 (0.01 to    4.48)","0.68 (0.24 to    1.95)","0.73 (0.30 to    1.79)","0.91 (0.37 to    2.21)","0.56 (0.02 to   15.79)","0.95 (0.26 to    3.56)","Erlotinib + antiangiogenesis",".",".",".",".",".",".","0.71 (0.44 to   1.12)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.01 to    9.44)","0.80 (0.08 to    7.65)","0.86 (0.10 to    7.66)","1.07 (0.12 to    9.51)","0.66 (0.01 to   32.28)","1.12 (0.10 to   12.28)","1.18 (0.14 to    9.63)","Erlotinib + MMP inhibitor",".",".",".",".",".","0.60 (0.08 to   4.66)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.20 (0.01 to    4.99)","0.68 (0.18 to    2.59)","0.73 (0.22 to    2.46)","0.91 (0.27 to    3.05)","0.56 (0.02 to   17.45)","0.95 (0.20 to    4.51)","1.00 (0.35 to    2.87)","0.85 (0.09 to    8.13)","Erlotinib + MET inhibitor",".",".",".",".","0.71 (0.27 to   1.82)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.01 to    3.79)","0.63 (0.21 to    1.86)","0.67 (0.15 to    3.05)","0.84 (0.18 to    4.01)","0.52 (0.02 to   13.41)","0.88 (0.49 to    1.59)","0.93 (0.22 to    3.92)","0.79 (0.07 to    9.24)","0.93 (0.18 to    4.88)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.00 to    4.90)","0.53 (0.08 to    3.30)","0.56 (0.10 to    3.25)","0.70 (0.12 to    4.04)","0.44 (0.01 to   16.92)","0.74 (0.10 to    5.46)","0.78 (0.15 to    4.00)","0.66 (0.05 to    8.74)","0.78 (0.12 to    4.86)","0.84 (0.10 to    6.74)","Erlotinib + HER3 inhibitor",".",".","0.91 (0.19 to   4.39)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.01 to    4.18)","0.51 (0.10 to    2.47)","0.55 (0.11 to    2.75)","0.68 (0.13 to    3.47)","0.42 (0.01 to   14.55)","0.71 (0.12 to    4.22)","0.75 (0.16 to    3.41)","0.64 (0.05 to    7.81)","0.75 (0.13 to    4.20)","0.81 (0.12 to    5.27)","0.97 (0.11 to    8.16)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".","0.64 (0.21 to   1.95)",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    5.00)","0.48 (0.06 to    3.71)","0.51 (0.07 to    3.68)","0.64 (0.09 to    4.57)","0.40 (0.01 to   17.17)","0.67 (0.08 to    6.03)","0.71 (0.11 to    4.58)","0.60 (0.04 to    9.26)","0.71 (0.09 to    5.45)","0.76 (0.08 to    7.38)","0.91 (0.08 to   10.02)","0.94 (0.09 to    9.56)","Erlotinib + Autophagy inhibitor","1.00 (0.16 to   6.12)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
