"Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.68 (0.01 to   68.14)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".",".",".",".",".",".","."
"0.19 (0.01 to    6.53)","0.28 (0.01 to    5.68)","Dacomitinib",".","0.41 (0.12 to   1.42)",".",".",".",".",".",".","0.99 (0.10 to   9.56)",".","0.67 (0.36 to   1.26)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   40.49)","0.51 (0.01 to   41.33)","1.84 (0.07 to   48.54)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.00 to    5.12)","0.22 (0.01 to    4.19)","0.79 (0.40 to    1.56)","0.43 (0.02 to   11.19)","Placebo",".",".",".",".",".",".","1.03 (0.31 to   3.39)","0.44 (0.14 to   1.42)","0.72 (0.34 to   1.54)",".",".",".",".",".",".",".",".",".",".","0.38 (0.22 to   0.65)",".",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    5.28)","0.21 (0.01 to    4.07)","0.76 (0.28 to    2.03)","0.41 (0.01 to   11.60)","0.96 (0.45 to    2.05)","Gefitinib/Erlotinib",".",".",".","0.88 (0.49 to   1.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.41 (0.23 to   0.72)",".",".",".",".",".",".",".",".",".","."
"0.24 (0.00 to   27.07)","0.35 (0.00 to   24.86)","1.25 (0.05 to   31.69)","0.68 (0.01 to   63.72)","1.59 (0.07 to   37.76)","1.65 (0.07 to   39.63)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    6.10)","0.20 (0.01 to    5.59)","0.74 (0.16 to    3.41)","0.40 (0.01 to   13.57)","0.94 (0.21 to    4.27)","0.97 (0.18 to    5.18)","0.59 (0.02 to   19.50)","DHFR inhibitor",".",".",".",".",".","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.00 to    4.31)","0.18 (0.01 to    3.82)","0.66 (0.29 to    1.48)","0.36 (0.01 to    9.42)","0.83 (0.38 to    1.84)","0.86 (0.30 to    2.49)","0.52 (0.02 to   13.51)","0.89 (0.19 to    4.16)","Erlotinib + MET inhibitor",".",".",".",".","0.90 (0.50 to   1.64)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.00 to    4.89)","0.18 (0.01 to    3.81)","0.67 (0.21 to    2.11)","0.36 (0.01 to   10.78)","0.85 (0.33 to    2.21)","0.88 (0.49 to    1.59)","0.53 (0.02 to   13.50)","0.91 (0.15 to    5.34)","1.02 (0.30 to    3.43)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.00 to    4.09)","0.17 (0.01 to    3.62)","0.62 (0.28 to    1.39)","0.34 (0.01 to    8.94)","0.79 (0.36 to    1.73)","0.82 (0.29 to    2.35)","0.50 (0.02 to   12.82)","0.85 (0.18 to    3.94)","0.95 (0.42 to    2.18)","0.93 (0.28 to    3.11)","Erlotinib + IGF-1R inhibitor",".",".","0.95 (0.53 to   1.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.00 to    4.07)","0.17 (0.01 to    3.45)","0.61 (0.28 to    1.37)","0.33 (0.01 to    8.92)","0.78 (0.40 to    1.53)","0.81 (0.31 to    2.11)","0.49 (0.02 to   12.25)","0.83 (0.17 to    3.99)","0.94 (0.39 to    2.27)","0.92 (0.30 to    2.82)","0.98 (0.41 to    2.36)","Gefitinib","1.01 (0.33 to   3.05)",".",".",".","0.90 (0.54 to   1.50)","0.88 (0.32 to   2.45)","0.87 (0.42 to   1.78)","1.15 (0.40 to   3.27)",".",".",".","0.33 (0.01 to   8.20)",".",".","0.71 (0.14 to   3.63)",".",".",".","0.14 (0.01 to   2.76)",".",".","0.03 (0.00 to   0.57)","."
"0.11 (0.00 to    3.95)","0.17 (0.01 to    3.41)","0.61 (0.29 to    1.28)","0.33 (0.01 to    8.64)","0.77 (0.41 to    1.46)","0.80 (0.31 to    2.07)","0.48 (0.02 to   12.10)","0.82 (0.18 to    3.77)","0.93 (0.42 to    2.06)","0.91 (0.30 to    2.78)","0.97 (0.44 to    2.14)","0.99 (0.49 to    1.99)","Afatinib","0.95 (0.48 to   1.89)","0.97 (0.40 to   2.34)",".",".",".",".","0.37 (0.08 to   1.74)","0.74 (0.20 to   2.73)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.70)","0.16 (0.01 to    3.25)","0.59 (0.34 to    1.03)","0.32 (0.01 to    8.06)","0.75 (0.45 to    1.27)","0.78 (0.33 to    1.87)","0.47 (0.02 to   11.56)","0.80 (0.19 to    3.34)","0.90 (0.50 to    1.64)","0.89 (0.31 to    2.54)","0.95 (0.53 to    1.70)","0.97 (0.50 to    1.86)","0.98 (0.57 to    1.67)","Erlotinib",".","0.97 (0.71 to   1.33)",".",".",".","0.83 (0.52 to   1.33)",".","0.69 (0.30 to   1.57)","0.60 (0.15 to   2.49)",".",".","0.45 (0.11 to   1.84)",".","0.36 (0.08 to   1.60)",".",".",".",".","0.19 (0.08 to   0.46)","0.22 (0.10 to   0.47)","."
"0.11 (0.00 to    4.28)","0.16 (0.01 to    3.76)","0.59 (0.19 to    1.87)","0.32 (0.01 to    9.44)","0.75 (0.25 to    2.22)","0.78 (0.21 to    2.84)","0.47 (0.02 to   13.25)","0.80 (0.14 to    4.64)","0.90 (0.27 to    2.96)","0.88 (0.21 to    3.66)","0.95 (0.29 to    3.09)","0.96 (0.31 to    2.96)","0.97 (0.40 to    2.34)","1.00 (0.36 to    2.79)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.70)","0.16 (0.01 to    3.25)","0.58 (0.31 to    1.10)","0.32 (0.01 to    8.06)","0.74 (0.40 to    1.36)","0.77 (0.30 to    1.95)","0.46 (0.02 to   11.55)","0.79 (0.18 to    3.40)","0.89 (0.45 to    1.74)","0.87 (0.29 to    2.62)","0.93 (0.48 to    1.81)","0.95 (0.46 to    1.96)","0.96 (0.52 to    1.78)","0.98 (0.72 to    1.35)","0.99 (0.34 to    2.89)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.17 (0.03 to   1.07)","."
"0.10 (0.00 to    3.79)","0.15 (0.01 to    3.24)","0.55 (0.21 to    1.43)","0.30 (0.01 to    8.33)","0.70 (0.30 to    1.63)","0.73 (0.24 to    2.15)","0.44 (0.02 to   11.45)","0.75 (0.14 to    3.88)","0.84 (0.30 to    2.33)","0.82 (0.24 to    2.83)","0.88 (0.32 to    2.43)","0.90 (0.54 to    1.50)","0.91 (0.38 to    2.15)","0.93 (0.40 to    2.14)","0.93 (0.27 to    3.20)","0.94 (0.39 to    2.29)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    4.14)","0.15 (0.01 to    3.60)","0.54 (0.15 to    1.98)","0.29 (0.01 to    9.16)","0.68 (0.20 to    2.33)","0.71 (0.18 to    2.89)","0.43 (0.01 to   12.63)","0.73 (0.11 to    4.75)","0.82 (0.21 to    3.18)","0.81 (0.18 to    3.69)","0.86 (0.23 to    3.32)","0.88 (0.32 to    2.45)","0.89 (0.26 to    3.06)","0.91 (0.27 to    3.07)","0.91 (0.20 to    4.16)","0.92 (0.26 to    3.24)","0.98 (0.31 to    3.08)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
