"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","8.95 (1.58 to  50.67)",".",".",".",".",".",".",".","."
"2.30 (0.12 to   45.17)","Antiangiogenesis",".",".",".",".",".",".",".",".",".","5.53 (0.63 to  48.29)",".",".",".",".","."
"3.82 (0.58 to   25.22)","1.66 (0.13 to   20.96)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".","2.34 (1.11 to   4.95)",".",".",".",".",".",".",".","."
"4.12 (0.09 to  186.05)","1.79 (0.04 to   86.72)","1.08 (0.03 to   34.82)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".","3.08 (0.12 to  76.92)",".",".",".",".","."
"4.19 (0.09 to  188.59)","1.82 (0.04 to   87.91)","1.10 (0.03 to   35.28)","1.02 (0.01 to   95.91)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".","."
"5.69 (0.45 to   71.89)","2.48 (0.18 to   34.65)","1.49 (0.20 to   10.97)","1.38 (0.04 to   48.16)","1.36 (0.04 to   47.25)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".","2.23 (0.50 to  10.04)",".",".",".",".","."
"4.96 (0.13 to  194.55)","2.16 (0.05 to   90.91)","1.30 (0.05 to   35.90)","1.20 (0.01 to  101.24)","1.18 (0.01 to   99.39)","0.87 (0.03 to   26.09)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".","2.56 (0.12 to  54.10)",".",".",".",".","."
"8.69 (0.96 to   78.96)","3.78 (0.37 to   38.61)","2.27 (0.48 to   10.80)","2.11 (0.08 to   58.57)","2.08 (0.07 to   57.46)","1.53 (0.27 to    8.53)","1.75 (0.07 to   41.43)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".","1.46 (0.63 to   3.38)",".",".",".",".","."
"8.95 (1.58 to   50.67)","3.90 (0.35 to   43.89)","2.34 (1.11 to    4.95)","2.17 (0.07 to   64.69)","2.14 (0.07 to   63.46)","1.57 (0.25 to   10.02)","1.81 (0.07 to   45.92)","1.03 (0.26 to    4.04)","3rd-generation EGFR TKIs","2.46 (0.12 to  51.58)",".","2.76 (0.69 to  11.08)","1.84 (0.36 to   9.41)",".",".","0.85 (0.20 to   3.62)","."
"10.12 (0.85 to  120.23)","4.40 (0.29 to   66.44)","2.65 (0.39 to   18.04)","2.46 (0.07 to   90.58)","2.42 (0.07 to   88.88)","1.78 (0.19 to   16.37)","2.04 (0.06 to   64.93)","1.16 (0.19 to    7.30)","1.13 (0.19 to    6.61)","Chemotherapy",".","0.97 (0.10 to   9.39)",".","6.39 (0.26 to 158.01)",".",".","."
