"1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.00 to    6.40)","Placebo",".","0.66 (0.10 to   4.24)",".","0.29 (0.06 to   1.39)",".",".","1.18 (0.28 to   5.05)",".",".",".",".",".",".",".","."
"0.17 (0.00 to    7.75)","1.03 (0.16 to    6.64)","1st-generation EGFR TKIs + chemotherapy",".",".","0.66 (0.14 to   3.01)",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    5.51)","0.87 (0.25 to    3.00)","0.84 (0.14 to    5.27)","2nd-generation EGFR TKIs",".","0.84 (0.25 to   2.76)",".","0.16 (0.01 to   3.87)",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    8.00)","0.88 (0.12 to    6.41)","0.85 (0.07 to   10.16)","1.01 (0.12 to    8.45)","3rd-generation EGFR TKIs + Amivantamab",".",".",".","0.54 (0.11 to   2.77)",".",".",".",".",".",".",".","."
"0.11 (0.00 to    3.70)","0.68 (0.23 to    1.97)","0.66 (0.14 to    3.01)","0.78 (0.28 to    2.14)","0.77 (0.11 to    5.43)","1st-generation EGFR TKIs","1.01 (0.32 to   3.20)","1.03 (0.11 to   9.90)","0.36 (0.09 to   1.46)","0.68 (0.30 to   1.58)","0.39 (0.02 to   8.24)","0.45 (0.10 to   2.02)","0.33 (0.01 to   8.20)","0.32 (0.01 to   8.09)",".","0.18 (0.02 to   1.58)","."
"0.11 (0.00 to    4.50)","0.69 (0.14 to    3.30)","0.66 (0.10 to    4.48)","0.78 (0.17 to    3.65)","0.78 (0.08 to    7.52)","1.01 (0.32 to    3.20)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    4.23)","0.54 (0.09 to    3.39)","0.52 (0.06 to    4.87)","0.62 (0.11 to    3.60)","0.61 (0.06 to    6.78)","0.80 (0.16 to    4.08)","0.79 (0.11 to    5.82)","Chemotherapy","0.41 (0.02 to   8.53)",".",".",".",".",".",".",".","."
"0.08 (0.00 to    3.07)","0.48 (0.15 to    1.48)","0.46 (0.07 to    2.99)","0.55 (0.14 to    2.14)","0.54 (0.11 to    2.77)","0.71 (0.24 to    2.08)","0.70 (0.14 to    3.38)","0.89 (0.15 to    5.18)","3rd-generation EGFR TKIs",".",".",".",".",".","0.43 (0.20 to   0.90)",".","0.11 (0.02 to   0.63)"
"0.08 (0.00 to    2.80)","0.46 (0.12 to    1.80)","0.45 (0.08 to    2.55)","0.53 (0.14 to    1.98)","0.53 (0.06 to    4.41)","0.68 (0.30 to    1.58)","0.68 (0.16 to    2.81)","0.86 (0.14 to    5.38)","0.97 (0.25 to    3.80)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".","."
"0.04 (0.00 to    4.52)","0.26 (0.01 to    6.69)","0.26 (0.01 to    7.73)","0.30 (0.01 to    7.54)","0.30 (0.01 to   11.23)","0.39 (0.02 to    8.24)","0.39 (0.01 to   10.06)","0.49 (0.02 to   15.58)","0.55 (0.02 to   14.06)","0.57 (0.02 to   13.48)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".","."
"0.05 (0.00 to    2.26)","0.30 (0.05 to    1.92)","0.29 (0.03 to    2.50)","0.35 (0.06 to    2.14)","0.34 (0.03 to    4.06)","0.45 (0.10 to    2.02)","0.44 (0.07 to    2.95)","0.56 (0.06 to    5.18)","0.64 (0.10 to    4.05)","0.66 (0.12 to    3.66)","1.15 (0.04 to   34.43)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".","."
"0.04 (0.00 to    4.26)","0.22 (0.01 to    6.61)","0.22 (0.01 to    7.57)","0.26 (0.01 to    7.44)","0.25 (0.01 to   10.91)","0.33 (0.01 to    8.20)","0.33 (0.01 to    9.91)","0.41 (0.01 to   15.23)","0.47 (0.02 to   13.88)","0.48 (0.02 to   13.34)","0.84 (0.01 to   70.95)","0.74 (0.02 to   25.56)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".","."
"0.04 (0.00 to    4.20)","0.22 (0.01 to    6.52)","0.21 (0.01 to    7.47)","0.25 (0.01 to    7.34)","0.25 (0.01 to   10.76)","0.32 (0.01 to    8.09)","0.32 (0.01 to    9.78)","0.41 (0.01 to   15.02)","0.46 (0.02 to   13.69)","0.47 (0.02 to   13.17)","0.83 (0.01 to   69.96)","0.72 (0.02 to   25.22)","0.98 (0.01 to   92.85)","1st-generation EGFR TKIs + MMP inhibitor",".",".","."
"0.03 (0.00 to    1.41)","0.20 (0.05 to    0.79)","0.20 (0.03 to    1.47)","0.23 (0.05 to    1.11)","0.23 (0.04 to    1.39)","0.30 (0.08 to    1.12)","0.30 (0.05 to    1.71)","0.38 (0.06 to    2.57)","0.43 (0.20 to    0.90)","0.44 (0.09 to    2.09)","0.77 (0.03 to   21.33)","0.67 (0.09 to    4.94)","0.91 (0.03 to   29.37)","0.93 (0.03 to   29.94)","3rd-generation EGFR TKIs + chemotherapy",".","."
"0.02 (0.00 to    1.24)","0.12 (0.01 to    1.37)","0.12 (0.01 to    1.68)","0.14 (0.01 to    1.54)","0.14 (0.01 to    2.58)","0.18 (0.02 to    1.58)","0.18 (0.02 to    2.09)","0.23 (0.02 to    3.43)","0.26 (0.02 to    2.89)","0.26 (0.03 to    2.70)","0.46 (0.01 to   19.56)","0.40 (0.03 to    5.65)","0.55 (0.01 to   26.49)","0.56 (0.01 to   27.00)","0.60 (0.05 to    7.59)","Antiangiogenesis","."
