"Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8.95 (1.58 to  50.67)",".",".",".",".",".",".",".","."
"0.80 (0.01 to    45.57)","Icotinib",".",".",".",".",".",".",".","7.07 (0.36 to 137.79)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.40 (0.05 to    37.93)","1.76 (0.02 to   135.96)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","5.53 (0.63 to  48.29)",".",".",".",".",".",".",".",".","."
"1.85 (0.03 to   127.48)","2.33 (0.03 to   185.34)","1.33 (0.01 to   121.64)","Gefitinib + PARP inhibitor",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.51 (0.04 to   146.35)","3.15 (0.02 to   447.19)","1.79 (0.04 to    86.72)","1.35 (0.01 to   222.87)","Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".","3.08 (0.12 to  76.92)",".",".",".",".",".",".",".",".","."
"3.46 (0.19 to    63.44)","4.35 (0.08 to   251.96)","2.48 (0.18 to    34.65)","1.87 (0.03 to   129.64)","1.38 (0.04 to    48.16)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".","2.23 (0.50 to  10.04)",".",".",".",".",".",".",".",".","."
"3.82 (0.58 to    25.22)","4.80 (0.11 to   200.90)","2.73 (0.15 to    49.99)","2.06 (0.04 to   104.93)","1.52 (0.04 to    65.12)","1.10 (0.10 to    12.81)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".","2.34 (1.11 to   4.95)",".",".",".",".",".",".",".","."
"3.01 (0.06 to   154.45)","3.79 (0.03 to   483.42)","2.16 (0.05 to    90.91)","1.63 (0.01 to   241.70)","1.20 (0.01 to   101.24)","0.87 (0.03 to    26.09)","0.79 (0.02 to    29.25)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".","2.56 (0.12 to  54.10)",".",".",".",".",".",".",".",".","."
"5.29 (0.38 to    73.03)","6.64 (0.14 to   315.78)","3.78 (0.37 to    38.61)","2.85 (0.05 to   163.92)","2.11 (0.08 to    58.57)","1.53 (0.27 to     8.53)","1.38 (0.17 to    11.41)","1.75 (0.07 to    41.43)","Erlotinib + antiangiogenesis",".",".",".",".",".","1.46 (0.63 to   3.38)",".",".",".",".",".",".",".",".","."
"5.63 (0.36 to    88.07)","7.07 (0.36 to   137.79)","4.02 (0.17 to    96.39)","3.03 (0.12 to    75.44)","2.24 (0.04 to   118.60)","1.62 (0.10 to    25.82)","1.47 (0.15 to    14.16)","1.87 (0.04 to    86.20)","1.06 (0.09 to    12.56)","Gefitinib","2.92 (0.12 to  71.72)","1.37 (0.14 to  13.27)",".",".",".",".","0.33 (0.01 to   8.15)",".",".","3.00 (0.12 to  74.06)","4.92 (0.23 to 102.99)",".",".","."
"6.72 (0.50 to    90.00)","8.45 (0.21 to   343.83)","4.81 (0.27 to    85.39)","3.63 (0.07 to   179.84)","2.68 (0.06 to   112.01)","1.94 (0.17 to    21.75)","1.76 (0.22 to    13.95)","2.23 (0.06 to    80.70)","1.27 (0.16 to    10.06)","1.20 (0.13 to    10.97)","Chemotherapy",".",".",".","2.77 (0.11 to  68.50)","0.41 (0.02 to   8.53)",".","6.39 (0.26 to 158.01)",".",".",".",".",".","."
"7.70 (0.22 to   272.74)","9.68 (0.23 to   406.90)","5.50 (0.11 to   273.36)","4.15 (0.08 to   212.47)","3.07 (0.03 to   296.99)","2.22 (0.06 to    79.70)","2.01 (0.08 to    49.77)","2.55 (0.03 to   219.84)","1.46 (0.05 to    41.69)","1.37 (0.14 to    13.27)","1.14 (0.05 to    27.36)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","."
"7.73 (0.27 to   223.89)","9.71 (0.12 to   789.95)","5.53 (0.24 to   127.23)","4.17 (0.04 to   400.98)","3.08 (0.06 to   157.80)","2.23 (0.15 to    33.89)","2.02 (0.10 to    39.88)","2.56 (0.06 to   114.56)","1.46 (0.13 to    16.38)","1.37 (0.05 to    35.24)","1.15 (0.06 to    22.00)","1.00 (0.02 to    52.71)","Dacomitinib",".","1.00 (0.10 to   9.65)",".",".",".",".",".",".",".",".","."
"7.81 (0.50 to   121.33)","9.82 (0.19 to   505.81)","5.59 (0.48 to    65.08)","4.21 (0.07 to   261.59)","3.12 (0.10 to    95.02)","2.26 (0.34 to    15.01)","2.05 (0.21 to    19.47)","2.59 (0.10 to    67.52)","1.48 (0.36 to     6.14)","1.39 (0.10 to    18.55)","1.16 (0.13 to    10.64)","1.01 (0.03 to    31.86)","1.01 (0.08 to    12.86)","Erlotinib + MET inhibitor","0.99 (0.31 to   3.13)",".",".",".",".",".",".",".",".","."
"7.73 (0.64 to    93.08)","9.71 (0.22 to   421.05)","5.53 (0.63 to    48.29)","4.17 (0.08 to   219.53)","3.08 (0.12 to    76.92)","2.23 (0.50 to    10.04)","2.02 (0.29 to    14.02)","2.56 (0.12 to    54.10)","1.46 (0.63 to     3.38)","1.37 (0.13 to    14.00)","1.15 (0.17 to     7.61)","1.00 (0.04 to    25.84)","1.00 (0.10 to     9.65)","0.99 (0.31 to     3.13)","Erlotinib",".",".","1.28 (0.31 to   5.21)","1.67 (0.21 to  12.97)",".","3.02 (0.49 to  18.58)",".","9.00 (0.27 to 299.86)","."
"8.95 (1.58 to    50.67)","11.26 (0.29 to   436.62)","6.40 (0.39 to   106.25)","4.83 (0.10 to   228.93)","3.57 (0.09 to   141.59)","2.59 (0.25 to    26.71)","2.34 (1.11 to     4.95)","2.97 (0.09 to   101.80)","1.69 (0.24 to    12.18)","1.59 (0.19 to    13.48)","1.33 (0.19 to     9.18)","1.16 (0.05 to    26.30)","1.16 (0.06 to    20.78)","1.15 (0.14 to     9.61)","1.16 (0.19 to     6.92)","Osimertinib","1.84 (0.30 to  11.27)",".",".",".","0.85 (0.20 to   3.62)","2.18 (0.49 to   9.78)",".","5.07 (0.87 to  29.52)"
