"Gefitinib/Erlotinib",".",".",".",".",".",".",".","0.20 (0.03 to   1.15)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.53 (0.02 to   114.05)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.38 (0.04 to     3.86)","0.25 (0.00 to    16.60)","Lazertinib + Amivantamab",".",".",".",".","0.84 (0.11 to   6.43)","0.46 (0.10 to   2.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.31 (0.03 to     2.77)","0.20 (0.00 to     8.60)","0.80 (0.11 to     5.70)","Placebo",".",".","0.66 (0.10 to   4.24)",".","1.18 (0.28 to   5.05)","0.33 (0.05 to   2.04)",".",".",".",".","0.20 (0.01 to   4.26)",".",".",".",".",".",".",".",".","."
"0.37 (0.01 to    25.68)","0.24 (0.00 to    48.04)","0.97 (0.02 to    56.97)","1.21 (0.03 to    54.71)","Almonertinib",".",".",".",".",".",".",".",".",".","0.33 (0.01 to   8.23)",".",".",".",".",".",".",".",".","."
"0.28 (0.01 to     7.24)","0.19 (0.00 to    10.76)","0.74 (0.03 to    16.14)","0.92 (0.08 to    10.75)","0.76 (0.01 to    65.91)","Erlotinib + chemotherapy",".",".",".","0.60 (0.08 to   4.67)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.25 (0.02 to     3.08)","0.16 (0.00 to     6.62)","0.65 (0.06 to     6.54)","0.81 (0.21 to     3.16)","0.67 (0.01 to    35.30)","0.88 (0.08 to     9.45)","Afatinib",".",".","0.78 (0.19 to   3.18)",".",".",".","0.16 (0.01 to   3.87)",".",".",".",".",".",".",".",".",".","."
"0.21 (0.02 to     2.40)","0.14 (0.00 to     9.34)","0.56 (0.08 to     3.92)","0.70 (0.09 to     5.13)","0.58 (0.01 to    29.09)","0.75 (0.03 to    16.68)","0.86 (0.08 to     8.74)","Lazertinib","0.54 (0.09 to   3.33)",".",".",".",".",".","3.03 (0.12 to  74.85)",".",".",".",".",".",".",".",".","."
"0.20 (0.03 to     1.15)","0.13 (0.00 to     6.59)","0.51 (0.12 to     2.29)","0.64 (0.17 to     2.39)","0.53 (0.01 to    25.00)","0.70 (0.05 to    10.56)","0.79 (0.13 to     4.74)","0.92 (0.18 to     4.85)","Osimertinib",".",".",".",".","2.46 (0.12 to  51.58)",".",".",".","0.43 (0.20 to   0.90)",".",".",".",".",".","0.11 (0.02 to   0.63)"
"0.17 (0.01 to     2.09)","0.11 (0.00 to     3.70)","0.44 (0.04 to     4.43)","0.55 (0.14 to     2.13)","0.46 (0.01 to    23.98)","0.60 (0.08 to     4.67)","0.68 (0.21 to     2.24)","0.80 (0.08 to     8.09)","0.86 (0.14 to     5.15)","Erlotinib","1.01 (0.32 to   3.20)","1.00 (0.10 to   9.65)",".","0.36 (0.01 to   8.90)",".","0.68 (0.30 to   1.58)","0.39 (0.02 to   8.24)",".","0.45 (0.10 to   2.02)","0.32 (0.01 to   8.09)",".","0.18 (0.02 to   1.58)",".","."
"0.17 (0.01 to     2.72)","0.11 (0.00 to     4.50)","0.45 (0.03 to     5.88)","0.56 (0.09 to     3.30)","0.46 (0.01 to    28.58)","0.61 (0.06 to     6.39)","0.69 (0.13 to     3.61)","0.80 (0.06 to    10.72)","0.87 (0.10 to     7.31)","1.01 (0.32 to     3.20)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.17 (0.01 to     5.00)","0.11 (0.00 to     7.23)","0.44 (0.02 to    11.22)","0.55 (0.04 to     7.74)","0.46 (0.00 to    43.83)","0.60 (0.03 to    12.77)","0.68 (0.05 to     8.82)","0.80 (0.03 to    20.38)","0.86 (0.05 to    15.47)","1.00 (0.10 to     9.65)","0.99 (0.08 to    12.58)","Dacomitinib",".",".",".",".",".",".",".",".",".",".",".","."
"0.17 (0.00 to     6.09)","0.11 (0.00 to    13.18)","0.44 (0.01 to    13.08)","0.55 (0.03 to    11.86)","0.46 (0.01 to    23.21)","0.60 (0.01 to    27.87)","0.68 (0.03 to    17.52)","0.79 (0.03 to    19.55)","0.86 (0.04 to    19.44)","1.00 (0.04 to    25.65)","0.99 (0.03 to    30.93)","1.00 (0.02 to    52.32)","Gefitinib + chemotherapy",".","0.73 (0.08 to   7.09)",".",".",".",".",".",".",".",".","."
