"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".","8.26 (4.17 to 16.39)",".",".",".",".",".","."
"1.17 (0.42 to   3.28)","Antiangiogenesis","1.16 (0.42 to  3.24)",".",".",".",".",".",".",".",".","8.10 (4.38 to 15.01)",".",".",".","."
"1.55 (0.64 to   3.79)","1.32 (0.73 to   2.40)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".","5.85 (4.52 to  7.57)",".",".",".","."
"3.68 (1.33 to  10.21)","3.14 (1.24 to   7.94)","2.37 (1.09 to   5.16)","Chemotherapy",".",".",".",".",".","2.36 (0.83 to  6.75)",".","3.52 (0.80 to 15.54)","2.21 (0.87 to  5.63)",".",".","."
"3.47 (0.78 to  15.47)","2.96 (0.77 to  11.40)","2.23 (0.64 to   7.81)","0.94 (0.23 to   3.93)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".","2.63 (0.77 to  8.95)",".",".",".","."
"3.05 (0.11 to  87.76)","2.60 (0.10 to  70.24)","1.96 (0.08 to  51.06)","0.83 (0.03 to  23.15)","0.88 (0.03 to  28.30)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".","2.99 (0.12 to 76.88)",".",".",".","."
"6.44 (2.16 to  19.19)","5.48 (1.75 to  17.19)","4.14 (1.49 to  11.55)","1.75 (0.56 to   5.45)","1.86 (0.38 to   8.98)","2.11 (0.07 to  62.92)","3rd-generation EGFR TKIs + chemotherapy",".",".","1.28 (0.55 to  3.00)",".",".",".",".",".","."
"7.02 (2.31 to  21.35)","5.98 (2.33 to  15.31)","4.52 (2.04 to   9.99)","1.91 (0.68 to   5.33)","2.02 (0.48 to   8.51)","2.30 (0.08 to  64.43)","1.09 (0.32 to   3.69)","Placebo",".","0.98 (0.10 to 10.10)",".","1.39 (0.62 to  3.15)","0.66 (0.03 to 17.12)",".",".","."
"7.78 (2.60 to  23.33)","6.63 (2.10 to  20.89)","5.01 (1.79 to  14.04)","2.11 (0.67 to   6.62)","2.24 (0.46 to  10.90)","2.55 (0.09 to  76.20)","1.21 (0.36 to   4.04)","1.11 (0.33 to   3.78)","3rd-generation EGFR TKIs + Amivantamab","1.06 (0.45 to  2.50)",".",".",".",".",".","."
"8.26 (4.17 to  16.39)","7.04 (3.28 to  15.09)","5.32 (3.00 to   9.42)","2.24 (1.05 to   4.77)","2.38 (0.63 to   8.98)","2.71 (0.10 to  72.46)","1.28 (0.55 to   3.00)","1.18 (0.49 to   2.83)","1.06 (0.45 to   2.50)","3rd-generation EGFR TKIs",".","1.11 (0.63 to  1.95)",".","2.27 (0.08 to 63.33)",".","."
"8.50 (3.13 to  23.03)","7.23 (3.37 to  15.53)","5.47 (3.08 to   9.69)","2.31 (0.94 to   5.65)","2.45 (0.65 to   9.24)","2.78 (0.10 to  74.50)","1.32 (0.43 to   4.03)","1.21 (0.49 to   3.01)","1.09 (0.36 to   3.35)","1.03 (0.50 to   2.12)","1st-generation EGFR TKIs + chemotherapy","1.07 (0.64 to  1.79)",".",".",".","."
"9.13 (3.88 to  21.46)","7.77 (4.41 to  13.69)","5.87 (4.55 to   7.58)","2.48 (1.19 to   5.17)","2.63 (0.77 to   8.95)","2.99 (0.12 to  76.88)","1.42 (0.53 to   3.82)","1.30 (0.61 to   2.76)","1.17 (0.43 to   3.18)","1.10 (0.66 to   1.84)","1.07 (0.64 to   1.79)","1st-generation EGFR TKIs","1.27 (0.58 to  2.78)",".","1.84 (0.54 to  6.26)","."
"9.75 (3.46 to  27.48)","8.30 (3.47 to  19.83)","6.27 (3.09 to  12.75)","2.65 (1.27 to   5.53)","2.81 (0.70 to  11.31)","3.19 (0.12 to  87.80)","1.51 (0.48 to   4.79)","1.39 (0.52 to   3.68)","1.25 (0.39 to   3.99)","1.18 (0.54 to   2.57)","1.15 (0.50 to   2.65)","1.07 (0.55 to   2.07)","2nd-generation EGFR TKIs",".",".","1.64 (0.69 to  3.89)"
"18.78 (0.63 to 561.12)","15.99 (0.53 to 485.74)","12.08 (0.41 to 353.55)","5.10 (0.17 to 154.57)","5.41 (0.15 to 194.59)","6.15 (0.06 to 661.11)","2.92 (0.09 to  90.40)","2.68 (0.09 to  83.51)","2.41 (0.08 to  74.95)","2.27 (0.08 to  63.33)","2.21 (0.07 to  66.59)","2.06 (0.07 to  59.63)","1.93 (0.06 to  58.71)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".","."
"16.81 (3.78 to  74.80)","14.31 (3.72 to  55.11)","10.82 (3.10 to  37.75)","4.56 (1.09 to  19.02)","4.84 (0.86 to  27.36)","5.51 (0.17 to 176.96)","2.61 (0.54 to  12.61)","2.40 (0.57 to  10.07)","2.16 (0.45 to  10.48)","2.03 (0.54 to   7.66)","1.98 (0.53 to   7.46)","1.84 (0.54 to   6.26)","1.72 (0.43 to   6.93)","0.90 (0.02 to  32.18)","1st-generation EGFR TKIs + Autophagy inhibitor","."
"15.99 (4.15 to  61.58)","13.61 (3.99 to  46.39)","10.28 (3.36 to  31.44)","4.34 (1.39 to  13.51)","4.60 (0.89 to  23.71)","5.23 (0.17 to 160.77)","2.48 (0.59 to  10.47)","2.28 (0.62 to   8.36)","2.05 (0.48 to   8.70)","1.93 (0.61 to   6.18)","1.88 (0.57 to   6.26)","1.75 (0.59 to   5.20)","1.64 (0.69 to   3.89)","0.85 (0.03 to  28.88)","0.95 (0.18 to   4.89)","2nd-generation EGFR TKIs + Cetuximab"
