"2nd-generation EGFR TKIs + Cetuximab",".",".","0.61 (0.26 to  1.45)",".",".",".",".",".",".",".",".",".",".",".","."
"1.05 (0.20 to   5.41)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".","0.54 (0.16 to  1.85)",".",".",".",".",".",".",".",".",".",".","."
"1.17 (0.03 to  39.87)","1.12 (0.03 to  40.15)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","0.44 (0.02 to 12.26)",".",".",".",".",".",".",".",".","."
"0.61 (0.26 to   1.45)","0.58 (0.14 to   2.33)","0.52 (0.02 to  15.82)","2nd-generation EGFR TKIs","0.79 (0.36 to  1.73)",".",".",".","1.51 (0.06 to 38.82)",".",".",".","0.45 (0.18 to  1.15)",".",".","."
"0.57 (0.19 to   1.69)","0.54 (0.16 to   1.85)","0.49 (0.02 to  14.08)","0.94 (0.48 to   1.81)","1st-generation EGFR TKIs","0.93 (0.56 to  1.55)","0.90 (0.51 to  1.58)",".","0.72 (0.32 to  1.62)",".","0.33 (0.01 to  8.61)","0.38 (0.11 to  1.30)","0.28 (0.06 to  1.26)","0.17 (0.13 to  0.22)","0.12 (0.07 to  0.23)","."
"0.53 (0.16 to   1.77)","0.51 (0.13 to   1.90)","0.45 (0.02 to  13.63)","0.87 (0.38 to   2.01)","0.93 (0.56 to   1.55)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.52 (0.16 to   1.65)","0.49 (0.13 to   1.85)","0.44 (0.02 to  12.26)","0.85 (0.39 to   1.84)","0.91 (0.54 to   1.51)","0.97 (0.47 to   2.01)","3rd-generation EGFR TKIs","0.94 (0.40 to  2.22)","1.02 (0.10 to 10.47)","0.78 (0.33 to  1.82)",".",".","0.42 (0.15 to  1.21)",".",".","0.12 (0.06 to  0.24)"
"0.49 (0.11 to   2.06)","0.46 (0.10 to   2.25)","0.41 (0.01 to  12.88)","0.80 (0.25 to   2.54)","0.85 (0.31 to   2.32)","0.92 (0.30 to   2.82)","0.94 (0.40 to   2.22)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".","."
"0.44 (0.12 to   1.61)","0.42 (0.10 to   1.76)","0.37 (0.01 to  11.67)","0.72 (0.27 to   1.90)","0.77 (0.36 to   1.63)","0.83 (0.33 to   2.05)","0.85 (0.35 to   2.04)","0.90 (0.26 to   3.07)","Placebo",".",".",".",".",".",".","."
"0.40 (0.10 to   1.70)","0.38 (0.08 to   1.85)","0.34 (0.01 to  10.63)","0.66 (0.21 to   2.09)","0.71 (0.26 to   1.90)","0.76 (0.25 to   2.32)","0.78 (0.33 to   1.82)","0.83 (0.25 to   2.77)","0.92 (0.27 to   3.11)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".","."
"0.19 (0.01 to   5.87)","0.18 (0.01 to   5.84)","0.16 (0.00 to  17.48)","0.31 (0.01 to   8.61)","0.33 (0.01 to   8.61)","0.36 (0.01 to   9.63)","0.37 (0.01 to   9.90)","0.39 (0.01 to  11.73)","0.44 (0.02 to  12.20)","0.47 (0.02 to  14.14)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".","."
"0.22 (0.04 to   1.12)","0.21 (0.04 to   1.17)","0.18 (0.01 to   6.65)","0.36 (0.09 to   1.43)","0.38 (0.11 to   1.30)","0.41 (0.11 to   1.54)","0.42 (0.11 to   1.59)","0.45 (0.09 to   2.17)","0.49 (0.12 to   2.08)","0.54 (0.11 to   2.61)","1.14 (0.04 to  36.57)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".","."
"0.23 (0.07 to   0.72)","0.22 (0.05 to   0.91)","0.20 (0.01 to   5.95)","0.38 (0.18 to   0.79)","0.40 (0.19 to   0.84)","0.43 (0.18 to   1.06)","0.45 (0.21 to   0.95)","0.47 (0.15 to   1.48)","0.52 (0.19 to   1.47)","0.57 (0.18 to   1.78)","1.21 (0.04 to  33.69)","1.06 (0.25 to   4.43)","Chemotherapy",".",".","."
"0.10 (0.03 to   0.30)","0.09 (0.03 to   0.32)","0.08 (0.00 to   2.42)","0.16 (0.08 to   0.32)","0.17 (0.13 to   0.22)","0.18 (0.10 to   0.32)","0.19 (0.11 to   0.33)","0.20 (0.07 to   0.56)","0.22 (0.10 to   0.49)","0.24 (0.09 to   0.67)","0.51 (0.02 to  13.22)","0.45 (0.13 to   1.57)","0.42 (0.19 to   0.92)","1st-generation EGFR TKIs + antiangiogenesis","0.86 (0.31 to  2.40)","."
"0.07 (0.02 to   0.25)","0.07 (0.02 to   0.27)","0.06 (0.00 to   1.90)","0.12 (0.05 to   0.29)","0.13 (0.07 to   0.23)","0.14 (0.06 to   0.30)","0.14 (0.07 to   0.30)","0.15 (0.05 to   0.48)","0.17 (0.07 to   0.43)","0.18 (0.06 to   0.57)","0.38 (0.01 to  10.39)","0.34 (0.09 to   1.31)","0.32 (0.13 to   0.81)","0.76 (0.42 to   1.37)","Antiangiogenesis","."
"0.06 (0.02 to   0.24)","0.06 (0.01 to   0.26)","0.05 (0.00 to   1.59)","0.10 (0.04 to   0.29)","0.11 (0.05 to   0.26)","0.12 (0.04 to   0.32)","0.12 (0.06 to   0.24)","0.13 (0.04 to   0.38)","0.14 (0.05 to   0.43)","0.16 (0.05 to   0.46)","0.33 (0.01 to   9.41)","0.29 (0.06 to   1.28)","0.27 (0.10 to   0.75)","0.64 (0.26 to   1.57)","0.85 (0.31 to   2.37)","3rd-generation EGFR TKIs + antiangiogenesis"
