"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","10.89 (5.17 to 22.92)",".",".",".",".",".",".",".",".",".",".","."
"1.72 (0.40 to    7.38)","Antiangiogenesis",".","1.16 (0.41 to  3.26)",".",".",".",".",".",".","10.79 (1.78 to 65.36)",".",".",".","7.80 (4.02 to 15.12)",".",".",".",".",".",".","."
"1.96 (0.43 to    8.93)","1.14 (0.27 to    4.75)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8.27 (4.16 to 16.46)",".",".",".","."
"2.47 (0.57 to   10.68)","1.44 (0.78 to    2.66)","1.26 (0.31 to    5.08)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","5.38 (4.07 to  7.10)",".",".",".",".",".",".","."
"5.10 (0.77 to   33.97)","2.96 (0.76 to   11.56)","2.60 (0.41 to   16.39)","2.06 (0.58 to    7.27)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".","2.63 (0.77 to  9.00)",".",".",".",".",".",".","."
"6.07 (1.41 to   26.11)","3.52 (1.09 to   11.42)","3.10 (0.98 to    9.82)","2.45 (0.81 to    7.41)","1.19 (0.23 to    6.09)","Chemotherapy",".",".",".",".",".",".",".",".","3.52 (0.79 to 15.57)",".","2.21 (0.86 to  5.67)","2.36 (0.82 to  6.79)",".",".",".","."
"4.48 (0.13 to  156.96)","2.60 (0.10 to   70.70)","2.29 (0.07 to   77.80)","1.81 (0.07 to   47.28)","0.88 (0.03 to   28.41)","0.74 (0.02 to   22.63)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","2.99 (0.12 to 77.03)",".",".",".",".",".",".","."
"8.61 (2.58 to   28.66)","5.00 (1.04 to   23.95)","4.40 (0.86 to   22.34)","3.48 (0.72 to   16.80)","1.69 (0.23 to   12.28)","1.42 (0.29 to    6.82)","1.92 (0.05 to   70.44)","Almonertinib",".",".","1.26 (0.49 to  3.26)",".",".",".",".",".",".",".",".",".",".","."
"10.13 (4.09 to   25.07)","5.88 (1.52 to   22.74)","5.17 (1.25 to   21.40)","4.09 (1.05 to   15.98)","1.99 (0.32 to   12.26)","1.67 (0.43 to    6.48)","2.26 (0.07 to   75.91)","1.18 (0.40 to    3.46)","Gefitinib + chemotherapy",".","1.07 (0.64 to  1.80)",".",".",".",".",".",".",".",".",".",".","."
"10.52 (2.31 to   47.93)","6.11 (2.35 to   15.90)","5.37 (1.30 to   22.28)","4.25 (1.86 to    9.74)","2.06 (0.48 to    8.88)","1.73 (0.53 to    5.72)","2.35 (0.08 to   66.37)","1.22 (0.24 to    6.20)","1.04 (0.25 to    4.29)","Placebo","3.09 (0.12 to 79.76)",".",".",".","1.32 (0.56 to  3.09)",".","0.66 (0.03 to 17.16)","0.98 (0.10 to 10.13)",".",".",".","."
"10.89 (5.17 to   22.92)","6.32 (1.81 to   22.06)","5.56 (1.48 to   20.87)","4.40 (1.25 to   15.51)","2.14 (0.37 to   12.22)","1.79 (0.51 to    6.29)","2.43 (0.08 to   78.53)","1.26 (0.49 to    3.26)","1.07 (0.64 to    1.80)","1.03 (0.28 to    3.88)","Gefitinib","1.37 (0.47 to  3.95)",".","1.13 (0.49 to  2.63)",".",".","3.04 (0.12 to 78.71)",".",".",".",".","."
"12.00 (3.59 to   40.08)","6.97 (1.87 to   26.00)","6.13 (2.06 to   18.18)","4.85 (1.33 to   17.74)","2.35 (0.40 to   13.82)","1.98 (0.62 to    6.26)","2.68 (0.08 to   87.70)","1.39 (0.37 to    5.32)","1.18 (0.40 to    3.49)","1.14 (0.30 to    4.36)","1.10 (0.43 to    2.85)","Lazertinib",".",".",".","1.25 (0.52 to  3.05)",".","1.58 (0.64 to  3.94)",".",".",".","."
"12.61 (2.54 to   62.55)","7.32 (1.60 to   33.43)","6.44 (2.15 to   19.33)","5.10 (1.16 to   22.45)","2.47 (0.37 to   16.70)","2.08 (0.59 to    7.33)","2.81 (0.08 to   99.12)","1.47 (0.27 to    8.05)","1.25 (0.28 to    5.63)","1.20 (0.26 to    5.43)","1.16 (0.28 to    4.78)","1.05 (0.32 to    3.49)","Osimertinib + chemotherapy",".",".",".",".","1.28 (0.55 to  3.02)",".",".",".","."
"12.30 (3.99 to   37.91)","7.14 (1.58 to   32.27)","6.28 (1.31 to   30.17)","4.97 (1.09 to   22.65)","2.41 (0.35 to   16.76)","2.03 (0.45 to    9.20)","2.74 (0.08 to   98.15)","1.43 (0.40 to    5.08)","1.21 (0.45 to    3.27)","1.17 (0.24 to    5.61)","1.13 (0.49 to    2.63)","1.02 (0.29 to    3.65)","0.97 (0.19 to    5.08)","Dacomitinib",".",".",".",".",".",".",".","."
"13.40 (3.17 to   56.73)","7.78 (4.34 to   13.96)","6.84 (1.74 to   26.87)","5.42 (4.12 to    7.13)","2.63 (0.77 to    9.00)","2.21 (0.76 to    6.45)","2.99 (0.12 to   77.03)","1.56 (0.33 to    7.38)","1.32 (0.35 to    5.05)","1.27 (0.58 to    2.79)","1.23 (0.36 to    4.24)","1.12 (0.31 to    3.99)","1.06 (0.25 to    4.57)","1.09 (0.24 to    4.87)","Erlotinib",".","2.98 (0.12 to 76.99)",".",".",".","1.84 (0.54 to  6.29)","."
"13.80 (3.32 to   57.32)","8.01 (1.94 to   33.13)","7.05 (2.39 to   20.74)","5.58 (1.39 to   22.39)","2.71 (0.43 to   17.02)","2.27 (0.68 to    7.55)","3.08 (0.09 to  104.46)","1.60 (0.34 to    7.47)","1.36 (0.36 to    5.10)","1.31 (0.32 to    5.46)","1.27 (0.38 to    4.27)","1.15 (0.48 to    2.74)","1.09 (0.33 to    3.61)","1.12 (0.26 to    4.92)","1.03 (0.26 to    4.04)","Lazertinib + Amivantamab",".","1.26 (0.54 to  2.94)",".",".",".","."
"14.68 (3.02 to   71.37)","8.52 (2.26 to   32.14)","7.50 (1.88 to   29.86)","5.93 (1.67 to   21.03)","2.88 (0.50 to   16.50)","2.42 (1.02 to    5.74)","3.27 (0.10 to  105.95)","1.71 (0.32 to    9.20)","1.45 (0.33 to    6.42)","1.40 (0.37 to    5.27)","1.35 (0.33 to    5.44)","1.22 (0.32 to    4.72)","1.16 (0.27 to    5.08)","1.19 (0.23 to    6.10)","1.10 (0.32 to    3.78)","1.06 (0.26 to    4.35)","Afatinib",".",".",".",".","1.64 (0.69 to  3.92)"
"16.20 (4.19 to   62.65)","9.40 (2.68 to   32.95)","8.27 (4.16 to   16.46)","6.55 (1.95 to   21.94)","3.18 (0.58 to   17.50)","2.67 (1.06 to    6.73)","3.61 (0.11 to  114.65)","1.88 (0.43 to    8.21)","1.60 (0.46 to    5.54)","1.54 (0.44 to    5.35)","1.49 (0.48 to    4.60)","1.35 (0.58 to    3.13)","1.28 (0.55 to    3.02)","1.32 (0.32 to    5.40)","1.21 (0.37 to    3.94)","1.17 (0.51 to    2.70)","1.10 (0.33 to    3.66)","Osimertinib","2.27 (0.08 to 63.45)","1.36 (0.52 to  3.53)",".","."
"36.81 (1.01 to 1338.68)","21.37 (0.61 to  749.68)","18.80 (0.63 to  563.17)","14.88 (0.43 to  514.06)","7.22 (0.17 to  304.34)","6.06 (0.19 to  192.09)","8.21 (0.07 to  997.42)","4.28 (0.11 to  163.01)","3.63 (0.10 to  126.98)","3.50 (0.10 to  122.35)","3.38 (0.10 to  113.75)","3.07 (0.10 to   95.13)","2.92 (0.09 to   90.81)","2.99 (0.08 to  111.29)","2.75 (0.08 to   94.00)","2.67 (0.09 to   82.52)","2.51 (0.07 to   86.30)","2.27 (0.08 to   63.45)","Osimertinib + PD-L1 inhibitor",".",".","."
"22.00 (4.20 to  115.17)","12.77 (2.64 to   61.74)","11.23 (3.46 to   36.44)","8.89 (1.91 to   41.51)","4.32 (0.61 to   30.48)","3.62 (0.96 to   13.69)","4.91 (0.14 to  177.19)","2.56 (0.44 to   14.78)","2.17 (0.45 to   10.40)","2.09 (0.44 to   10.03)","2.02 (0.46 to    8.87)","1.83 (0.51 to    6.55)","1.74 (0.48 to    6.29)","1.79 (0.33 to    9.82)","1.64 (0.36 to    7.50)","1.59 (0.45 to    5.65)","1.50 (0.32 to    6.93)","1.36 (0.52 to    3.53)","0.60 (0.02 to   19.08)","Gefitinib/Erlotinib",".","."
"24.69 (3.71 to  164.27)","14.33 (3.68 to   55.89)","12.61 (2.01 to   79.26)","9.98 (2.83 to   35.16)","4.84 (0.85 to   27.57)","4.07 (0.80 to   20.78)","5.51 (0.17 to  177.63)","2.87 (0.39 to   20.83)","2.44 (0.40 to   15.01)","2.35 (0.55 to   10.08)","2.27 (0.40 to   12.96)","2.06 (0.35 to   12.07)","1.96 (0.29 to   13.19)","2.01 (0.29 to   13.92)","1.84 (0.54 to    6.29)","1.79 (0.28 to   11.24)","1.68 (0.29 to    9.62)","1.52 (0.28 to    8.38)","0.67 (0.02 to   28.24)","1.12 (0.16 to    7.92)","Erlotinib + Autophagy inhibitor","."
"24.06 (3.96 to  146.37)","13.97 (2.86 to   68.34)","12.29 (2.40 to   62.95)","9.73 (2.09 to   45.20)","4.72 (0.67 to   33.21)","3.96 (1.16 to   13.52)","5.37 (0.15 to  193.40)","2.80 (0.42 to   18.64)","2.38 (0.42 to   13.32)","2.29 (0.47 to   11.20)","2.21 (0.43 to   11.45)","2.01 (0.40 to    9.99)","1.91 (0.34 to   10.56)","1.96 (0.31 to   12.43)","1.80 (0.40 to    8.16)","1.74 (0.33 to    9.13)","1.64 (0.69 to    3.92)","1.49 (0.34 to    6.54)","0.65 (0.02 to   25.00)","1.09 (0.19 to    6.37)","0.97 (0.14 to    6.85)","Afatinib + Cetuximab"
