"Afatinib + Cetuximab",".",".",".",".","0.61 (0.26 to  1.46)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.03 (0.15 to    7.21)","Erlotinib + Autophagy inhibitor",".",".",".",".",".","0.54 (0.16 to  1.86)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.91 (0.16 to    5.32)","0.89 (0.13 to    6.29)","Gefitinib/Erlotinib",".","0.74 (0.28 to  1.91)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.53 (0.04 to   58.50)","1.49 (0.04 to   62.80)","1.67 (0.05 to   53.43)","Osimertinib + PD-L1 inhibitor","0.44 (0.02 to 12.28)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.67 (0.15 to    2.96)","0.66 (0.12 to    3.61)","0.74 (0.28 to    1.91)","0.44 (0.02 to   12.28)","Osimertinib",".","0.79 (0.34 to  1.85)",".",".","0.78 (0.33 to  1.83)","0.63 (0.25 to  1.57)",".","1.02 (0.10 to 10.50)",".",".",".","0.42 (0.15 to  1.22)",".",".","0.12 (0.06 to  0.24)",".","."
"0.61 (0.26 to    1.46)","0.59 (0.10 to    3.40)","0.67 (0.14 to    3.09)","0.40 (0.01 to   13.72)","0.91 (0.27 to    3.00)","Afatinib",".","0.34 (0.01 to  8.64)",".",".",".","0.33 (0.01 to  8.53)","1.51 (0.06 to 38.90)",".",".",".","0.45 (0.18 to  1.16)",".",".",".",".","."
"0.57 (0.11 to    3.00)","0.56 (0.09 to    3.51)","0.63 (0.18 to    2.22)","0.37 (0.01 to   11.59)","0.85 (0.37 to    1.96)","0.94 (0.23 to    3.84)","Lazertinib + Amivantamab",".",".",".","0.80 (0.33 to  1.94)",".",".",".",".",".",".",".",".",".",".","."
"0.56 (0.12 to    2.53)","0.54 (0.16 to    1.86)","0.61 (0.13 to    2.78)","0.36 (0.01 to   12.46)","0.83 (0.25 to    2.70)","0.91 (0.26 to    3.15)","0.97 (0.25 to    3.81)","Erlotinib",".",".",".",".","0.76 (0.32 to  1.77)",".",".","0.33 (0.01 to  8.63)","0.28 (0.06 to  1.26)","0.38 (0.11 to  1.30)","0.19 (0.14 to  0.25)",".","0.13 (0.07 to  0.25)","."
"0.51 (0.08 to    3.25)","0.50 (0.07 to    3.46)","0.56 (0.10 to    3.07)","0.33 (0.01 to   12.42)","0.76 (0.19 to    3.11)","0.84 (0.16 to    4.28)","0.89 (0.20 to    3.91)","0.92 (0.21 to    4.10)","Dacomitinib",".",".","0.89 (0.38 to  2.06)",".",".",".",".",".",".",".",".",".","."
"0.52 (0.09 to    2.90)","0.51 (0.08 to    3.44)","0.57 (0.16 to    2.07)","0.34 (0.01 to   10.66)","0.78 (0.33 to    1.83)","0.86 (0.20 to    3.75)","0.91 (0.28 to    3.02)","0.94 (0.22 to    4.05)","1.03 (0.20 to    5.34)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","."
"0.50 (0.10 to    2.48)","0.49 (0.08 to    2.85)","0.55 (0.15 to    1.95)","0.33 (0.01 to   10.11)","0.74 (0.32 to    1.72)","0.82 (0.21 to    3.15)","0.87 (0.36 to    2.07)","0.90 (0.25 to    3.20)","0.98 (0.27 to    3.48)","0.95 (0.29 to    3.16)","Lazertinib","0.73 (0.25 to  2.11)",".",".",".",".",".",".",".",".",".","."
"0.45 (0.09 to    2.34)","0.44 (0.08 to    2.52)","0.49 (0.11 to    2.17)","0.30 (0.01 to    9.95)","0.67 (0.22 to    2.08)","0.74 (0.18 to    2.99)","0.79 (0.23 to    2.66)","0.81 (0.24 to    2.80)","0.89 (0.38 to    2.06)","0.86 (0.21 to    3.56)","0.91 (0.35 to    2.34)","Gefitinib","0.32 (0.01 to  8.37)","0.93 (0.55 to  1.56)","0.79 (0.31 to  2.03)",".",".",".",".",".","0.09 (0.02 to  0.56)","0.09 (0.04 to  0.19)"
"0.44 (0.09 to    2.14)","0.43 (0.10 to    1.83)","0.48 (0.10 to    2.30)","0.29 (0.01 to    9.99)","0.65 (0.19 to    2.26)","0.72 (0.19 to    2.71)","0.76 (0.18 to    3.17)","0.79 (0.36 to    1.72)","0.86 (0.18 to    4.10)","0.83 (0.18 to    3.78)","0.88 (0.23 to    3.35)","0.97 (0.26 to    3.62)","Placebo",".",".",".",".",".",".",".",".","."
"0.42 (0.08 to    2.36)","0.41 (0.07 to    2.53)","0.46 (0.10 to    2.21)","0.28 (0.01 to    9.61)","0.63 (0.18 to    2.17)","0.69 (0.16 to    3.06)","0.73 (0.20 to    2.75)","0.76 (0.20 to    2.89)","0.82 (0.31 to    2.22)","0.80 (0.18 to    3.63)","0.84 (0.29 to    2.49)","0.93 (0.55 to    1.56)","0.96 (0.23 to    3.98)","Gefitinib + chemotherapy",".",".",".",".",".",".",".","."
"0.36 (0.05 to    2.38)","0.35 (0.05 to    2.53)","0.39 (0.07 to    2.26)","0.23 (0.01 to    8.91)","0.53 (0.12 to    2.32)","0.59 (0.11 to    3.16)","0.62 (0.13 to    2.91)","0.64 (0.14 to    3.04)","0.70 (0.20 to    2.49)","0.68 (0.12 to    3.75)","0.72 (0.19 to    2.74)","0.79 (0.31 to    2.03)","0.82 (0.16 to    4.15)","0.85 (0.29 to    2.50)","Almonertinib",".",".",".",".",".",".","."
"0.19 (0.01 to    6.72)","0.18 (0.01 to    5.86)","0.20 (0.01 to    7.36)","0.12 (0.00 to   14.80)","0.28 (0.01 to    8.79)","0.31 (0.01 to    9.89)","0.33 (0.01 to   11.04)","0.33 (0.01 to    8.63)","0.36 (0.01 to   13.05)","0.36 (0.01 to   12.53)","0.37 (0.01 to   12.25)","0.41 (0.01 to   13.33)","0.43 (0.02 to   12.06)","0.44 (0.01 to   14.88)","0.52 (0.01 to   19.12)","Erlotinib + MET inhibitor",".",".",".",".",".","."
"0.25 (0.07 to    0.86)","0.25 (0.05 to    1.26)","0.28 (0.07 to    1.04)","0.16 (0.01 to    5.22)","0.37 (0.15 to    0.95)","0.41 (0.17 to    0.98)","0.44 (0.13 to    1.46)","0.45 (0.15 to    1.32)","0.49 (0.11 to    2.24)","0.48 (0.14 to    1.70)","0.51 (0.16 to    1.60)","0.56 (0.16 to    1.96)","0.58 (0.17 to    1.90)","0.60 (0.15 to    2.33)","0.71 (0.15 to    3.39)","1.35 (0.04 to   41.46)","Chemotherapy",".",".",".",".","."
"0.21 (0.03 to    1.49)","0.21 (0.04 to    1.18)","0.23 (0.03 to    1.64)","0.14 (0.00 to    5.84)","0.31 (0.06 to    1.73)","0.35 (0.06 to    1.99)","0.37 (0.06 to    2.32)","0.38 (0.11 to    1.30)","0.41 (0.06 to    2.88)","0.40 (0.06 to    2.73)","0.42 (0.07 to    2.50)","0.47 (0.08 to    2.68)","0.48 (0.11 to    2.08)","0.50 (0.08 to    3.10)","0.59 (0.08 to    4.31)","1.14 (0.04 to   36.71)","0.84 (0.16 to    4.30)","Erlotinib + IGF-1R inhibitor",".",".",".","."
"0.10 (0.02 to    0.48)","0.10 (0.03 to    0.35)","0.11 (0.02 to    0.52)","0.07 (0.00 to    2.32)","0.15 (0.05 to    0.51)","0.17 (0.05 to    0.60)","0.18 (0.04 to    0.72)","0.18 (0.14 to    0.24)","0.20 (0.04 to    0.92)","0.20 (0.04 to    0.86)","0.21 (0.06 to    0.75)","0.23 (0.06 to    0.80)","0.24 (0.10 to    0.54)","0.24 (0.06 to    0.95)","0.29 (0.06 to    1.39)","0.55 (0.02 to   14.38)","0.41 (0.14 to    1.23)","0.49 (0.14 to    1.71)","Erlotinib + antiangiogenesis",".","0.86 (0.31 to  2.41)","."
"0.08 (0.02 to    0.42)","0.08 (0.01 to    0.50)","0.09 (0.03 to    0.29)","0.05 (0.00 to    1.59)","0.12 (0.06 to    0.24)","0.13 (0.03 to    0.53)","0.14 (0.05 to    0.42)","0.15 (0.04 to    0.57)","0.16 (0.03 to    0.76)","0.16 (0.05 to    0.47)","0.16 (0.05 to    0.48)","0.18 (0.05 to    0.68)","0.19 (0.04 to    0.77)","0.19 (0.05 to    0.80)","0.23 (0.04 to    1.16)","0.44 (0.01 to   14.83)","0.32 (0.10 to    1.02)","0.38 (0.06 to    2.42)","0.79 (0.20 to    3.18)","Osimertinib + antiangiogenesis",".","."
"0.07 (0.01 to    0.35)","0.07 (0.02 to    0.27)","0.08 (0.02 to    0.38)","0.05 (0.00 to    1.64)","0.11 (0.03 to    0.37)","0.12 (0.03 to    0.44)","0.12 (0.03 to    0.52)","0.13 (0.07 to    0.23)","0.14 (0.03 to    0.63)","0.14 (0.03 to    0.62)","0.14 (0.04 to    0.54)","0.16 (0.05 to    0.55)","0.16 (0.06 to    0.43)","0.17 (0.04 to    0.66)","0.20 (0.04 to    0.96)","0.38 (0.01 to   10.43)","0.28 (0.09 to    0.92)","0.34 (0.09 to    1.32)","0.70 (0.38 to    1.29)","0.88 (0.21 to    3.68)","Antiangiogenesis","."
"0.04 (0.01 to    0.25)","0.04 (0.01 to    0.27)","0.05 (0.01 to    0.24)","0.03 (0.00 to    0.99)","0.06 (0.02 to    0.24)","0.07 (0.01 to    0.33)","0.07 (0.02 to    0.30)","0.07 (0.02 to    0.32)","0.08 (0.03 to    0.25)","0.08 (0.02 to    0.39)","0.08 (0.02 to    0.28)","0.09 (0.04 to    0.19)","0.10 (0.02 to    0.43)","0.10 (0.04 to    0.24)","0.12 (0.03 to    0.39)","0.22 (0.01 to    7.81)","0.16 (0.04 to    0.71)","0.20 (0.03 to    1.31)","0.40 (0.09 to    1.75)","0.51 (0.11 to    2.33)","0.58 (0.14 to    2.49)","Gefitinib + antiangiogenesis"
