"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","7.64 (3.28 to 17.79)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.39 (0.35 to    5.52)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".","5.47 (1.85 to 16.19)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.40 (0.68 to    8.43)","1.72 (0.41 to    7.18)","Antiangiogenesis","1.74 (0.45 to  6.77)",".",".",".",".",".",".",".",".",".",".",".",".",".","5.69 (2.54 to 12.75)",".",".",".","."
"2.91 (1.01 to    8.40)","2.08 (0.59 to    7.35)","1.21 (0.54 to    2.70)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","4.98 (3.50 to  7.08)",".",".",".","."
"4.45 (1.04 to   19.02)","3.19 (0.64 to   15.85)","1.85 (0.51 to    6.77)","1.53 (0.51 to    4.63)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","3.19 (1.11 to  9.13)",".",".",".","."
"4.91 (1.22 to   19.79)","3.52 (0.75 to   16.59)","2.05 (0.48 to    8.68)","1.69 (0.47 to    6.07)","1.10 (0.22 to    5.57)","3rd-generation EGFR TKIs + chemotherapy",".",".","1.55 (0.51 to  4.71)",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.90 (0.87 to   27.52)","3.52 (0.55 to   22.44)","2.04 (0.41 to   10.06)","1.69 (0.40 to    7.16)","1.10 (0.19 to    6.37)","1.00 (0.15 to    6.46)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".","2.89 (0.71 to 11.78)",".",".",".","."
"7.13 (2.41 to   21.05)","5.11 (1.42 to   18.34)","2.97 (1.18 to    7.45)","2.45 (1.31 to    4.59)","1.60 (0.50 to    5.18)","1.45 (0.40 to    5.31)","1.45 (0.33 to    6.50)","Chemotherapy","1.96 (0.57 to  6.71)",".",".","1.65 (0.17 to 16.27)",".",".","2.21 (0.70 to  6.98)",".",".","1.59 (0.83 to  3.03)",".",".",".","."
"7.64 (3.28 to   17.79)","5.47 (1.85 to   16.19)","3.18 (1.26 to    8.05)","2.63 (1.38 to    4.98)","1.72 (0.53 to    5.59)","1.55 (0.51 to    4.71)","1.56 (0.35 to    7.00)","1.07 (0.54 to    2.11)","3rd-generation EGFR TKIs",".",".",".","1.85 (0.18 to 18.55)",".",".","0.99 (0.29 to  3.44)",".","2.53 (1.33 to  4.82)",".",".",".","."
"8.09 (0.67 to   98.29)","5.80 (0.44 to   77.15)","3.37 (0.30 to   37.49)","2.78 (0.28 to   28.13)","1.82 (0.15 to   22.54)","1.65 (0.12 to   22.13)","1.65 (0.11 to   24.15)","1.14 (0.11 to   11.85)","1.06 (0.10 to   11.11)","DHFR inhibitor",".",".",".",".",".",".",".","1.75 (0.18 to 17.27)",".",".",".","."
"10.89 (3.22 to   36.87)","7.81 (1.93 to   31.53)","4.53 (1.62 to   12.68)","3.74 (1.72 to    8.15)","2.45 (0.69 to    8.63)","2.22 (0.54 to    9.12)","2.22 (0.46 to   10.64)","1.53 (0.64 to    3.64)","1.43 (0.59 to    3.43)","1.35 (0.12 to   14.69)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".","1.30 (0.65 to  2.61)",".",".",".","."
"11.42 (3.63 to   35.88)","8.19 (2.16 to   30.99)","4.76 (1.86 to   12.19)","3.93 (2.03 to    7.59)","2.57 (0.78 to    8.44)","2.33 (0.60 to    8.97)","2.33 (0.51 to   10.55)","1.60 (0.76 to    3.38)","1.50 (0.69 to    3.23)","1.41 (0.13 to   14.86)","1.05 (0.43 to    2.56)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".","1.26 (0.71 to  2.23)",".",".",".","."
