"1st-generation EGFR TKIs + MMP inhibitor",".",".",".","0.21 (0.04 to  1.24)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.08 to    7.88)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".","0.26 (0.06 to  1.12)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.03 to    5.46)","0.53 (0.05 to    5.47)","1st-generation EGFR TKIs + HER3 inhibitor",".","0.49 (0.08 to  3.07)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 (0.01 to   29.13)","0.79 (0.02 to   31.36)","1.48 (0.03 to   69.41)","Rociletinib","0.33 (0.01 to  9.83)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to    1.24)","0.26 (0.06 to    1.12)","0.49 (0.08 to    3.07)","0.33 (0.01 to    9.83)","1st-generation EGFR TKIs","1.32 (0.09 to 20.00)","0.87 (0.42 to  1.79)","0.97 (0.52 to  1.81)",".",".","0.79 (0.45 to  1.40)","0.77 (0.38 to  1.54)","0.57 (0.06 to  5.61)","0.40 (0.21 to  0.75)","0.63 (0.33 to  1.20)","0.35 (0.08 to  1.41)",".","0.31 (0.11 to  0.90)","0.20 (0.14 to  0.29)","0.18 (0.08 to  0.39)",".","."
"0.28 (0.01 to    7.20)","0.35 (0.02 to    7.56)","0.65 (0.02 to   17.25)","0.44 (0.01 to   33.77)","1.32 (0.09 to   20.00)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.20 (0.03 to    1.24)","0.24 (0.05 to    1.14)","0.45 (0.07 to    3.06)","0.30 (0.01 to    9.42)","0.91 (0.52 to    1.61)","0.69 (0.04 to   11.12)","Placebo","0.57 (0.19 to  1.70)",".",".",".",".",".","1.01 (0.29 to  3.50)",".",".",".",".",".",".",".","."
"0.19 (0.03 to    1.17)","0.23 (0.05 to    1.07)","0.44 (0.07 to    2.90)","0.29 (0.01 to    8.99)","0.88 (0.53 to    1.47)","0.67 (0.04 to   10.59)","0.96 (0.49 to    1.88)","2nd-generation EGFR TKIs","1.05 (0.32 to  3.47)",".",".",".",".",".","0.45 (0.14 to  1.43)",".",".",".",".",".",".","."
"0.20 (0.02 to    1.76)","0.24 (0.04 to    1.70)","0.46 (0.05 to    4.30)","0.31 (0.01 to   11.59)","0.93 (0.25 to    3.39)","0.70 (0.03 to   14.27)","1.01 (0.26 to    3.98)","1.05 (0.32 to    3.47)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.01 to    4.06)","0.26 (0.02 to    4.20)","0.49 (0.02 to    9.78)","0.33 (0.01 to   20.63)","1.00 (0.09 to   10.62)","0.75 (0.02 to   27.72)","1.09 (0.10 to   12.12)","1.13 (0.10 to   12.63)","1.07 (0.07 to   15.83)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","0.54 (0.05 to  5.42)",".",".",".",".",".",".",".","."
"0.17 (0.03 to    1.09)","0.21 (0.05 to    1.00)","0.40 (0.06 to    2.69)","0.27 (0.01 to    8.28)","0.80 (0.46 to    1.41)","0.61 (0.04 to    9.77)","0.88 (0.40 to    1.95)","0.91 (0.43 to    1.94)","0.87 (0.21 to    3.55)","0.81 (0.07 to    9.18)","1st-generation EGFR TKIs + chemotherapy",".",".",".","0.61 (0.06 to  6.01)",".",".",".",".",".",".","."
"0.16 (0.03 to    1.09)","0.20 (0.04 to    1.01)","0.38 (0.05 to    2.68)","0.26 (0.01 to    8.10)","0.77 (0.38 to    1.54)","0.58 (0.04 to    9.61)","0.84 (0.34 to    2.06)","0.87 (0.37 to    2.07)","0.83 (0.19 to    3.60)","0.77 (0.07 to    9.08)","0.95 (0.39 to    2.33)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to    2.18)","0.15 (0.01 to    2.25)","0.28 (0.02 to    5.26)","0.19 (0.00 to   11.29)","0.57 (0.06 to    5.61)","0.43 (0.01 to   15.07)","0.62 (0.06 to    6.58)","0.65 (0.06 to    6.75)","0.62 (0.04 to    8.53)","0.57 (0.02 to   15.39)","0.71 (0.07 to    7.46)","0.74 (0.07 to    8.11)","DHFR inhibitor",".",".",".",".",".",".",".",".","."
"0.12 (0.02 to    0.72)","0.14 (0.03 to    0.66)","0.27 (0.04 to    1.79)","0.18 (0.01 to    5.52)","0.54 (0.31 to    0.92)","0.41 (0.03 to    6.51)","0.59 (0.29 to    1.19)","0.61 (0.30 to    1.25)","0.58 (0.14 to    2.33)","0.54 (0.05 to    5.42)","0.67 (0.31 to    1.45)","0.70 (0.29 to    1.69)","0.94 (0.09 to    9.89)","3rd-generation EGFR TKIs","0.51 (0.15 to  1.75)",".","0.64 (0.21 to  1.95)",".",".",".","0.18 (0.06 to  0.54)","0.13 (0.06 to  0.31)"
"0.11 (0.02 to    0.67)","0.13 (0.03 to    0.62)","0.25 (0.04 to    1.66)","0.17 (0.01 to    5.14)","0.50 (0.30 to    0.85)","0.38 (0.02 to    6.06)","0.55 (0.26 to    1.15)","0.57 (0.30 to    1.10)","0.54 (0.14 to    2.11)","0.50 (0.05 to    5.57)","0.62 (0.30 to    1.32)","0.65 (0.27 to    1.56)","0.88 (0.08 to    9.20)","0.93 (0.47 to    1.83)","Chemotherapy",".",".",".",".",".",".","."
"0.07 (0.01 to    0.70)","0.09 (0.01 to    0.68)","0.17 (0.02 to    1.71)","0.12 (0.00 to    4.49)","0.35 (0.08 to    1.41)","0.26 (0.01 to    5.58)","0.38 (0.08 to    1.72)","0.39 (0.09 to    1.75)","0.37 (0.06 to    2.52)","0.35 (0.02 to    5.44)","0.43 (0.09 to    1.95)","0.45 (0.09 to    2.16)","0.61 (0.04 to    8.87)","0.64 (0.14 to    2.89)","0.69 (0.15 to    3.08)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".","."
