"3rd-generation EGFR TKIs + Amivantamab",".",".",".","5.68 (2.81 to  11.47)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.87 (0.80 to   10.33)","3rd-generation EGFR TKIs + chemotherapy",".",".","1.98 (0.68 to   5.76)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.57 (0.86 to   14.91)","1.24 (0.24 to    6.42)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.89 (0.94 to   8.87)",".",".",".","."
"3.90 (0.99 to   15.38)","1.36 (0.28 to    6.67)","1.09 (0.24 to    5.05)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","2.65 (0.93 to   7.56)",".",".",".","."
"5.68 (2.81 to   11.47)","1.98 (0.68 to    5.76)","1.59 (0.46 to    5.51)","1.46 (0.45 to    4.74)","3rd-generation EGFR TKIs",".",".","0.67 (0.22 to   2.07)",".",".",".",".",".",".","1.01 (0.41 to   2.51)","1.82 (0.34 to   9.82)",".","3.07 (1.48 to   6.36)",".",".",".","."
"5.69 (1.80 to   18.01)","1.98 (0.49 to    8.09)","1.59 (0.42 to    6.08)","1.46 (0.41 to    5.24)","1.00 (0.40 to    2.50)","Antiangiogenesis",".",".",".",".",".",".",".","3.36 (0.67 to  16.86)",".",".",".","1.64 (0.76 to   3.57)",".",".",".","."
"5.94 (1.19 to   29.67)","2.07 (0.34 to   12.50)","1.66 (0.29 to    9.68)","1.52 (0.27 to    8.47)","1.05 (0.25 to    4.45)","1.04 (0.22 to    4.90)","2nd-generation EGFR TKIs + Cetuximab",".",".",".","1.43 (0.40 to   5.18)",".",".",".",".",".",".",".",".",".",".","."
"6.69 (2.57 to   17.42)","2.33 (0.67 to    8.14)","1.87 (0.55 to    6.36)","1.72 (0.54 to    5.46)","1.18 (0.61 to    2.26)","1.18 (0.48 to    2.85)","1.13 (0.27 to    4.67)","Chemotherapy",".",".","2.11 (0.63 to   7.05)",".",".",".",".",".",".","1.18 (0.66 to   2.12)",".",".",".","."
"7.38 (2.64 to   20.62)","2.57 (0.70 to    9.49)","2.07 (0.60 to    7.09)","1.89 (0.59 to    6.09)","1.30 (0.62 to    2.75)","1.30 (0.53 to    3.19)","1.24 (0.29 to    5.33)","1.10 (0.54 to    2.26)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".","1.40 (0.84 to   2.35)",".",".",".","."
"8.31 (2.76 to   25.03)","2.89 (0.74 to   11.34)","2.33 (0.64 to    8.51)","2.13 (0.62 to    7.33)","1.46 (0.63 to    3.42)","1.46 (0.55 to    3.91)","1.40 (0.31 to    6.33)","1.24 (0.55 to    2.82)","1.13 (0.49 to    2.59)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".","1.24 (0.65 to   2.39)",".",".",".","."
"8.52 (3.23 to   22.50)","2.97 (0.84 to   10.48)","2.38 (0.71 to    7.97)","2.19 (0.70 to    6.83)","1.50 (0.77 to    2.93)","1.50 (0.63 to    3.55)","1.43 (0.40 to    5.18)","1.27 (0.69 to    2.35)","1.15 (0.58 to    2.29)","1.02 (0.46 to    2.27)","2nd-generation EGFR TKIs",".",".",".","1.94 (0.76 to   4.99)",".",".","1.10 (0.65 to   1.88)",".",".",".","."
"9.93 (0.80 to  122.77)","3.46 (0.25 to   48.50)","2.78 (0.21 to   37.64)","2.55 (0.19 to   33.46)","1.75 (0.16 to   19.56)","1.75 (0.15 to   20.55)","1.67 (0.11 to   25.34)","1.48 (0.13 to   16.44)","1.34 (0.12 to   14.96)","1.19 (0.10 to   13.73)","1.17 (0.11 to   12.80)","DHFR inhibitor",".",".",".",".",".","1.04 (0.10 to  10.96)",".",".",".","."
"10.13 (0.81 to  127.25)","3.53 (0.25 to   50.23)","2.84 (0.21 to   38.99)","2.60 (0.19 to   34.67)","1.78 (0.16 to   20.29)","1.78 (0.15 to   21.30)","1.71 (0.11 to   26.23)","1.52 (0.13 to   17.05)","1.37 (0.12 to   15.51)","1.22 (0.10 to   14.24)","1.19 (0.11 to   13.27)","1.02 (0.04 to   28.79)","Rociletinib",".",".",".",".","1.02 (0.10 to  10.92)",".",".",".","."
