"1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".","0.13 (0.01 to   2.79)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.01 to    6.37)","1st-generation EGFR TKIs + MMP inhibitor",".",".","0.58 (0.15 to   2.24)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 (0.00 to   36.12)","1.81 (0.05 to   62.64)","1st-generation EGFR TKIs + COX2 inhibitor",".","0.32 (0.01 to   8.49)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.01 to    6.29)","0.91 (0.12 to    7.04)","0.50 (0.01 to   18.70)","1st-generation EGFR TKIs + HER3 inhibitor","0.64 (0.14 to   2.99)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.01 to    2.79)","0.58 (0.15 to    2.24)","0.32 (0.01 to    8.49)","0.64 (0.14 to    2.99)","1st-generation EGFR TKIs","1.32 (0.10 to  17.47)",".","0.81 (0.43 to   1.54)","0.83 (0.56 to   1.23)","0.98 (0.09 to  10.48)","0.96 (0.09 to  10.10)","0.91 (0.53 to   1.55)","0.80 (0.42 to   1.55)","0.71 (0.43 to   1.20)","0.85 (0.47 to   1.53)",".","0.61 (0.28 to   1.32)","0.33 (0.16 to   0.68)","0.38 (0.13 to   1.07)","0.35 (0.11 to   1.06)",".","."
"0.17 (0.00 to    9.49)","0.77 (0.04 to   14.16)","0.42 (0.01 to   27.45)","0.85 (0.04 to   17.11)","1.32 (0.10 to   17.47)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.00 to    4.50)","0.58 (0.06 to    5.39)","0.32 (0.01 to   13.30)","0.64 (0.06 to    6.70)","1.00 (0.17 to    5.87)","0.76 (0.03 to   17.36)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","0.55 (0.10 to   2.95)",".",".",".","."
"0.11 (0.01 to    2.51)","0.50 (0.12 to    2.11)","0.28 (0.01 to    7.62)","0.55 (0.11 to    2.79)","0.86 (0.53 to    1.41)","0.66 (0.05 to    9.08)","0.86 (0.14 to    5.17)","Placebo",".",".",".","0.52 (0.20 to   1.32)",".",".",".",".",".","0.99 (0.40 to   2.47)",".",".",".","."
"0.11 (0.01 to    2.46)","0.50 (0.12 to    2.04)","0.28 (0.01 to    7.47)","0.55 (0.11 to    2.70)","0.86 (0.58 to    1.27)","0.65 (0.05 to    8.87)","0.86 (0.14 to    5.24)","0.99 (0.53 to    1.86)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","0.30 (0.06 to   1.50)",".",".",".",".","."
"0.13 (0.00 to    6.16)","0.57 (0.04 to    8.72)","0.31 (0.01 to   17.92)","0.63 (0.04 to   10.60)","0.98 (0.09 to   10.48)","0.74 (0.02 to   24.71)","0.98 (0.05 to   18.81)","1.13 (0.10 to   12.75)","1.14 (0.10 to   12.58)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.00 to    5.98)","0.56 (0.04 to    8.42)","0.31 (0.01 to   17.39)","0.62 (0.04 to   10.24)","0.96 (0.09 to   10.10)","0.73 (0.02 to   23.95)","0.96 (0.05 to   18.19)","1.11 (0.10 to   12.29)","1.12 (0.10 to   12.13)","0.98 (0.03 to   27.65)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    2.38)","0.48 (0.12 to    1.99)","0.26 (0.01 to    7.22)","0.53 (0.11 to    2.63)","0.82 (0.52 to    1.29)","0.62 (0.05 to    8.59)","0.82 (0.13 to    5.03)","0.95 (0.53 to    1.70)","0.96 (0.53 to    1.74)","0.84 (0.08 to    9.39)","0.86 (0.08 to    9.42)","2nd-generation EGFR TKIs",".",".","0.47 (0.14 to   1.58)","0.70 (0.19 to   2.51)",".",".",".",".",".","."
"0.11 (0.00 to    2.41)","0.47 (0.10 to    2.09)","0.26 (0.01 to    7.28)","0.51 (0.10 to    2.74)","0.80 (0.42 to    1.55)","0.61 (0.04 to    8.74)","0.80 (0.12 to    5.28)","0.93 (0.41 to    2.11)","0.93 (0.44 to    2.00)","0.82 (0.07 to    9.59)","0.84 (0.07 to    9.63)","0.98 (0.44 to    2.16)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    2.08)","0.42 (0.10 to    1.76)","0.23 (0.01 to    6.32)","0.46 (0.09 to    2.32)","0.71 (0.43 to    1.20)","0.54 (0.04 to    7.54)","0.71 (0.11 to    4.50)","0.83 (0.41 to    1.68)","0.83 (0.44 to    1.59)","0.73 (0.06 to    8.24)","0.74 (0.07 to    8.28)","0.87 (0.44 to    1.72)","0.89 (0.39 to    2.04)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".","."
"0.09 (0.00 to    1.88)","0.38 (0.09 to    1.58)","0.21 (0.01 to    5.70)","0.41 (0.08 to    2.09)","0.65 (0.39 to    1.06)","0.49 (0.04 to    6.79)","0.65 (0.11 to    3.92)","0.75 (0.39 to    1.45)","0.75 (0.40 to    1.41)","0.66 (0.06 to    7.43)","0.67 (0.06 to    7.46)","0.78 (0.43 to    1.45)","0.80 (0.35 to    1.82)","0.91 (0.44 to    1.85)","Chemotherapy",".",".","1.49 (0.48 to   4.57)",".",".",".","."
"0.08 (0.00 to    2.14)","0.33 (0.05 to    2.27)","0.18 (0.01 to    6.39)","0.37 (0.05 to    2.87)","0.57 (0.15 to    2.24)","0.43 (0.02 to    8.06)","0.57 (0.06 to    5.27)","0.66 (0.16 to    2.72)","0.67 (0.16 to    2.75)","0.59 (0.04 to    9.01)","0.60 (0.04 to    9.06)","0.70 (0.19 to    2.51)","0.71 (0.16 to    3.23)","0.80 (0.19 to    3.44)","0.89 (0.21 to    3.68)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".","."
"0.07 (0.00 to    1.68)","0.32 (0.07 to    1.49)","0.18 (0.01 to    5.07)","0.35 (0.06 to    1.94)","0.55 (0.26 to    1.15)","0.42 (0.03 to    6.11)","0.55 (0.08 to    3.72)","0.64 (0.26 to    1.54)","0.64 (0.29 to    1.43)","0.56 (0.05 to    6.71)","0.57 (0.05 to    6.74)","0.67 (0.28 to    1.58)","0.68 (0.26 to    1.83)","0.77 (0.31 to    1.89)","0.85 (0.35 to    2.06)","0.96 (0.20 to    4.50)","Antiangiogenesis",".",".",".",".","."
"0.07 (0.00 to    1.61)","0.32 (0.07 to    1.37)","0.18 (0.01 to    4.88)","0.35 (0.07 to    1.80)","0.55 (0.32 to    0.94)","0.42 (0.03 to    5.83)","0.55 (0.10 to    2.95)","0.64 (0.34 to    1.17)","0.64 (0.33 to    1.24)","0.56 (0.05 to    6.37)","0.57 (0.05 to    6.40)","0.67 (0.34 to    1.30)","0.68 (0.29 to    1.60)","0.77 (0.36 to    1.63)","0.85 (0.44 to    1.63)","0.96 (0.22 to    4.07)","1.00 (0.40 to    2.49)","3rd-generation EGFR TKIs",".",".","0.51 (0.17 to   1.47)","0.18 (0.09 to   0.36)"
"0.05 (0.00 to    1.25)","0.22 (0.04 to    1.21)","0.12 (0.00 to    3.77)","0.24 (0.04 to    1.56)","0.38 (0.13 to    1.07)","0.29 (0.02 to    4.64)","0.38 (0.05 to    2.94)","0.44 (0.14 to    1.39)","0.44 (0.14 to    1.34)","0.38 (0.03 to    5.13)","0.39 (0.03 to    5.16)","0.46 (0.15 to    1.43)","0.47 (0.14 to    1.61)","0.53 (0.16 to    1.70)","0.58 (0.18 to    1.85)","0.66 (0.12 to    3.65)","0.69 (0.19 to    2.46)","0.69 (0.21 to    2.23)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".","."
"0.05 (0.00 to    1.18)","0.20 (0.03 to    1.16)","0.11 (0.00 to    3.53)","0.22 (0.03 to    1.49)","0.35 (0.11 to    1.06)","0.26 (0.02 to    4.37)","0.34 (0.04 to    2.80)","0.40 (0.12 to    1.36)","0.40 (0.12 to    1.31)","0.35 (0.03 to    4.85)","0.36 (0.03 to    4.87)","0.42 (0.13 to    1.40)","0.43 (0.12 to    1.57)","0.48 (0.14 to    1.66)","0.53 (0.16 to    1.82)","0.60 (0.10 to    3.50)","0.63 (0.16 to    2.40)","0.63 (0.18 to    2.18)","0.92 (0.20 to    4.24)","1st-generation EGFR TKIs + ER inhibitor",".","."
"0.04 (0.00 to    0.97)","0.16 (0.03 to    0.98)","0.09 (0.00 to    2.92)","0.18 (0.03 to    1.25)","0.28 (0.08 to    0.92)","0.21 (0.01 to    3.63)","0.28 (0.04 to    2.04)","0.32 (0.09 to    1.10)","0.32 (0.09 to    1.14)","0.28 (0.02 to    4.04)","0.29 (0.02 to    4.06)","0.34 (0.10 to    1.19)","0.35 (0.09 to    1.35)","0.39 (0.11 to    1.43)","0.43 (0.12 to    1.50)","0.48 (0.08 to    2.93)","0.50 (0.12 to    2.06)","0.51 (0.17 to    1.47)","0.74 (0.15 to    3.62)","0.80 (0.16 to    4.15)","3rd-generation EGFR TKIs + chemotherapy","."
"0.01 (0.00 to    0.31)","0.06 (0.01 to    0.28)","0.03 (0.00 to    0.92)","0.06 (0.01 to    0.37)","0.10 (0.04 to    0.23)","0.07 (0.00 to    1.12)","0.10 (0.02 to    0.60)","0.11 (0.04 to    0.28)","0.11 (0.04 to    0.30)","0.10 (0.01 to    1.24)","0.10 (0.01 to    1.25)","0.12 (0.04 to    0.31)","0.12 (0.04 to    0.36)","0.14 (0.05 to    0.38)","0.15 (0.06 to    0.39)","0.17 (0.03 to    0.84)","0.18 (0.06 to    0.56)","0.18 (0.09 to    0.36)","0.26 (0.07 to    1.01)","0.28 (0.07 to    1.17)","0.35 (0.10 to    1.25)","3rd-generation EGFR TKIs + Amivantamab"
