"Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","26.60 (1.51 to 467.46)",".",".",".",".",".","."
"3.08 (0.16 to    60.39)","Lazertinib + Amivantamab",".",".",".",".",".","4.73 (2.55 to   8.76)",".",".",".",".",".",".",".",".","6.27 (3.56 to  11.06)",".",".",".",".",".",".",".",".",".",".",".","."
"6.45 (0.32 to   129.45)","2.09 (0.67 to     6.53)","Gefitinib + ER inhibitor",".","1.58 (0.65 to   3.82)",".",".",".",".",".",".",".",".",".",".",".",".","4.78 (1.51 to  15.12)",".",".",".",".","3.32 (1.24 to   8.91)",".",".",".",".",".","."
"8.52 (0.39 to   187.88)","2.76 (0.75 to    10.15)","1.32 (0.34 to     5.15)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","2.60 (0.95 to   7.07)",".",".",".",".",".",".",".",".",".",".","."
"10.19 (0.50 to   208.46)","3.30 (1.01 to    10.85)","1.58 (0.65 to     3.82)","1.20 (0.29 to     4.87)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","3.03 (0.91 to  10.09)",".",".",".",".","2.10 (0.74 to   5.99)",".",".",".",".",".","."
"10.31 (0.46 to   232.00)","3.34 (1.07 to    10.45)","1.60 (0.37 to     6.84)","1.21 (0.25 to     5.85)","1.01 (0.23 to     4.52)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".","1.98 (0.73 to   5.36)",".",".",".",".",".",".",".",".",".",".",".","."
"12.50 (0.62 to   252.06)","4.05 (1.39 to    11.83)","1.94 (0.62 to     6.08)","1.47 (0.44 to     4.91)","1.23 (0.37 to     4.06)","1.21 (0.30 to     4.87)","Antiangiogenesis",".",".",".",".",".",".","3.36 (0.70 to  16.09)",".",".",".","1.60 (0.79 to   3.26)",".",".",".",".",".",".",".",".",".",".","."
"13.59 (0.71 to   259.04)","4.41 (2.44 to     7.97)","2.11 (0.72 to     6.19)","1.60 (0.45 to     5.66)","1.33 (0.43 to     4.14)","1.32 (0.41 to     4.19)","1.09 (0.39 to     3.04)","Lazertinib",".",".",".",".",".",".",".",".","1.33 (0.68 to   2.58)",".",".",".",".",".","2.42 (1.01 to   5.78)",".",".",".",".",".","."
"12.39 (0.51 to   299.34)","4.02 (0.88 to    18.45)","1.92 (0.39 to     9.42)","1.46 (0.27 to     7.85)","1.22 (0.24 to     6.20)","1.20 (0.21 to     7.03)","0.99 (0.22 to     4.51)","0.91 (0.21 to     4.05)","Afatinib + Cetuximab",".",".",".","1.43 (0.42 to   4.88)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"15.38 (0.79 to   297.83)","4.99 (1.92 to    12.92)","2.38 (0.85 to     6.69)","1.81 (0.60 to     5.44)","1.51 (0.51 to     4.49)","1.49 (0.41 to     5.48)","1.23 (0.54 to     2.79)","1.13 (0.46 to     2.80)","1.24 (0.30 to     5.20)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","1.44 (0.90 to   2.29)",".",".",".",".",".",".",".",".",".",".","."
"15.15 (0.76 to   301.27)","4.91 (1.53 to    15.76)","2.35 (0.69 to     7.99)","1.78 (0.42 to     7.52)","1.49 (0.42 to     5.32)","1.47 (0.33 to     6.48)","1.21 (0.35 to     4.18)","1.11 (0.37 to     3.33)","1.22 (0.24 to     6.23)","0.99 (0.32 to     3.07)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","1.76 (0.75 to   4.12)",".",".",".",".",".","."
"16.22 (0.86 to   304.29)","5.26 (2.29 to    12.06)","2.51 (0.94 to     6.74)","1.90 (0.62 to     5.88)","1.59 (0.56 to     4.54)","1.57 (0.47 to     5.29)","1.30 (0.55 to     3.05)","1.19 (0.55 to     2.60)","1.31 (0.33 to     5.22)","1.05 (0.52 to     2.12)","1.07 (0.37 to     3.07)","Chemotherapy","2.09 (0.66 to   6.64)",".",".",".","1.49 (0.52 to   4.26)","0.95 (0.49 to   1.85)",".",".",".",".","1.98 (0.70 to   5.61)",".",".",".",".",".","."
