"Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".",".",".",".","0.13 (0.01 to   2.72)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.37 (0.01 to    10.34)","Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".","0.32 (0.10 to   1.04)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 (0.00 to    34.93)","1.10 (0.03 to    37.18)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".",".",".","0.32 (0.01 to   8.30)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.01 to     6.09)","0.60 (0.09 to     3.93)","0.55 (0.02 to    18.23)","Erlotinib + MMP inhibitor",".",".",".",".",".",".",".","0.58 (0.16 to   2.12)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.01 to     7.44)","0.59 (0.08 to     4.42)","0.54 (0.01 to    22.01)","0.98 (0.11 to     8.83)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".","0.55 (0.11 to   2.82)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.01 to     6.02)","0.55 (0.07 to     4.13)","0.50 (0.01 to    17.94)","0.91 (0.13 to     6.54)","0.93 (0.09 to     9.46)","Erlotinib + HER3 inhibitor",".",".",".",".",".","0.64 (0.14 to   2.85)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.01 to     3.47)","0.42 (0.11 to     1.64)","0.39 (0.01 to    10.53)","0.70 (0.17 to     2.90)","0.71 (0.12 to     4.24)","0.77 (0.15 to     3.84)","Gefitinib",".","0.61 (0.08 to   4.84)","1.72 (0.47 to   6.33)",".","1.44 (0.40 to   5.19)",".",".",".",".","0.54 (0.19 to   1.49)","0.50 (0.18 to   1.43)","0.57 (0.24 to   1.33)",".",".","0.41 (0.17 to   0.99)",".",".","0.48 (0.17 to   1.36)",".","0.30 (0.11 to   0.81)",".","0.04 (0.00 to   0.66)"
"0.17 (0.01 to     4.02)","0.45 (0.09 to     2.34)","0.41 (0.01 to    12.14)","0.75 (0.15 to     3.67)","0.76 (0.10 to     5.68)","0.82 (0.14 to     4.76)","1.07 (0.36 to     3.21)","Erlotinib + chemotherapy",".",".",".","0.78 (0.31 to   1.97)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to     3.10)","0.37 (0.09 to     1.62)","0.34 (0.01 to     9.39)","0.62 (0.14 to     2.63)","0.63 (0.10 to     4.06)","0.68 (0.13 to     3.47)","0.88 (0.39 to     1.99)","0.82 (0.26 to     2.58)","Dacomitinib","1.52 (0.48 to   4.86)",".","0.71 (0.31 to   1.62)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to     2.92)","0.36 (0.10 to     1.37)","0.33 (0.01 to     8.87)","0.60 (0.15 to     2.40)","0.61 (0.10 to     3.56)","0.66 (0.14 to     3.18)","0.85 (0.45 to     1.61)","0.80 (0.28 to     2.30)","0.97 (0.47 to     2.00)","Placebo",".","1.55 (0.78 to   3.06)","0.99 (0.42 to   2.35)",".",".",".","0.36 (0.09 to   1.51)",".",".",".",".",".",".",".",".",".",".",".","."
"0.17 (0.00 to     9.14)","0.46 (0.03 to     8.38)","0.42 (0.01 to    26.48)","0.77 (0.04 to    13.45)","0.78 (0.03 to    17.63)","0.85 (0.04 to    16.27)","1.10 (0.08 to    15.10)","1.03 (0.07 to    15.54)","1.25 (0.09 to    17.44)","1.28 (0.10 to    17.36)","Erlotinib + HGF inhibitor","0.76 (0.06 to   9.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.01 to     2.72)","0.35 (0.09 to     1.37)","0.32 (0.01 to     8.30)","0.58 (0.16 to     2.12)","0.59 (0.10 to     3.52)","0.64 (0.14 to     2.85)","0.83 (0.46 to     1.51)","0.78 (0.31 to     1.97)","0.94 (0.49 to     1.83)","0.97 (0.58 to     1.62)","0.76 (0.06 to     9.74)","Erlotinib",".","0.98 (0.09 to  10.15)","0.96 (0.09 to   9.78)","0.81 (0.57 to   1.16)","0.87 (0.37 to   2.01)","1.05 (0.54 to   2.04)",".","0.70 (0.44 to   1.11)",".",".","0.62 (0.31 to   1.27)",".","0.33 (0.10 to   1.10)","0.39 (0.14 to   1.05)","0.21 (0.07 to   0.66)",".","."
"0.12 (0.01 to     2.72)","0.32 (0.10 to     1.04)","0.30 (0.01 to     8.24)","0.54 (0.12 to     2.33)","0.55 (0.11 to     2.82)","0.59 (0.11 to     3.06)","0.77 (0.38 to     1.54)","0.72 (0.23 to     2.29)","0.87 (0.36 to     2.12)","0.90 (0.47 to     1.72)","0.70 (0.05 to     9.86)","0.92 (0.46 to     1.85)","Osimertinib",".",".",".",".","0.67 (0.23 to   1.93)",".",".",".","0.75 (0.39 to   1.46)",".","0.51 (0.19 to   1.37)",".",".",".","0.16 (0.09 to   0.28)","."
"0.13 (0.00 to     5.93)","0.35 (0.02 to     5.15)","0.31 (0.01 to    17.27)","0.57 (0.04 to     8.25)","0.58 (0.03 to    11.00)","0.63 (0.04 to    10.05)","0.81 (0.07 to     9.09)","0.76 (0.06 to     9.43)","0.93 (0.08 to    10.52)","0.95 (0.09 to    10.44)","0.74 (0.02 to    23.67)","0.98 (0.09 to    10.15)","1.06 (0.09 to    12.18)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.00 to     5.75)","0.34 (0.02 to     4.97)","0.31 (0.01 to    16.76)","0.56 (0.04 to     7.97)","0.57 (0.03 to    10.63)","0.62 (0.04 to     9.71)","0.80 (0.07 to     8.76)","0.75 (0.06 to     9.10)","0.91 (0.08 to    10.14)","0.93 (0.09 to    10.06)","0.73 (0.02 to    22.94)","0.96 (0.09 to     9.78)","1.04 (0.09 to    11.75)","0.98 (0.04 to    26.43)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.01 to     2.33)","0.29 (0.07 to     1.20)","0.27 (0.01 to     7.08)","0.49 (0.13 to     1.86)","0.50 (0.08 to     3.05)","0.54 (0.12 to     2.48)","0.70 (0.35 to     1.39)","0.65 (0.24 to     1.76)","0.79 (0.37 to     1.68)","0.81 (0.44 to     1.52)","0.63 (0.05 to     8.35)","0.84 (0.59 to     1.19)","0.91 (0.42 to     1.98)","0.85 (0.08 to     9.09)","0.87 (0.08 to     9.12)","Erlotinib + antiangiogenesis",".",".",".",".",".",".","0.30 (0.06 to   1.43)",".",".",".",".",".","."
"0.11 (0.00 to     2.32)","0.28 (0.07 to     1.16)","0.26 (0.01 to     7.03)","0.47 (0.11 to     1.93)","0.48 (0.08 to     2.95)","0.52 (0.10 to     2.56)","0.67 (0.35 to     1.29)","0.63 (0.21 to     1.87)","0.76 (0.33 to     1.77)","0.78 (0.40 to     1.53)","0.61 (0.04 to     8.37)","0.80 (0.45 to     1.44)","0.87 (0.39 to     1.93)","0.82 (0.07 to     9.14)","0.84 (0.08 to     9.17)","0.96 (0.48 to     1.91)","Afatinib","0.48 (0.15 to   1.52)",".",".","0.70 (0.21 to   2.37)",".",".",".",".",".",".",".","."
"0.10 (0.00 to     2.09)","0.26 (0.07 to     1.00)","0.24 (0.01 to     6.34)","0.43 (0.11 to     1.72)","0.44 (0.07 to     2.58)","0.47 (0.10 to     2.28)","0.61 (0.33 to     1.13)","0.57 (0.20 to     1.65)","0.69 (0.31 to     1.55)","0.71 (0.38 to     1.35)","0.56 (0.04 to     7.52)","0.73 (0.44 to     1.23)","0.80 (0.40 to     1.59)","0.75 (0.07 to     8.21)","0.76 (0.07 to     8.24)","0.88 (0.47 to     1.65)","0.91 (0.48 to     1.74)","Chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to     2.22)","0.24 (0.05 to     1.20)","0.22 (0.01 to     6.68)","0.40 (0.08 to     2.09)","0.41 (0.06 to     2.93)","0.44 (0.07 to     2.70)","0.57 (0.24 to     1.33)","0.53 (0.13 to     2.14)","0.65 (0.20 to     2.10)","0.67 (0.23 to     1.93)","0.52 (0.03 to     8.17)","0.68 (0.24 to     1.93)","0.74 (0.25 to     2.23)","0.70 (0.05 to     9.03)","0.71 (0.06 to     9.07)","0.82 (0.27 to     2.45)","0.85 (0.29 to     2.49)","0.93 (0.33 to     2.68)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to     1.96)","0.24 (0.06 to     1.03)","0.22 (0.01 to     5.96)","0.41 (0.10 to     1.60)","0.41 (0.07 to     2.60)","0.45 (0.09 to     2.12)","0.58 (0.27 to     1.23)","0.54 (0.19 to     1.53)","0.66 (0.29 to     1.48)","0.68 (0.34 to     1.35)","0.53 (0.04 to     7.06)","0.70 (0.44 to     1.11)","0.75 (0.33 to     1.74)","0.71 (0.07 to     7.70)","0.72 (0.07 to     7.72)","0.83 (0.46 to     1.49)","0.86 (0.41 to     1.82)","0.95 (0.47 to     1.91)","1.02 (0.33 to     3.17)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to     2.04)","0.20 (0.03 to     1.28)","0.18 (0.01 to     6.10)","0.33 (0.05 to     2.12)","0.33 (0.04 to     2.99)","0.36 (0.05 to     2.69)","0.47 (0.12 to     1.87)","0.44 (0.08 to     2.25)","0.53 (0.12 to     2.34)","0.55 (0.14 to     2.20)","0.42 (0.02 to     7.65)","0.56 (0.14 to     2.17)","0.61 (0.14 to     2.61)","0.57 (0.04 to     8.54)","0.58 (0.04 to     8.58)","0.67 (0.16 to     2.72)","0.70 (0.21 to     2.37)","0.76 (0.19 to     3.05)","0.82 (0.16 to     4.17)","0.81 (0.19 to     3.38)","Afatinib + Cetuximab",".",".",".",".",".",".",".","."
"0.08 (0.00 to     1.85)","0.22 (0.06 to     0.80)","0.20 (0.01 to     5.59)","0.36 (0.08 to     1.62)","0.37 (0.06 to     2.08)","0.39 (0.07 to     2.11)","0.51 (0.26 to     1.02)","0.48 (0.14 to     1.60)","0.58 (0.22 to     1.51)","0.60 (0.28 to     1.28)","0.47 (0.03 to     6.72)","0.61 (0.28 to     1.34)","0.67 (0.37 to     1.20)","0.63 (0.05 to     7.37)","0.64 (0.06 to     7.40)","0.73 (0.31 to     1.73)","0.76 (0.33 to     1.79)","0.84 (0.38 to     1.83)","0.90 (0.30 to     2.68)","0.88 (0.36 to     2.18)","1.10 (0.25 to     4.87)","Lazertinib",".",".",".",".",".","0.21 (0.11 to   0.39)","."
"0.07 (0.00 to     1.66)","0.20 (0.04 to     0.91)","0.18 (0.01 to     5.03)","0.33 (0.08 to     1.41)","0.34 (0.05 to     2.25)","0.36 (0.07 to     1.86)","0.47 (0.19 to     1.15)","0.44 (0.14 to     1.38)","0.53 (0.21 to     1.38)","0.55 (0.24 to     1.28)","0.43 (0.03 to     6.01)","0.57 (0.29 to     1.11)","0.61 (0.23 to     1.62)","0.58 (0.05 to     6.58)","0.59 (0.05 to     6.60)","0.68 (0.32 to     1.41)","0.70 (0.29 to     1.72)","0.77 (0.33 to     1.81)","0.83 (0.24 to     2.85)","0.81 (0.36 to     1.85)","1.01 (0.22 to     4.59)","0.92 (0.33 to     2.57)","Antiangiogenesis",".",".",".",".",".","."
"0.06 (0.00 to     1.61)","0.16 (0.04 to     0.76)","0.15 (0.00 to     4.82)","0.27 (0.05 to     1.60)","0.28 (0.04 to     1.89)","0.30 (0.04 to     2.05)","0.39 (0.11 to     1.31)","0.36 (0.08 to     1.67)","0.44 (0.12 to     1.68)","0.45 (0.14 to     1.49)","0.35 (0.02 to     5.98)","0.47 (0.14 to     1.57)","0.51 (0.19 to     1.37)","0.48 (0.03 to     6.64)","0.49 (0.04 to     6.67)","0.56 (0.16 to     1.98)","0.58 (0.16 to     2.08)","0.64 (0.19 to     2.14)","0.68 (0.15 to     3.00)","0.67 (0.18 to     2.47)","0.83 (0.14 to     4.87)","0.76 (0.24 to     2.41)","0.83 (0.21 to     3.32)","Osimertinib + chemotherapy",".",".",".",".","."
"0.06 (0.00 to     1.47)","0.16 (0.03 to     0.81)","0.15 (0.00 to     4.42)","0.27 (0.05 to     1.36)","0.27 (0.04 to     1.98)","0.29 (0.05 to     1.76)","0.38 (0.15 to     0.99)","0.36 (0.09 to     1.39)","0.43 (0.14 to     1.38)","0.45 (0.16 to     1.28)","0.35 (0.02 to     5.39)","0.46 (0.17 to     1.23)","0.50 (0.16 to     1.52)","0.47 (0.04 to     5.95)","0.48 (0.04 to     5.97)","0.55 (0.19 to     1.57)","0.57 (0.20 to     1.68)","0.63 (0.22 to     1.79)","0.67 (0.19 to     2.40)","0.66 (0.22 to     1.97)","0.82 (0.16 to     4.19)","0.75 (0.24 to     2.33)","0.81 (0.25 to     2.69)","0.99 (0.22 to     4.41)","Erlotinib + ER inhibitor",".","0.63 (0.26 to   1.53)",".","."
"0.05 (0.00 to     1.23)","0.14 (0.03 to     0.73)","0.12 (0.00 to     3.72)","0.22 (0.04 to     1.15)","0.23 (0.03 to     1.76)","0.25 (0.04 to     1.49)","0.32 (0.10 to     1.03)","0.30 (0.08 to     1.17)","0.36 (0.11 to     1.21)","0.37 (0.12 to     1.15)","0.29 (0.02 to     4.53)","0.39 (0.14 to     1.05)","0.42 (0.12 to     1.41)","0.39 (0.03 to     5.00)","0.40 (0.03 to     5.03)","0.46 (0.16 to     1.33)","0.48 (0.15 to     1.53)","0.53 (0.17 to     1.62)","0.56 (0.13 to     2.38)","0.55 (0.18 to     1.67)","0.69 (0.13 to     3.71)","0.63 (0.18 to     2.22)","0.68 (0.20 to     2.28)","0.83 (0.17 to     3.99)","0.84 (0.21 to     3.41)","Erlotinib + IGF-1R inhibitor",".",".","."
"0.04 (0.00 to     0.91)","0.10 (0.02 to     0.50)","0.09 (0.00 to     2.75)","0.17 (0.03 to     0.83)","0.17 (0.02 to     1.22)","0.19 (0.03 to     1.08)","0.24 (0.10 to     0.59)","0.23 (0.06 to     0.84)","0.28 (0.09 to     0.83)","0.28 (0.11 to     0.77)","0.22 (0.01 to     3.34)","0.29 (0.12 to     0.73)","0.32 (0.11 to     0.91)","0.30 (0.02 to     3.68)","0.30 (0.03 to     3.69)","0.35 (0.13 to     0.94)","0.36 (0.13 to     1.00)","0.40 (0.15 to     1.07)","0.43 (0.13 to     1.45)","0.42 (0.15 to     1.18)","0.52 (0.11 to     2.55)","0.47 (0.16 to     1.39)","0.52 (0.16 to     1.62)","0.63 (0.15 to     2.68)","0.63 (0.26 to     1.53)","0.76 (0.19 to     2.96)","Gefitinib + ER inhibitor",".","."
"0.02 (0.00 to     0.42)","0.05 (0.01 to     0.18)","0.04 (0.00 to     1.28)","0.08 (0.02 to     0.38)","0.08 (0.01 to     0.47)","0.09 (0.02 to     0.49)","0.12 (0.05 to     0.26)","0.11 (0.03 to     0.38)","0.13 (0.05 to     0.36)","0.14 (0.06 to     0.30)","0.11 (0.01 to     1.55)","0.14 (0.06 to     0.32)","0.15 (0.09 to     0.26)","0.14 (0.01 to     1.70)","0.15 (0.01 to     1.71)","0.17 (0.07 to     0.41)","0.17 (0.07 to     0.43)","0.19 (0.08 to     0.44)","0.20 (0.06 to     0.65)","0.20 (0.08 to     0.52)","0.25 (0.05 to     1.14)","0.23 (0.13 to     0.41)","0.25 (0.08 to     0.72)","0.30 (0.10 to     0.93)","0.30 (0.09 to     0.99)","0.36 (0.10 to     1.33)","0.48 (0.15 to     1.49)","Lazertinib + Amivantamab","."
"0.01 (0.00 to     0.40)","0.02 (0.00 to     0.38)","0.01 (0.00 to     1.15)","0.03 (0.00 to     0.65)","0.03 (0.00 to     0.78)","0.03 (0.00 to     0.77)","0.04 (0.00 to     0.66)","0.04 (0.00 to     0.76)","0.04 (0.00 to     0.84)","0.04 (0.00 to     0.83)","0.03 (0.00 to     1.67)","0.05 (0.00 to     0.84)","0.05 (0.00 to     0.94)","0.05 (0.00 to     1.96)","0.05 (0.00 to     1.97)","0.05 (0.00 to     1.03)","0.06 (0.00 to     1.06)","0.06 (0.00 to     1.16)","0.07 (0.00 to     1.31)","0.07 (0.00 to     1.26)","0.08 (0.00 to     1.95)","0.07 (0.00 to     1.40)","0.08 (0.00 to     1.61)","0.10 (0.00 to     2.18)","0.10 (0.00 to     2.01)","0.12 (0.01 to     2.59)","0.15 (0.01 to     3.11)","0.32 (0.02 to     6.35)","Almonertinib"
