"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.60 (4.38 to 30.73)",".",".",".",".",".",".",".",".",".",".","."
"1.67 (0.37 to    7.46)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.49 (3.44 to 16.31)",".",".",".",".",".","."
"2.10 (0.57 to    7.75)","1.26 (0.34 to    4.62)","Antiangiogenesis",".","1.74 (0.50 to  6.02)",".",".",".",".",".",".",".",".",".",".",".",".",".","10.79 (1.58 to 73.72)","4.87 (2.23 to 10.62)",".",".",".",".",".",".",".",".",".","."
"2.02 (0.47 to    8.68)","1.21 (0.37 to    3.95)","0.96 (0.27 to    3.49)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".","4.37 (1.70 to 11.26)",".",".",".",".",".",".",".",".",".","6.19 (2.46 to 15.60)",".",".",".",".",".","."
"2.70 (0.82 to    8.96)","1.62 (0.50 to    5.23)","1.29 (0.62 to    2.66)","1.34 (0.42 to    4.27)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.40 (3.16 to  6.13)",".",".",".",".",".",".",".",".",".","."
"3.00 (0.69 to   13.06)","1.79 (0.39 to    8.27)","1.43 (0.39 to    5.23)","1.48 (0.33 to    6.65)","1.11 (0.34 to    3.59)","Gefitinib + ER inhibitor",".","1.58 (0.50 to  5.03)",".",".",".",".",".",".",".",".",".",".","3.32 (0.96 to 11.46)","4.78 (1.21 to 18.88)",".",".",".",".",".",".",".",".",".","."
"3.74 (0.84 to   16.70)","2.24 (0.51 to    9.79)","1.78 (0.55 to    5.75)","1.85 (0.43 to    8.01)","1.39 (0.51 to    3.79)","1.25 (0.29 to    5.46)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","3.11 (1.20 to  8.04)",".",".",".",".",".",".",".",".",".","."
"4.74 (1.04 to   21.47)","2.83 (0.59 to   13.58)","2.25 (0.59 to    8.65)","2.34 (0.50 to   10.93)","1.75 (0.51 to    5.97)","1.58 (0.50 to    5.03)","1.26 (0.28 to    5.76)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".","2.10 (0.58 to  7.62)","3.03 (0.74 to 12.50)",".",".",".",".",".",".",".",".",".","."
"5.30 (1.20 to   23.30)","3.17 (0.64 to   15.56)","2.52 (0.61 to   10.37)","2.62 (0.55 to   12.38)","1.96 (0.53 to    7.31)","1.76 (0.37 to    8.47)","1.41 (0.29 to    6.95)","1.12 (0.22 to    5.58)","Almonertinib",".",".",".",".",".",".",".",".",".","2.19 (0.72 to  6.69)",".",".",".",".",".",".",".",".",".",".","."
"6.54 (2.01 to   21.32)","3.91 (1.29 to   11.83)","3.11 (1.32 to    7.34)","3.23 (1.07 to    9.75)","2.42 (1.28 to    4.57)","2.18 (0.66 to    7.23)","1.75 (0.58 to    5.23)","1.38 (0.40 to    4.81)","1.24 (0.34 to    4.54)","Chemotherapy",".",".",".",".",".","2.16 (0.76 to  6.09)","1.65 (0.18 to 15.21)",".","2.52 (0.72 to  8.79)","1.34 (0.66 to  2.72)",".",".",".","1.96 (0.65 to  5.88)",".",".",".",".",".","."
"6.64 (0.54 to   80.95)","3.97 (0.33 to   47.83)","3.16 (0.31 to   32.20)","3.28 (0.27 to   39.28)","2.45 (0.26 to   23.14)","2.21 (0.18 to   26.66)","1.77 (0.16 to   19.81)","1.40 (0.11 to   17.31)","1.25 (0.10 to   16.21)","1.01 (0.10 to    9.97)","DHFR inhibitor",".",".",".",".",".",".",".",".","1.75 (0.19 to 16.13)",".",".",".",".",".",".",".",".",".","."
"8.18 (1.63 to   41.07)","4.89 (1.39 to   17.19)","3.89 (0.93 to   16.36)","4.04 (1.07 to   15.24)","3.03 (0.81 to   11.34)","2.73 (0.53 to   14.10)","2.19 (0.44 to   10.76)","1.73 (0.32 to    9.27)","1.55 (0.28 to    8.48)","1.25 (0.35 to    4.41)","1.23 (0.10 to   15.98)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","1.53 (0.57 to  4.10)",".",".",".",".",".","."
"8.59 (2.31 to   31.97)","5.14 (1.41 to   18.69)","4.09 (1.62 to   10.34)","4.24 (1.18 to   15.26)","3.18 (1.56 to    6.46)","2.86 (0.79 to   10.42)","2.29 (0.73 to    7.17)","1.81 (0.48 to    6.91)","1.62 (0.39 to    6.73)","1.31 (0.57 to    3.02)","1.29 (0.13 to   12.99)","1.05 (0.25 to    4.37)","Erlotinib + MET inhibitor",".",".",".",".",".",".","1.35 (0.72 to  2.54)",".",".",".",".",".",".",".",".",".","."
