"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","4.20 (0.87 to  20.25)",".",".",".",".",".",".",".",".",".",".",".","."
"0.61 (0.02 to   18.04)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".","."
"1.36 (0.22 to    8.64)","2.23 (0.11 to   46.60)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","4.33 (1.99 to   9.45)",".",".",".",".",".","."
"1.81 (0.28 to   11.76)","2.95 (0.12 to   69.82)","1.33 (0.33 to    5.40)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".","2.32 (0.84 to   6.43)",".",".",".",".",".",".",".",".",".",".",".","."
"2.66 (0.30 to   23.74)","4.35 (0.17 to  113.26)","1.95 (0.39 to    9.77)","1.47 (0.24 to    9.18)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".",".",".",".",".","2.22 (0.54 to   9.09)",".",".",".",".",".","."
"1.95 (0.05 to   72.99)","3.18 (0.04 to  247.83)","1.43 (0.05 to   39.01)","1.08 (0.04 to   32.92)","0.73 (0.02 to   24.46)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".","."
"3.39 (0.59 to   19.39)","5.54 (0.25 to  121.58)","2.49 (0.73 to    8.47)","1.88 (0.53 to    6.65)","1.28 (0.23 to    6.96)","1.74 (0.06 to   49.66)","3rd-generation EGFR TKIs + Amivantamab",".","1.24 (0.58 to   2.62)",".",".",".",".",".",".",".",".",".",".",".","."
"3.76 (0.59 to   24.01)","6.13 (0.29 to  129.39)","2.76 (0.90 to    8.47)","2.08 (0.50 to    8.55)","1.41 (0.28 to    7.17)","1.93 (0.07 to   53.01)","1.11 (0.32 to    3.81)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".","1.03 (0.17 to   6.09)",".","1.75 (0.73 to   4.20)",".",".",".",".",".","."
"4.20 (0.87 to   20.25)","6.86 (0.34 to  137.18)","3.08 (1.17 to    8.11)","2.32 (0.84 to    6.43)","1.58 (0.34 to    7.23)","2.16 (0.08 to   56.45)","1.24 (0.58 to    2.62)","1.12 (0.42 to    2.99)","3rd-generation EGFR TKIs",".",".",".","1.68 (0.41 to   7.00)",".","1.59 (0.72 to   3.49)",".","1.22 (0.52 to   2.85)",".",".",".","."
"4.05 (0.38 to   43.11)","6.61 (0.22 to  194.48)","2.97 (0.47 to   18.78)","2.24 (0.29 to   17.20)","1.52 (0.17 to   13.54)","2.08 (0.06 to   77.77)","1.19 (0.17 to    8.14)","1.08 (0.17 to    6.90)","0.96 (0.16 to    5.64)","Rociletinib",".",".",".",".","1.46 (0.27 to   7.77)",".",".",".",".",".","."
"4.30 (0.63 to   29.38)","7.03 (0.32 to  154.00)","3.16 (0.93 to   10.72)","2.38 (0.53 to   10.67)","1.62 (0.30 to    8.81)","2.21 (0.08 to   62.91)","1.27 (0.33 to    4.81)","1.15 (0.33 to    3.96)","1.02 (0.34 to    3.08)","1.06 (0.16 to    7.25)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".","1.37 (0.54 to   3.52)",".",".",".",".",".","."
"4.81 (0.84 to   27.44)","7.86 (0.40 to  154.48)","3.53 (1.42 to    8.80)","2.66 (0.75 to    9.40)","1.81 (0.41 to    8.01)","2.47 (0.10 to   63.66)","1.42 (0.49 to    4.09)","1.28 (0.50 to    3.28)","1.15 (0.54 to    2.42)","1.19 (0.21 to    6.77)","1.12 (0.39 to    3.21)","1st-generation EGFR TKIs + antiangiogenesis",".",".","1.23 (0.76 to   1.98)",".",".",".",".",".","."
"5.16 (0.92 to   28.83)","8.42 (0.43 to  165.87)","3.78 (1.51 to    9.50)","2.85 (0.83 to    9.80)","1.94 (0.44 to    8.62)","2.65 (0.10 to   68.34)","1.52 (0.54 to    4.24)","1.37 (0.56 to    3.37)","1.23 (0.61 to    2.47)","1.27 (0.22 to    7.28)","1.20 (0.41 to    3.46)","1.07 (0.54 to    2.12)","Chemotherapy",".","1.09 (0.62 to   1.92)",".",".",".","2.70 (0.57 to  12.69)",".","."
"6.70 (0.39 to  116.07)","10.94 (0.26 to  462.51)","4.91 (0.43 to   56.72)","3.71 (0.28 to   49.29)","2.52 (0.17 to   37.96)","3.44 (0.07 to  180.95)","1.97 (0.16 to   23.93)","1.78 (0.15 to   20.75)","1.59 (0.15 to   17.22)","1.66 (0.09 to   28.87)","1.56 (0.13 to   19.01)","1.39 (0.13 to   14.85)","1.30 (0.12 to   13.79)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".","1.02 (0.10 to  10.05)",".","."
"5.91 (1.11 to   31.51)","9.65 (0.51 to  182.48)","4.33 (1.99 to    9.45)","3.27 (1.02 to   10.51)","2.22 (0.54 to    9.09)","3.03 (0.12 to   75.44)","1.74 (0.68 to    4.48)","1.57 (0.70 to    3.53)","1.41 (0.79 to    2.50)","1.46 (0.27 to    7.77)","1.37 (0.54 to    3.52)","1.23 (0.76 to    1.98)","1.15 (0.70 to    1.87)","0.88 (0.09 to    8.96)","1st-generation EGFR TKIs","1.25 (0.30 to   5.18)","1.25 (0.66 to   2.37)","1.15 (0.63 to   2.11)","1.11 (0.71 to   1.75)","3.11 (0.12 to  78.18)","."
"7.36 (0.82 to   66.35)","12.02 (0.46 to  315.44)","5.40 (1.06 to   27.41)","4.07 (0.65 to   25.71)","2.77 (0.37 to   20.53)","3.78 (0.11 to  127.14)","2.17 (0.39 to   11.99)","1.96 (0.38 to   10.09)","1.75 (0.38 to    8.14)","1.82 (0.20 to   16.37)","1.71 (0.31 to    9.44)","1.53 (0.34 to    6.88)","1.43 (0.32 to    6.45)","1.10 (0.07 to   16.71)","1.25 (0.30 to    5.18)","DHFR inhibitor",".",".",".",".","."
"6.61 (1.22 to   35.68)","10.79 (0.55 to  212.09)","4.85 (1.94 to   12.09)","3.65 (1.12 to   11.96)","2.48 (0.56 to   11.00)","3.39 (0.13 to   87.40)","1.95 (0.74 to    5.12)","1.76 (0.69 to    4.49)","1.57 (0.85 to    2.89)","1.63 (0.29 to    9.30)","1.53 (0.53 to    4.41)","1.37 (0.70 to    2.70)","1.28 (0.66 to    2.49)","0.99 (0.09 to   10.31)","1.12 (0.69 to    1.80)","0.90 (0.20 to    4.04)","Placebo",".","0.98 (0.42 to   2.32)",".","."
"6.82 (1.15 to   40.44)","11.14 (0.55 to  224.05)","5.00 (1.87 to   13.41)","3.77 (1.01 to   14.05)","2.56 (0.55 to   11.88)","3.50 (0.13 to   92.15)","2.01 (0.65 to    6.17)","1.82 (0.66 to    4.98)","1.62 (0.71 to    3.74)","1.69 (0.28 to    9.98)","1.58 (0.52 to    4.85)","1.42 (0.66 to    3.06)","1.32 (0.61 to    2.88)","1.02 (0.09 to   11.18)","1.15 (0.63 to    2.11)","0.93 (0.20 to    4.36)","1.03 (0.48 to    2.23)","1st-generation EGFR TKIs + MET inhibitor",".",".","."
"6.86 (1.24 to   37.90)","11.21 (0.58 to  217.84)","5.03 (2.10 to   12.10)","3.80 (1.12 to   12.82)","2.58 (0.60 to   11.17)","3.52 (0.14 to   89.85)","2.02 (0.74 to    5.53)","1.83 (0.74 to    4.49)","1.63 (0.84 to    3.19)","1.70 (0.30 to    9.47)","1.59 (0.57 to    4.44)","1.43 (0.76 to    2.66)","1.33 (0.73 to    2.44)","1.02 (0.10 to   10.05)","1.16 (0.78 to    1.74)","0.93 (0.21 to    4.10)","1.04 (0.60 to    1.79)","1.01 (0.49 to    2.08)","2nd-generation EGFR TKIs",".","3.48 (0.14 to  88.40)"
"18.40 (0.49 to  695.11)","30.05 (0.38 to 2357.00)","13.50 (0.49 to  371.77)","10.18 (0.33 to  313.63)","6.91 (0.21 to  233.02)","9.45 (0.10 to  895.22)","5.42 (0.19 to  155.84)","4.90 (0.18 to  135.87)","4.38 (0.17 to  115.63)","4.55 (0.12 to  171.66)","4.27 (0.15 to  122.79)","3.82 (0.15 to   99.41)","3.57 (0.14 to   92.97)","2.75 (0.05 to  145.54)","3.11 (0.12 to   78.18)","2.50 (0.07 to   84.77)","2.79 (0.11 to   72.43)","2.70 (0.10 to   71.62)","2.68 (0.10 to   69.00)","1st-generation EGFR TKIs + COX2 inhibitor","."
