"2nd-generation EGFR TKIs + HMGCR inhibitor",".","0.29 (0.01 to   7.32)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.77 (0.01 to   75.57)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.29 (0.01 to    7.32)","0.37 (0.01 to    9.60)","2nd-generation EGFR TKIs",".","1.02 (0.43 to   2.40)",".","0.90 (0.57 to   1.42)","0.98 (0.10 to   9.58)","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".",".","."
"0.29 (0.01 to    7.88)","0.37 (0.01 to    9.84)","0.99 (0.48 to    2.05)","1st-generation EGFR TKIs + MET inhibitor",".",".","0.87 (0.47 to   1.58)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.28 (0.01 to    7.37)","0.36 (0.01 to    9.34)","0.96 (0.56 to    1.66)","0.97 (0.45 to    2.09)","Placebo",".","0.80 (0.42 to   1.51)",".",".",".",".",".","0.82 (0.35 to   1.92)",".",".",".",".",".",".",".","."
"0.31 (0.01 to   10.84)","0.40 (0.01 to   13.57)","1.07 (0.24 to    4.72)","1.08 (0.23 to    5.08)","1.11 (0.25 to    5.01)","DHFR inhibitor","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.25 (0.01 to    6.46)","0.32 (0.01 to    8.06)","0.86 (0.58 to    1.29)","0.87 (0.47 to    1.58)","0.89 (0.55 to    1.44)","0.80 (0.19 to    3.34)","1st-generation EGFR TKIs",".","0.91 (0.52 to   1.60)","0.81 (0.51 to   1.31)","0.73 (0.28 to   1.87)","0.68 (0.13 to   3.65)","0.63 (0.29 to   1.38)","0.57 (0.24 to   1.36)",".","0.33 (0.01 to   8.20)","0.45 (0.11 to   1.84)",".","0.23 (0.11 to   0.50)","0.10 (0.01 to   1.96)","."
"0.28 (0.01 to   14.74)","0.36 (0.01 to   19.30)","0.98 (0.10 to    9.58)","0.98 (0.09 to   10.78)","1.01 (0.10 to   10.60)","0.91 (0.06 to   13.84)","1.13 (0.11 to   11.52)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.01 to    5.81)","0.28 (0.01 to    7.30)","0.75 (0.41 to    1.38)","0.76 (0.35 to    1.65)","0.78 (0.40 to    1.51)","0.70 (0.16 to    3.16)","0.87 (0.53 to    1.43)","0.77 (0.07 to    8.17)","Chemotherapy",".",".",".","0.59 (0.14 to   2.47)","0.97 (0.16 to   5.79)",".",".",".",".",".",".","."
"0.20 (0.01 to    5.45)","0.26 (0.01 to    6.80)","0.70 (0.38 to    1.31)","0.71 (0.33 to    1.52)","0.73 (0.37 to    1.43)","0.65 (0.15 to    2.94)","0.81 (0.51 to    1.31)","0.72 (0.07 to    7.66)","0.93 (0.47 to    1.85)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","."
