"3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".",".","2.69 (0.53 to  13.61)",".",".",".",".",".",".",".",".",".",".","."
"1.06 (0.10 to   10.86)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".","2.54 (0.48 to  13.54)",".",".",".",".",".",".",".",".",".",".","."
"1.31 (0.15 to   11.80)","1.24 (0.13 to   11.59)","Antiangiogenesis","6.34 (0.88 to  45.72)",".",".",".",".",".",".",".",".",".",".",".",".","2.32 (0.60 to   8.94)",".",".",".","."
"1.54 (0.22 to   10.68)","1.46 (0.20 to   10.54)","1.18 (0.35 to    3.95)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","3.89 (2.27 to   6.66)",".",".",".","."
"1.41 (0.17 to   11.69)","1.33 (0.15 to   11.50)","1.07 (0.14 to    8.01)","0.91 (0.16 to    5.09)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".","1.91 (0.49 to   7.46)",".",".",".",".",".",".",".",".",".",".","."
"1.05 (0.02 to   50.89)","0.99 (0.02 to   49.17)","0.80 (0.02 to   29.30)","0.68 (0.02 to   21.36)","0.75 (0.02 to   32.70)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".","5.06 (0.17 to 152.67)",".",".",".","."
"1.90 (0.16 to   22.09)","1.79 (0.15 to   21.61)","1.45 (0.20 to   10.50)","1.23 (0.23 to    6.64)","1.35 (0.14 to   13.34)","1.81 (0.04 to   78.10)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".","2.80 (0.56 to  13.87)",".",".",".","."
"1.67 (0.03 to  100.21)","1.58 (0.03 to   96.71)","1.27 (0.03 to   58.61)","1.08 (0.03 to   43.13)","1.19 (0.02 to   64.74)","1.59 (0.01 to  234.22)","0.88 (0.02 to   47.28)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".","3.18 (0.08 to 122.34)",".",".",".","."
"1.98 (0.12 to   33.12)","1.88 (0.11 to   32.26)","1.51 (0.13 to   17.39)","1.28 (0.14 to   11.71)","1.41 (0.10 to   20.45)","1.89 (0.03 to  106.05)","1.05 (0.07 to   15.21)","1.19 (0.02 to   82.04)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".","1.98 (0.26 to  14.93)",".",".",".",".",".",".","."
"2.69 (0.53 to   13.61)","2.54 (0.48 to   13.54)","2.05 (0.47 to    9.00)","1.74 (0.61 to    4.99)","1.91 (0.49 to    7.46)","2.56 (0.08 to   87.16)","1.42 (0.22 to    8.94)","1.61 (0.04 to   69.31)","1.35 (0.14 to   13.53)","3rd-generation EGFR TKIs",".","0.67 (0.11 to   4.05)",".",".",".","0.98 (0.22 to   4.29)","3.89 (1.06 to  14.27)",".",".",".","."
"3.03 (0.13 to   70.75)","2.86 (0.12 to   68.70)","2.30 (0.14 to   37.91)","1.96 (0.15 to   26.36)","2.15 (0.10 to   44.37)","2.88 (0.04 to  202.78)","1.59 (0.08 to   32.25)","1.81 (0.02 to  155.22)","1.52 (0.05 to   42.55)","1.13 (0.08 to   16.80)","DHFR inhibitor",".",".",".",".",".","1.75 (0.14 to  22.36)",".",".",".","."
"3.06 (0.45 to   20.81)","2.89 (0.41 to   20.55)","2.33 (0.60 to    9.01)","1.98 (0.83 to    4.70)","2.17 (0.40 to   11.95)","2.91 (0.09 to   94.13)","1.61 (0.28 to    9.19)","1.83 (0.04 to   75.09)","1.54 (0.17 to   14.08)","1.14 (0.41 to    3.17)","1.01 (0.07 to   14.10)","Chemotherapy",".","1.80 (0.33 to   9.82)","1.65 (0.13 to  21.06)",".","1.46 (0.65 to   3.28)",".",".",".","."
"3.87 (0.49 to   30.75)","3.66 (0.44 to   30.26)","2.95 (0.67 to   12.99)","2.51 (0.87 to    7.21)","2.75 (0.42 to   17.96)","3.69 (0.11 to  125.65)","2.04 (0.32 to   12.90)","2.32 (0.05 to   99.91)","1.95 (0.19 to   20.10)","1.44 (0.40 to    5.23)","1.28 (0.09 to   19.13)","1.27 (0.40 to    3.97)","1st-generation EGFR TKIs + MET inhibitor",".",".",".","1.37 (0.55 to   3.42)",".",".",".","."
"3.92 (0.55 to   27.82)","3.71 (0.50 to   27.44)","2.99 (0.76 to   11.78)","2.54 (1.04 to    6.20)","2.79 (0.48 to   16.05)","3.74 (0.11 to  121.66)","2.07 (0.36 to   11.96)","2.35 (0.06 to   97.01)","1.98 (0.26 to   14.93)","1.46 (0.49 to    4.38)","1.30 (0.09 to   18.26)","1.28 (0.52 to    3.16)","1.01 (0.32 to    3.24)","2nd-generation EGFR TKIs",".","1.81 (0.47 to   7.04)","1.21 (0.50 to   2.96)",".",".",".","."
"4.38 (0.57 to   33.80)","4.14 (0.51 to   33.28)","3.33 (0.78 to   14.24)","2.83 (1.03 to    7.79)","3.11 (0.49 to   19.69)","4.17 (0.12 to  140.21)","2.31 (0.37 to   14.22)","2.62 (0.06 to  111.58)","2.21 (0.22 to   22.20)","1.63 (0.47 to    5.65)","1.45 (0.10 to   21.26)","1.43 (0.50 to    4.13)","1.13 (0.32 to    3.97)","1.12 (0.37 to    3.40)","1st-generation EGFR TKIs + chemotherapy",".","1.27 (0.52 to   3.09)",".",".",".","."
"4.44 (0.66 to   29.72)","4.20 (0.60 to   29.35)","3.38 (0.85 to   13.46)","2.88 (1.16 to    7.12)","3.16 (0.59 to   17.02)","4.23 (0.13 to  138.23)","2.34 (0.40 to   13.64)","2.66 (0.06 to  110.21)","2.24 (0.25 to   20.27)","1.65 (0.61 to    4.45)","1.47 (0.10 to   20.77)","1.45 (0.56 to    3.78)","1.15 (0.35 to    3.71)","1.13 (0.47 to    2.72)","1.01 (0.33 to    3.14)","Placebo","1.21 (0.48 to   3.08)",".",".",".","."
"5.31 (0.83 to   34.07)","5.02 (0.75 to   33.69)","4.04 (1.26 to   12.99)","3.44 (2.02 to    5.83)","3.77 (0.73 to   19.41)","5.06 (0.17 to  152.67)","2.80 (0.56 to   13.87)","3.18 (0.08 to  122.34)","2.67 (0.31 to   22.86)","1.97 (0.79 to    4.90)","1.75 (0.14 to   22.36)","1.74 (0.88 to    3.45)","1.37 (0.55 to    3.42)","1.35 (0.66 to    2.78)","1.21 (0.51 to    2.87)","1.19 (0.57 to    2.50)","1st-generation EGFR TKIs","3.00 (0.08 to 105.90)","3.08 (0.09 to 109.44)","2.02 (0.24 to  17.19)","9.38 (0.34 to 256.55)"
"15.92 (0.29 to  886.56)","15.05 (0.26 to  855.95)","12.13 (0.29 to  515.80)","10.31 (0.28 to  378.32)","11.32 (0.22 to  571.72)","15.17 (0.11 to 2101.08)","8.39 (0.17 to  417.39)","9.55 (0.06 to 1567.07)","8.02 (0.13 to  514.01)","5.92 (0.15 to  234.37)","5.26 (0.07 to  419.86)","5.21 (0.14 to  196.29)","4.11 (0.10 to  162.92)","4.06 (0.11 to  153.92)","3.64 (0.09 to  142.32)","3.58 (0.09 to  136.45)","3.00 (0.08 to  105.90)","Rociletinib",".",".","."
"16.34 (0.29 to  915.53)","15.45 (0.27 to  883.90)","12.45 (0.29 to  532.88)","10.58 (0.29 to  390.95)","11.62 (0.23 to  590.50)","15.58 (0.11 to 2167.42)","8.61 (0.17 to  431.11)","9.80 (0.06 to 1616.28)","8.24 (0.13 to  530.70)","6.08 (0.15 to  242.16)","5.40 (0.07 to  433.38)","5.35 (0.14 to  202.83)","4.22 (0.11 to  168.33)","4.17 (0.11 to  159.05)","3.73 (0.09 to  147.05)","3.68 (0.10 to  141.00)","3.08 (0.09 to  109.44)","1.03 (0.01 to  159.35)","1st-generation EGFR TKIs + Autophagy inhibitor",".","."
