"1st-generation EGFR TKIs + MMP inhibitor",".",".",".","0.11 (0.00 to   2.91)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.00 to   11.08)","1st-generation EGFR TKIs + HER3 inhibitor",".",".","0.49 (0.06 to   4.21)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to   42.68)","1.52 (0.02 to   97.88)","1st-generation EGFR TKIs + Autophagy inhibitor",".","0.32 (0.01 to  11.54)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.00 to   41.37)","1.48 (0.02 to   94.80)","0.97 (0.01 to  151.18)","Rociletinib","0.33 (0.01 to  11.77)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    2.91)","0.49 (0.06 to    4.21)","0.32 (0.01 to   11.54)","0.33 (0.01 to   11.77)","1st-generation EGFR TKIs","0.83 (0.32 to   2.10)","0.79 (0.32 to   1.92)","0.82 (0.34 to   2.01)","0.73 (0.29 to   1.82)","0.68 (0.31 to   1.54)","0.57 (0.04 to   7.27)","0.26 (0.07 to   0.94)",".","0.31 (0.01 to  12.08)","0.36 (0.07 to   1.78)","0.20 (0.01 to   5.97)",".","0.26 (0.15 to   0.44)","0.43 (0.11 to   1.66)",".","."
"0.09 (0.00 to    2.64)","0.41 (0.04 to    3.98)","0.27 (0.01 to   10.41)","0.28 (0.01 to   10.62)","0.84 (0.40 to    1.75)","Placebo",".","0.55 (0.14 to   2.14)",".",".",".","1.02 (0.23 to   4.49)",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    2.68)","0.41 (0.04 to    4.10)","0.27 (0.01 to   10.54)","0.27 (0.01 to   10.76)","0.82 (0.35 to    1.95)","0.99 (0.32 to    3.05)","1st-generation EGFR TKIs + chemotherapy",".",".","0.61 (0.05 to   7.78)",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.33)","0.37 (0.04 to    3.50)","0.24 (0.01 to    9.16)","0.25 (0.01 to    9.35)","0.74 (0.36 to    1.52)","0.88 (0.37 to    2.12)","0.90 (0.29 to    2.73)","2nd-generation EGFR TKIs",".","0.55 (0.10 to   3.02)",".",".","0.51 (0.07 to   3.82)",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.41)","0.36 (0.04 to    3.70)","0.24 (0.01 to    9.44)","0.24 (0.01 to    9.63)","0.73 (0.29 to    1.82)","0.87 (0.27 to    2.82)","0.88 (0.25 to    3.11)","0.99 (0.31 to    3.16)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    1.80)","0.28 (0.03 to    2.70)","0.19 (0.00 to    7.09)","0.19 (0.01 to    7.23)","0.58 (0.29 to    1.14)","0.69 (0.26 to    1.79)","0.70 (0.24 to    2.01)","0.78 (0.32 to    1.92)","0.79 (0.25 to    2.47)","Chemotherapy",".","1.49 (0.25 to   8.95)",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    3.95)","0.28 (0.01 to    7.84)","0.19 (0.00 to   14.85)","0.19 (0.00 to   15.16)","0.57 (0.04 to    7.27)","0.68 (0.05 to    9.64)","0.69 (0.05 to   10.16)","0.77 (0.05 to   10.86)","0.78 (0.05 to   11.68)","0.99 (0.07 to   13.82)","DHFR inhibitor",".",".",".",".",".",".",".",".",".","."
"0.05 (0.00 to    1.67)","0.25 (0.02 to    2.56)","0.16 (0.00 to    6.55)","0.17 (0.00 to    6.68)","0.51 (0.20 to    1.26)","0.61 (0.22 to    1.63)","0.61 (0.18 to    2.13)","0.69 (0.23 to    2.06)","0.69 (0.19 to    2.52)","0.88 (0.32 to    2.45)","0.89 (0.06 to   13.26)","3rd-generation EGFR TKIs",".",".",".",".","0.52 (0.13 to   2.04)",".",".","0.39 (0.07 to   2.10)","0.37 (0.07 to   1.88)"
"0.04 (0.00 to    2.06)","0.18 (0.01 to    3.83)","0.12 (0.00 to    7.82)","0.12 (0.00 to    7.99)","0.37 (0.04 to    3.20)","0.45 (0.05 to    4.05)","0.45 (0.05 to    4.56)","0.51 (0.07 to    3.82)","0.51 (0.05 to    5.28)","0.65 (0.07 to    5.94)","0.66 (0.02 to   18.31)","0.74 (0.07 to    7.37)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".","."
"0.03 (0.00 to    4.62)","0.16 (0.00 to   10.69)","0.10 (0.00 to   16.83)","0.10 (0.00 to   17.20)","0.31 (0.01 to   12.08)","0.38 (0.01 to   15.54)","0.38 (0.01 to   16.20)","0.43 (0.01 to   17.53)","0.43 (0.01 to   18.54)","0.55 (0.01 to   22.36)","0.55 (0.01 to   47.17)","0.62 (0.01 to   26.67)","0.84 (0.01 to   57.95)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".","."
"0.04 (0.00 to    1.51)","0.18 (0.01 to    2.56)","0.12 (0.00 to    5.81)","0.12 (0.00 to    5.93)","0.36 (0.07 to    1.78)","0.43 (0.07 to    2.49)","0.43 (0.07 to    2.67)","0.48 (0.08 to    2.80)","0.49 (0.08 to    3.10)","0.62 (0.11 to    3.55)","0.63 (0.03 to   12.69)","0.71 (0.11 to    4.46)","0.96 (0.07 to   13.92)","1.14 (0.02 to   61.24)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".","."
"0.02 (0.00 to    2.43)","0.10 (0.00 to    5.47)","0.06 (0.00 to    8.93)","0.07 (0.00 to    9.13)","0.20 (0.01 to    5.97)","0.24 (0.01 to    7.72)","0.24 (0.01 to    8.06)","0.27 (0.01 to    8.70)","0.27 (0.01 to    9.23)","0.34 (0.01 to   11.09)","0.35 (0.00 to   24.38)","0.39 (0.01 to   13.28)","0.53 (0.01 to   29.65)","0.63 (0.00 to   92.69)","0.55 (0.01 to   23.86)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".","."
"0.03 (0.00 to    1.13)","0.13 (0.01 to    1.94)","0.09 (0.00 to    4.37)","0.09 (0.00 to    4.46)","0.27 (0.05 to    1.36)","0.32 (0.06 to    1.71)","0.32 (0.05 to    2.03)","0.36 (0.06 to    2.06)","0.36 (0.06 to    2.37)","0.46 (0.08 to    2.53)","0.46 (0.02 to    9.59)","0.52 (0.13 to    2.04)","0.71 (0.05 to   10.27)","0.84 (0.02 to   46.05)","0.74 (0.07 to    7.33)","1.34 (0.03 to   58.78)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".","."
"0.03 (0.00 to    0.88)","0.14 (0.02 to    1.31)","0.09 (0.00 to    3.49)","0.10 (0.00 to    3.56)","0.29 (0.17 to    0.49)","0.35 (0.14 to    0.86)","0.35 (0.13 to    0.97)","0.39 (0.16 to    0.96)","0.40 (0.14 to    1.15)","0.51 (0.21 to    1.20)","0.51 (0.04 to    6.87)","0.57 (0.20 to    1.65)","0.78 (0.09 to    7.09)","0.93 (0.02 to   36.99)","0.81 (0.15 to    4.40)","1.47 (0.05 to   46.29)","1.10 (0.20 to    6.14)","1st-generation EGFR TKIs + antiangiogenesis","0.16 (0.02 to   1.14)",".","."
"0.03 (0.00 to    0.88)","0.12 (0.01 to    1.40)","0.08 (0.00 to    3.44)","0.08 (0.00 to    3.51)","0.25 (0.08 to    0.80)","0.30 (0.07 to    1.18)","0.30 (0.07 to    1.28)","0.33 (0.08 to    1.32)","0.34 (0.08 to    1.49)","0.43 (0.11 to    1.66)","0.43 (0.03 to    7.14)","0.49 (0.11 to    2.15)","0.66 (0.06 to    7.61)","0.79 (0.02 to   36.32)","0.69 (0.10 to    5.02)","1.25 (0.03 to   45.88)","0.93 (0.12 to    6.98)","0.85 (0.25 to    2.86)","Antiangiogenesis",".","."
"0.02 (0.00 to    0.97)","0.10 (0.01 to    1.73)","0.06 (0.00 to    3.70)","0.07 (0.00 to    3.78)","0.20 (0.03 to    1.34)","0.24 (0.03 to    1.66)","0.24 (0.03 to    1.94)","0.27 (0.04 to    1.99)","0.27 (0.03 to    2.26)","0.35 (0.05 to    2.46)","0.35 (0.01 to    8.39)","0.39 (0.07 to    2.10)","0.53 (0.03 to    9.16)","0.63 (0.01 to   38.89)","0.56 (0.05 to    6.71)","1.01 (0.02 to   49.97)","0.75 (0.09 to    6.50)","0.68 (0.09 to    4.94)","0.81 (0.09 to    7.52)","3rd-generation EGFR TKIs + chemotherapy","."
"0.02 (0.00 to    0.89)","0.09 (0.01 to    1.59)","0.06 (0.00 to    3.43)","0.06 (0.00 to    3.50)","0.19 (0.03 to    1.21)","0.23 (0.03 to    1.51)","0.23 (0.03 to    1.76)","0.25 (0.04 to    1.81)","0.26 (0.03 to    2.05)","0.33 (0.05 to    2.23)","0.33 (0.01 to    7.73)","0.37 (0.07 to    1.88)","0.50 (0.03 to    8.41)","0.60 (0.01 to   36.04)","0.53 (0.05 to    6.13)","0.95 (0.02 to   46.24)","0.71 (0.09 to    5.91)","0.65 (0.09 to    4.48)","0.76 (0.08 to    6.85)","0.95 (0.09 to    9.72)","3rd-generation EGFR TKIs + Amivantamab"
