"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.41 (6.25 to 120.21)",".",".",".","."
"1.24 (0.04 to    39.39)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","22.13 (0.97 to 505.16)",".",".",".","."
"7.52 (1.01 to    56.24)","6.08 (0.20 to   184.30)","Antiangiogenesis",".","6.34 (1.03 to  38.99)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.64 (0.44 to   6.17)",".","7.43 (0.29 to 192.02)",".",".",".","."
"5.08 (0.12 to   217.47)","4.10 (0.04 to   433.12)","0.68 (0.02 to    22.02)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.18 to 139.57)",".",".",".",".",".","."
"9.65 (1.55 to    60.20)","7.79 (0.28 to   213.18)","1.28 (0.42 to     3.90)","1.90 (0.07 to    54.49)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.05 (1.81 to   5.12)",".",".",".",".",".","."
"9.00 (1.01 to    80.33)","7.27 (0.22 to   245.51)","1.20 (0.17 to     8.27)","1.77 (0.04 to    71.95)","0.93 (0.17 to     5.22)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".",".","2.16 (0.51 to   9.14)",".",".",".",".","3.22 (0.78 to  13.24)",".",".",".",".","."
"9.29 (0.91 to    95.29)","7.50 (0.20 to   276.76)","1.24 (0.19 to     7.91)","1.83 (0.05 to    70.34)","0.96 (0.19 to     4.79)","1.03 (0.11 to     9.71)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","2.77 (0.60 to  12.65)",".",".",".",".",".","."
"9.41 (0.70 to   126.13)","7.60 (0.17 to   334.98)","1.25 (0.12 to    12.77)","1.85 (0.04 to    93.06)","0.98 (0.11 to     8.31)","1.05 (0.08 to    13.40)","1.01 (0.08 to    13.34)","Afatinib + Cetuximab",".",".",".",".",".",".","1.98 (0.31 to  12.78)",".",".",".",".",".",".",".",".",".",".",".","."
"8.08 (0.15 to   431.10)","6.52 (0.05 to   824.09)","1.07 (0.03 to    44.37)","1.59 (0.01 to   207.24)","0.84 (0.02 to    30.69)","0.90 (0.02 to    45.56)","0.87 (0.02 to    41.94)","0.86 (0.01 to    53.32)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".","3.18 (0.09 to 112.52)",".",".",".",".",".","."
"10.84 (0.95 to   124.01)","8.76 (0.22 to   346.86)","1.44 (0.17 to    12.56)","2.13 (0.05 to    97.98)","1.12 (0.16 to     8.07)","1.20 (0.15 to     9.39)","1.17 (0.10 to    13.37)","1.15 (0.07 to    17.75)","1.34 (0.02 to    76.57)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","2.52 (0.54 to  11.84)",".",".",".",".","."
"14.83 (1.52 to   144.38)","11.98 (0.34 to   427.27)","1.97 (0.27 to    14.30)","2.92 (0.07 to   121.19)","1.54 (0.26 to     9.02)","1.65 (0.26 to    10.58)","1.60 (0.16 to    15.57)","1.58 (0.12 to    21.05)","1.84 (0.04 to    95.24)","1.37 (0.18 to    10.15)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","1.85 (0.52 to   6.61)",".",".",".",".","."
"14.65 (0.73 to   293.32)","11.83 (0.20 to   693.91)","1.95 (0.14 to    27.50)","2.88 (0.05 to   175.52)","1.52 (0.13 to    18.07)","1.63 (0.09 to    30.49)","1.58 (0.09 to    27.57)","1.56 (0.06 to    38.02)","1.81 (0.02 to   135.25)","1.35 (0.06 to    29.51)","0.99 (0.05 to    19.03)","DHFR inhibitor",".",".",".",".",".",".",".",".","1.75 (0.16 to  19.80)",".",".",".",".",".","."
"16.87 (2.93 to    97.21)","13.62 (0.52 to   356.91)","2.24 (0.63 to     7.93)","3.32 (0.11 to    98.99)","1.75 (0.73 to     4.21)","1.87 (0.37 to     9.54)","1.82 (0.34 to     9.77)","1.79 (0.22 to    14.56)","2.09 (0.05 to    79.39)","1.56 (0.24 to    10.27)","1.14 (0.21 to     6.07)","1.15 (0.09 to    14.43)","Chemotherapy",".","1.74 (0.36 to   8.39)",".",".",".",".","1.65 (0.15 to  18.65)","1.31 (0.54 to   3.20)","1.49 (0.29 to   7.50)","1.93 (0.44 to   8.44)",".",".",".","."
"18.17 (2.60 to   127.19)","14.67 (0.50 to   428.40)","2.42 (0.63 to     9.30)","3.58 (0.12 to   109.18)","1.88 (0.71 to     4.96)","2.02 (0.32 to    12.73)","1.96 (0.35 to    11.03)","1.93 (0.21 to    18.13)","2.25 (0.06 to    87.43)","1.68 (0.21 to    13.38)","1.23 (0.19 to     8.08)","1.24 (0.10 to    16.05)","1.08 (0.36 to     3.22)","Erlotinib + MET inhibitor",".",".",".",".",".",".","1.41 (0.62 to   3.23)",".",".",".",".",".","."
"18.60 (3.06 to   112.96)","15.02 (0.56 to   404.90)","2.47 (0.62 to     9.86)","3.66 (0.12 to   114.62)","1.93 (0.67 to     5.52)","2.07 (0.36 to    11.76)","2.00 (0.34 to    11.86)","1.98 (0.31 to    12.78)","2.30 (0.06 to    91.63)","1.72 (0.23 to    12.66)","1.25 (0.21 to     7.58)","1.27 (0.09 to    16.99)","1.10 (0.43 to     2.85)","1.02 (0.30 to     3.53)","Afatinib",".",".",".","3.19 (0.49 to  20.82)",".","1.23 (0.28 to   5.41)",".","1.48 (0.28 to   7.76)",".",".",".","."
"19.61 (3.26 to   117.79)","15.83 (0.59 to   424.26)","2.61 (0.48 to    14.26)","3.86 (0.11 to   141.15)","2.03 (0.46 to     8.94)","2.18 (0.32 to    14.65)","2.11 (0.27 to    16.63)","2.08 (0.20 to    22.12)","2.43 (0.05 to   111.75)","1.81 (0.20 to    16.10)","1.32 (0.18 to     9.82)","1.34 (0.08 to    21.94)","1.16 (0.29 to     4.63)","1.08 (0.21 to     5.46)","1.05 (0.25 to     4.48)","Gefitinib + chemotherapy",".",".",".",".",".",".","1.40 (0.51 to   3.85)",".",".",".","."
