"Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","5.27 (2.49 to  11.15)",".",".",".",".",".",".",".",".",".","."
"0.99 (0.32 to    3.09)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".","5.34 (2.17 to  13.11)",".",".",".",".",".",".",".",".",".","."
"1.43 (0.53 to    3.86)","1.45 (0.46 to    4.53)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".","2.93 (1.54 to   5.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.89 (0.36 to    9.85)","1.91 (0.33 to   10.95)","1.32 (0.25 to    6.91)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".",".",".","2.79 (0.63 to  12.46)",".",".",".",".",".",".",".",".",".","."
"2.69 (1.13 to    6.39)","2.72 (0.97 to    7.64)","1.88 (0.87 to    4.07)","1.42 (0.29 to    6.91)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".","1.56 (1.02 to   2.37)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.38 (0.49 to   11.47)","2.41 (0.45 to   12.80)","1.66 (0.34 to    8.05)","1.26 (0.16 to    9.82)","0.88 (0.20 to    3.95)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".",".",".",".","2.22 (0.54 to   9.09)",".",".",".",".",".",".",".",".",".","."
"1.74 (0.06 to   46.65)","1.76 (0.06 to   49.53)","1.22 (0.05 to   32.71)","0.92 (0.03 to   31.89)","0.65 (0.02 to   16.74)","0.73 (0.02 to   24.46)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".",".","."
"3.38 (1.16 to    9.81)","3.42 (1.03 to   11.41)","2.37 (0.88 to    6.37)","1.79 (0.33 to    9.77)","1.26 (0.53 to    2.97)","1.42 (0.28 to    7.20)","1.94 (0.07 to   53.35)","3rd-generation EGFR TKIs + Amivantamab",".","1.24 (0.58 to   2.62)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.17 (0.65 to   15.45)","3.21 (0.60 to   17.22)","2.22 (0.45 to   10.84)","1.68 (0.21 to   13.20)","1.18 (0.26 to    5.32)","1.33 (0.18 to    9.86)","1.82 (0.05 to   61.16)","0.94 (0.18 to    4.79)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".",".",".","1.67 (0.40 to   6.90)",".",".",".",".",".",".",".",".",".","."
"4.18 (1.96 to    8.92)","4.23 (1.65 to   10.87)","2.93 (1.54 to    5.59)","2.21 (0.48 to   10.15)","1.56 (1.02 to    2.37)","1.76 (0.42 to    7.42)","2.41 (0.10 to   60.59)","1.24 (0.58 to    2.62)","1.32 (0.31 to    5.63)","3rd-generation EGFR TKIs",".","1.68 (0.41 to   7.00)",".",".","1.13 (0.83 to   1.55)",".",".",".",".",".",".","4.03 (0.18 to  91.91)","2.65 (1.53 to   4.58)",".","11.64 (0.63 to 214.54)"
"4.16 (1.64 to   10.57)","4.21 (1.42 to   12.51)","2.92 (1.15 to    7.42)","2.20 (0.44 to   11.10)","1.55 (0.70 to    3.43)","1.75 (0.38 to    8.15)","2.39 (0.09 to   63.09)","1.23 (0.45 to    3.38)","1.31 (0.28 to    6.18)","0.99 (0.51 to    1.96)","1st-generation EGFR TKIs + chemotherapy","1.03 (0.17 to   6.09)",".",".","1.32 (0.69 to   2.51)",".",".",".",".",".",".",".",".",".","."
"4.65 (2.09 to   10.38)","4.71 (1.77 to   12.54)","3.26 (1.47 to    7.24)","2.46 (0.53 to   11.56)","1.73 (0.92 to    3.25)","1.96 (0.45 to    8.45)","2.68 (0.11 to   68.14)","1.38 (0.57 to    3.34)","1.47 (0.34 to    6.41)","1.11 (0.70 to    1.78)","1.12 (0.55 to    2.26)","Chemotherapy",".",".","1.14 (0.74 to   1.74)",".",".",".",".","2.70 (0.57 to  12.69)",".",".",".",".","."
"5.20 (1.13 to   23.97)","5.26 (1.03 to   26.82)","3.64 (0.79 to   16.74)","2.75 (0.36 to   20.76)","1.93 (0.46 to    8.20)","2.19 (0.31 to   15.49)","2.99 (0.09 to   97.90)","1.54 (0.32 to    7.42)","1.64 (0.23 to   11.72)","1.24 (0.31 to    4.95)","1.25 (0.28 to    5.54)","1.12 (0.27 to    4.56)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".","1.35 (0.37 to   4.98)",".",".",".",".","."
"5.19 (2.45 to   10.99)","5.26 (2.03 to   13.61)","3.64 (1.68 to    7.87)","2.75 (0.60 to   12.67)","1.93 (1.06 to    3.50)","2.19 (0.52 to    9.26)","2.99 (0.12 to   75.42)","1.54 (0.65 to    3.64)","1.64 (0.38 to    7.02)","1.24 (0.81 to    1.89)","1.25 (0.63 to    2.49)","1.12 (0.68 to    1.84)","1.00 (0.25 to    4.03)","1st-generation EGFR TKIs + antiangiogenesis","1.03 (0.75 to   1.41)",".",".",".",".",".",".",".",".",".","."
"5.28 (2.62 to   10.63)","5.34 (2.17 to   13.11)","3.69 (1.83 to    7.48)","2.79 (0.63 to   12.46)","1.96 (1.18 to    3.26)","2.22 (0.54 to    9.09)","3.03 (0.12 to   75.44)","1.56 (0.70 to    3.48)","1.67 (0.40 to    6.90)","1.26 (0.95 to    1.68)","1.27 (0.69 to    2.34)","1.13 (0.77 to    1.67)","1.01 (0.26 to    3.95)","1.02 (0.74 to    1.39)","1st-generation EGFR TKIs","1.05 (0.59 to   1.88)","1.11 (0.61 to   2.00)","1.25 (0.30 to   5.18)",".","1.22 (0.80 to   1.86)","3.11 (0.12 to  78.18)",".","1.25 (0.66 to   2.37)","9.00 (0.27 to 299.86)","."
"5.56 (2.24 to   13.80)","5.62 (1.93 to   16.39)","3.89 (1.56 to    9.70)","2.94 (0.59 to   14.63)","2.07 (0.96 to    4.46)","2.34 (0.51 to   10.74)","3.20 (0.12 to   83.71)","1.64 (0.61 to    4.43)","1.75 (0.38 to    8.14)","1.33 (0.70 to    2.53)","1.34 (0.57 to    3.11)","1.19 (0.59 to    2.40)","1.07 (0.24 to    4.68)","1.07 (0.55 to    2.07)","1.05 (0.59 to    1.88)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".","."
"5.84 (2.33 to   14.63)","5.91 (2.01 to   17.35)","4.09 (1.63 to   10.28)","3.09 (0.62 to   15.45)","2.17 (0.99 to    4.74)","2.46 (0.53 to   11.34)","3.36 (0.13 to   88.17)","1.73 (0.64 to    4.69)","1.84 (0.40 to    8.60)","1.40 (0.72 to    2.70)","1.40 (0.60 to    3.30)","1.25 (0.62 to    2.55)","1.12 (0.26 to    4.95)","1.12 (0.57 to    2.20)","1.11 (0.61 to    2.00)","1.05 (0.46 to    2.41)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".","."
"6.57 (1.34 to   32.18)","6.65 (1.23 to   35.87)","4.60 (0.94 to   22.58)","3.48 (0.44 to   27.47)","2.44 (0.54 to   11.09)","2.77 (0.37 to   20.53)","3.78 (0.11 to  127.14)","1.95 (0.38 to    9.99)","2.08 (0.28 to   15.53)","1.57 (0.37 to    6.72)","1.58 (0.33 to    7.46)","1.41 (0.32 to    6.19)","1.26 (0.18 to    9.06)","1.27 (0.29 to    5.44)","1.25 (0.30 to    5.18)","1.18 (0.25 to    5.51)","1.13 (0.24 to    5.27)","DHFR inhibitor",".",".",".",".",".",".","."
"6.83 (2.09 to   22.33)","6.91 (1.86 to   25.65)","4.78 (1.47 to   15.58)","3.61 (0.61 to   21.32)","2.54 (0.87 to    7.43)","2.87 (0.52 to   15.77)","3.93 (0.14 to  112.20)","2.02 (0.58 to    6.99)","2.16 (0.39 to   11.94)","1.63 (0.61 to    4.39)","1.64 (0.53 to    5.10)","1.47 (0.53 to    4.08)","1.31 (0.27 to    6.34)","1.31 (0.48 to    3.59)","1.29 (0.50 to    3.36)","1.23 (0.40 to    3.76)","1.17 (0.38 to    3.60)","1.04 (0.19 to    5.78)","2nd-generation EGFR TKIs + Cetuximab","1.03 (0.43 to   2.47)",".",".",".",".","."
"7.02 (3.17 to   15.53)","7.10 (2.68 to   18.79)","4.91 (2.23 to   10.81)","3.71 (0.79 to   17.36)","2.61 (1.41 to    4.84)","2.95 (0.69 to   12.69)","4.03 (0.16 to  102.54)","2.08 (0.86 to    4.99)","2.21 (0.51 to    9.63)","1.68 (1.07 to    2.64)","1.69 (0.82 to    3.46)","1.51 (0.89 to    2.54)","1.35 (0.37 to    4.98)","1.35 (0.83 to    2.20)","1.33 (0.92 to    1.93)","1.26 (0.63 to    2.52)","1.20 (0.60 to    2.42)","1.07 (0.24 to    4.66)","1.03 (0.43 to    2.47)","2nd-generation EGFR TKIs",".",".","1.02 (0.43 to   2.40)",".","."
"16.43 (0.61 to  444.68)","16.63 (0.59 to  471.99)","11.51 (0.42 to  311.74)","8.70 (0.25 to  303.73)","6.11 (0.23 to  159.53)","6.91 (0.21 to  233.02)","9.45 (0.10 to  895.22)","4.86 (0.18 to  134.65)","5.19 (0.15 to  175.61)","3.93 (0.15 to   99.82)","3.95 (0.15 to  105.01)","3.53 (0.14 to   90.73)","3.16 (0.10 to  104.41)","3.16 (0.12 to   80.61)","3.11 (0.12 to   78.18)","2.96 (0.11 to   78.15)","2.81 (0.11 to   74.58)","2.50 (0.07 to   84.77)","2.41 (0.08 to   69.38)","2.34 (0.09 to   60.07)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".","."
