"Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".",".",".",".",".","."
"0.97 (0.01 to   93.89)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.17 (0.01 to    3.32)","0.18 (0.01 to    6.12)","Placebo",".",".","0.98 (0.42 to   2.32)",".",".",".",".","0.80 (0.42 to   1.51)",".",".",".",".","0.38 (0.22 to   0.65)",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   24.86)","0.36 (0.00 to   39.31)","1.98 (0.08 to   46.34)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".",".",".",".",".","."
"0.34 (0.00 to   26.24)","0.35 (0.00 to   40.49)","1.93 (0.07 to   49.64)","0.97 (0.01 to   87.59)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to    2.75)","0.15 (0.00 to    5.02)","0.82 (0.50 to    1.35)","0.42 (0.02 to    9.79)","0.43 (0.02 to   10.95)","2nd-generation EGFR TKIs","0.97 (0.40 to   2.34)",".",".",".","0.82 (0.54 to   1.24)",".","0.74 (0.20 to   2.73)","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to    3.04)","0.14 (0.00 to    5.44)","0.80 (0.29 to    2.20)","0.40 (0.02 to   10.75)","0.42 (0.01 to   11.98)","0.97 (0.40 to    2.34)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.01 to    3.50)","0.14 (0.00 to    6.10)","0.77 (0.18 to    3.39)","0.39 (0.01 to   12.25)","0.40 (0.01 to   13.57)","0.94 (0.21 to    4.09)","0.96 (0.17 to    5.35)","DHFR inhibitor",".",".","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to    2.38)","0.12 (0.00 to    4.31)","0.69 (0.33 to    1.41)","0.35 (0.01 to    8.45)","0.36 (0.01 to    9.42)","0.83 (0.41 to    1.68)","0.86 (0.28 to    2.63)","0.89 (0.19 to    4.16)","1st-generation EGFR TKIs + MET inhibitor",".","0.90 (0.50 to   1.64)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.01 to    2.26)","0.12 (0.00 to    4.09)","0.65 (0.32 to    1.32)","0.33 (0.01 to    8.02)","0.34 (0.01 to    8.94)","0.79 (0.40 to    1.58)","0.81 (0.27 to    2.49)","0.85 (0.18 to    3.94)","0.95 (0.42 to    2.18)","1st-generation EGFR TKIs + IGF-1R inhibitor","0.95 (0.53 to   1.70)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.01 to    2.02)","0.11 (0.00 to    3.70)","0.62 (0.41 to    0.93)","0.31 (0.01 to    7.22)","0.32 (0.01 to    8.06)","0.75 (0.52 to    1.09)","0.77 (0.30 to    2.01)","0.80 (0.19 to    3.34)","0.90 (0.50 to    1.64)","0.95 (0.53 to    1.70)","1st-generation EGFR TKIs","0.97 (0.71 to   1.33)",".","0.88 (0.57 to   1.35)","0.76 (0.40 to   1.44)","0.88 (0.64 to   1.21)","0.60 (0.15 to   2.49)",".","0.33 (0.01 to   8.20)","0.45 (0.11 to   1.84)",".","0.36 (0.08 to   1.60)",".","0.19 (0.08 to   0.46)","0.19 (0.09 to   0.40)"
"0.11 (0.01 to    2.03)","0.11 (0.00 to    3.70)","0.61 (0.37 to    1.02)","0.31 (0.01 to    7.22)","0.32 (0.01 to    8.06)","0.74 (0.45 to    1.21)","0.76 (0.28 to    2.08)","0.79 (0.18 to    3.40)","0.89 (0.45 to    1.74)","0.93 (0.48 to    1.81)","0.98 (0.72 to    1.35)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","0.17 (0.03 to   1.07)"
"0.11 (0.00 to    2.68)","0.11 (0.00 to    4.70)","0.61 (0.15 to    2.46)","0.31 (0.01 to    9.40)","0.32 (0.01 to   10.45)","0.74 (0.20 to    2.73)","0.76 (0.16 to    3.67)","0.79 (0.11 to    5.66)","0.89 (0.20 to    3.92)","0.94 (0.21 to    4.10)","0.99 (0.25 to    3.83)","1.00 (0.25 to    4.03)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    1.83)","0.10 (0.00 to    3.34)","0.55 (0.31 to    0.95)","0.28 (0.01 to    6.51)","0.28 (0.01 to    7.28)","0.66 (0.39 to    1.12)","0.68 (0.25 to    1.90)","0.71 (0.16 to    3.10)","0.80 (0.39 to    1.62)","0.84 (0.42 to    1.68)","0.88 (0.60 to    1.30)","0.90 (0.54 to    1.48)","0.90 (0.22 to    3.65)","Chemotherapy","0.97 (0.16 to   5.79)","0.59 (0.14 to   2.47)",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    1.70)","0.09 (0.00 to    3.08)","0.49 (0.23 to    1.02)","0.25 (0.01 to    6.04)","0.25 (0.01 to    6.74)","0.59 (0.29 to    1.22)","0.61 (0.20 to    1.90)","0.63 (0.13 to    2.99)","0.71 (0.30 to    1.68)","0.75 (0.32 to    1.74)","0.79 (0.43 to    1.46)","0.80 (0.40 to    1.60)","0.80 (0.18 to    3.55)","0.89 (0.44 to    1.81)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    1.58)","0.09 (0.00 to    2.97)","0.49 (0.33 to    0.74)","0.25 (0.01 to    5.65)","0.25 (0.01 to    6.47)","0.60 (0.38 to    0.94)","0.61 (0.23 to    1.65)","0.64 (0.15 to    2.72)","0.72 (0.37 to    1.38)","0.75 (0.39 to    1.44)","0.79 (0.60 to    1.05)","0.81 (0.53 to    1.23)","0.80 (0.20 to    3.21)","0.90 (0.56 to    1.44)","1.01 (0.51 to    1.98)","3rd-generation EGFR TKIs",".","0.81 (0.38 to   1.71)",".",".","0.64 (0.42 to   0.98)",".","0.34 (0.18 to   0.65)",".","."
"0.07 (0.00 to    1.68)","0.07 (0.00 to    2.93)","0.37 (0.08 to    1.63)","0.19 (0.01 to    5.89)","0.19 (0.01 to    6.53)","0.45 (0.10 to    1.96)","0.46 (0.08 to    2.57)","0.48 (0.06 to    3.61)","0.54 (0.12 to    2.53)","0.57 (0.12 to    2.64)","0.60 (0.15 to    2.49)","0.61 (0.14 to    2.61)","0.61 (0.09 to    4.35)","0.68 (0.16 to    2.97)","0.76 (0.16 to    3.58)","0.76 (0.18 to    3.23)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".",".",".",".",".","."
"0.07 (0.00 to    1.41)","0.07 (0.00 to    2.60)","0.40 (0.17 to    0.93)","0.20 (0.01 to    4.99)","0.21 (0.01 to    5.70)","0.48 (0.20 to    1.16)","0.50 (0.14 to    1.71)","0.51 (0.10 to    2.64)","0.58 (0.21 to    1.57)","0.61 (0.23 to    1.64)","0.64 (0.29 to    1.43)","0.65 (0.27 to    1.54)","0.65 (0.13 to    3.14)","0.73 (0.30 to    1.76)","0.81 (0.30 to    2.23)","0.81 (0.38 to    1.71)","1.07 (0.21 to    5.46)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".","."
"0.04 (0.00 to    2.76)","0.04 (0.00 to    4.26)","0.20 (0.01 to    5.21)","0.10 (0.00 to    9.21)","0.11 (0.00 to   10.03)","0.25 (0.01 to    6.30)","0.25 (0.01 to    7.28)","0.26 (0.01 to    8.90)","0.30 (0.01 to    7.82)","0.31 (0.01 to    8.20)","0.33 (0.01 to    8.20)","0.33 (0.01 to    8.46)","0.33 (0.01 to   10.96)","0.37 (0.01 to    9.52)","0.42 (0.02 to   11.02)","0.42 (0.02 to   10.47)","0.55 (0.02 to   18.43)","0.51 (0.02 to   14.13)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".","."
"0.05 (0.00 to    1.26)","0.05 (0.00 to    2.19)","0.28 (0.06 to    1.21)","0.14 (0.00 to    4.40)","0.14 (0.00 to    4.88)","0.34 (0.08 to    1.46)","0.35 (0.06 to    1.91)","0.36 (0.05 to    2.68)","0.41 (0.09 to    1.88)","0.43 (0.09 to    1.96)","0.45 (0.11 to    1.84)","0.46 (0.11 to    1.94)","0.46 (0.06 to    3.24)","0.51 (0.12 to    2.20)","0.57 (0.12 to    2.66)","0.57 (0.13 to    2.39)","0.75 (0.10 to    5.55)","0.70 (0.14 to    3.56)","1.37 (0.04 to   45.67)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".","."
"0.06 (0.00 to    1.05)","0.06 (0.00 to    1.96)","0.32 (0.18 to    0.57)","0.16 (0.01 to    3.74)","0.16 (0.01 to    4.28)","0.38 (0.21 to    0.71)","0.39 (0.13 to    1.15)","0.41 (0.09 to    1.86)","0.46 (0.21 to    1.01)","0.48 (0.22 to    1.05)","0.51 (0.31 to    0.85)","0.52 (0.29 to    0.94)","0.52 (0.12 to    2.19)","0.58 (0.31 to    1.08)","0.65 (0.29 to    1.43)","0.64 (0.42 to    0.98)","0.85 (0.19 to    3.84)","0.80 (0.34 to    1.88)","1.55 (0.06 to   40.03)","1.13 (0.25 to    5.06)","3rd-generation EGFR TKIs + chemotherapy",".",".",".","."
"0.04 (0.00 to    1.04)","0.04 (0.00 to    1.80)","0.22 (0.05 to    1.04)","0.11 (0.00 to    3.63)","0.11 (0.00 to    4.02)","0.27 (0.06 to    1.26)","0.28 (0.05 to    1.63)","0.29 (0.04 to    2.27)","0.32 (0.06 to    1.62)","0.34 (0.07 to    1.69)","0.36 (0.08 to    1.60)","0.36 (0.08 to    1.68)","0.36 (0.05 to    2.74)","0.41 (0.09 to    1.90)","0.45 (0.09 to    2.29)","0.45 (0.10 to    2.07)","0.60 (0.08 to    4.69)","0.56 (0.10 to    3.05)","1.09 (0.03 to   37.62)","0.79 (0.10 to    6.21)","0.70 (0.14 to    3.41)","1st-generation EGFR TKIs + MMP inhibitor",".",".","."
