"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","9.87 (5.81 to 16.78)",".",".",".",".",".",".",".",".",".",".","."
"1.61 (0.45 to    5.74)","Antiangiogenesis","1.16 (0.49 to  2.78)",".",".",".",".",".",".",".","10.79 (1.94 to 60.02)",".",".",".","7.77 (4.74 to 12.73)",".",".",".",".",".",".","."
"2.08 (0.58 to    7.54)","1.29 (0.78 to    2.13)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","6.08 (4.47 to  8.27)",".",".",".",".",".",".","."
"2.46 (0.67 to    9.00)","1.52 (0.41 to    5.66)","1.18 (0.32 to    4.35)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","6.37 (3.27 to 12.39)",".",".",".","."
"4.85 (0.91 to   25.82)","3.00 (0.91 to    9.88)","2.33 (0.74 to    7.29)","1.97 (0.37 to   10.61)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".","2.63 (0.87 to  7.92)",".",".",".",".",".",".","."
"5.94 (1.72 to   20.50)","3.68 (1.26 to   10.78)","2.85 (0.99 to    8.17)","2.41 (0.85 to    6.87)","1.23 (0.27 to    5.47)","Chemotherapy",".",".",".",".",".",".",".",".","3.50 (0.83 to 14.85)",".","2.21 (1.03 to  4.76)","2.36 (0.96 to  5.83)",".",".",".","."
"4.27 (0.14 to  133.16)","2.64 (0.10 to   67.09)","2.05 (0.08 to   51.09)","1.73 (0.06 to   54.41)","0.88 (0.03 to   26.03)","0.72 (0.02 to   20.66)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","2.99 (0.12 to 73.53)",".",".",".",".",".",".","."
"7.80 (3.06 to   19.88)","4.83 (1.21 to   19.34)","3.75 (0.92 to   15.22)","3.17 (0.77 to   13.01)","1.61 (0.28 to    9.38)","1.31 (0.34 to    5.11)","1.83 (0.06 to   59.73)","Almonertinib",".",".","1.26 (0.59 to  2.73)",".",".",".",".",".",".",".",".",".",".","."
"9.35 (4.82 to   18.17)","5.80 (1.71 to   19.63)","4.49 (1.30 to   15.48)","3.80 (1.09 to   13.25)","1.93 (0.38 to    9.90)","1.57 (0.48 to    5.17)","2.19 (0.07 to   67.25)","1.20 (0.50 to    2.85)","Gefitinib + chemotherapy",".","1.06 (0.71 to  1.57)",".",".",".",".",".",".",".",".",".",".","."
"9.89 (2.66 to   36.79)","6.13 (2.89 to   13.00)","4.75 (2.39 to    9.41)","4.02 (1.08 to   14.97)","2.04 (0.58 to    7.21)","1.66 (0.56 to    4.97)","2.32 (0.09 to   60.49)","1.27 (0.30 to    5.28)","1.06 (0.30 to    3.75)","Placebo","3.09 (0.13 to 76.14)",".",".",".","1.32 (0.69 to  2.53)",".","0.66 (0.03 to 16.38)","0.98 (0.10 to  9.49)",".",".",".","."
"9.87 (5.81 to   16.78)","6.12 (1.93 to   19.37)","4.74 (1.47 to   15.29)","4.01 (1.23 to   13.10)","2.04 (0.42 to    9.94)","1.66 (0.54 to    5.09)","2.31 (0.08 to   69.32)","1.26 (0.59 to    2.73)","1.06 (0.71 to    1.57)","1.00 (0.30 to    3.32)","Gefitinib","1.37 (0.55 to  3.40)","1.13 (0.59 to  2.15)",".",".",".","3.04 (0.12 to 75.13)",".",".",".",".","."
"11.18 (4.20 to   29.77)","6.93 (2.13 to   22.54)","5.36 (1.64 to   17.50)","4.54 (1.75 to   11.81)","2.31 (0.47 to   11.33)","1.88 (0.70 to    5.07)","2.62 (0.09 to   78.73)","1.43 (0.46 to    4.42)","1.19 (0.48 to    2.98)","1.13 (0.34 to    3.76)","1.13 (0.50 to    2.58)","Lazertinib",".",".",".","1.25 (0.62 to  2.53)",".","1.58 (0.76 to  3.28)",".",".",".","."
