"Afatinib + Cetuximab",".",".",".",".","0.61 (0.31 to  1.20)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.93 (0.22 to    4.03)","Gefitinib/Erlotinib",".",".","0.74 (0.34 to  1.61)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.03 (0.18 to    5.77)","1.10 (0.20 to    6.23)","Erlotinib + Autophagy inhibitor",".",".",".",".","0.54 (0.18 to  1.63)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.56 (0.05 to   52.16)","1.67 (0.06 to   48.94)","1.52 (0.04 to   57.15)","Osimertinib + PD-L1 inhibitor","0.44 (0.02 to 11.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.69 (0.20 to    2.36)","0.74 (0.34 to    1.61)","0.67 (0.14 to    3.13)","0.44 (0.02 to   11.74)","Osimertinib",".","0.79 (0.42 to  1.51)",".","0.80 (0.40 to  1.58)",".","0.63 (0.30 to  1.31)",".","1.02 (0.11 to  9.83)",".",".",".","0.42 (0.17 to  1.04)",".","0.16 (0.08 to  0.31)",".",".","."
"0.61 (0.31 to    1.20)","0.65 (0.18 to    2.39)","0.59 (0.12 to    2.90)","0.39 (0.01 to   12.22)","0.89 (0.32 to    2.50)","Afatinib",".","0.34 (0.01 to  8.25)",".",".",".","0.33 (0.01 to  8.14)","1.51 (0.06 to 37.13)",".",".",".","0.45 (0.21 to  0.97)",".",".",".",".","."
"0.57 (0.15 to    2.24)","0.61 (0.22 to    1.68)","0.56 (0.11 to    2.84)","0.37 (0.01 to   10.42)","0.83 (0.44 to    1.58)","0.94 (0.29 to    3.06)","Lazertinib + Amivantamab",".",".",".","0.80 (0.40 to  1.61)",".",".",".",".",".",".",".",".",".",".","."
"0.56 (0.15 to    2.11)","0.60 (0.16 to    2.28)","0.54 (0.18 to    1.63)","0.36 (0.01 to   11.37)","0.81 (0.27 to    2.41)","0.92 (0.29 to    2.87)","0.97 (0.29 to    3.24)","Erlotinib",".",".",".",".","0.76 (0.40 to  1.45)",".",".","0.33 (0.01 to  8.23)","0.29 (0.07 to  1.21)","0.38 (0.13 to  1.15)",".","0.16 (0.12 to  0.22)","0.13 (0.08 to  0.21)","."
"0.55 (0.13 to    2.25)","0.59 (0.21 to    1.65)","0.53 (0.10 to    2.88)","0.35 (0.01 to   10.03)","0.80 (0.40 to    1.58)","0.90 (0.26 to    3.10)","0.95 (0.38 to    2.43)","0.98 (0.27 to    3.53)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.49 (0.10 to    2.32)","0.52 (0.13 to    2.14)","0.47 (0.09 to    2.62)","0.31 (0.01 to   10.22)","0.71 (0.22 to    2.29)","0.80 (0.20 to    3.25)","0.85 (0.26 to    2.85)","0.87 (0.24 to    3.24)","0.89 (0.23 to    3.46)","Dacomitinib",".","0.89 (0.47 to  1.68)",".",".",".",".",".",".",".",".",".","."
"0.49 (0.13 to    1.88)","0.53 (0.19 to    1.49)","0.48 (0.10 to    2.34)","0.31 (0.01 to    8.99)","0.71 (0.36 to    1.42)","0.80 (0.25 to    2.57)","0.85 (0.43 to    1.70)","0.88 (0.28 to    2.77)","0.90 (0.34 to    2.35)","1.00 (0.35 to    2.85)","Lazertinib","0.73 (0.29 to  1.82)",".",".",".",".",".",".",".",".",".","."
"0.43 (0.10 to    1.79)","0.46 (0.13 to    1.62)","0.42 (0.09 to    2.05)","0.28 (0.01 to    8.53)","0.63 (0.24 to    1.68)","0.71 (0.20 to    2.46)","0.75 (0.27 to    2.09)","0.77 (0.25 to    2.42)","0.79 (0.24 to    2.60)","0.89 (0.47 to    1.68)","0.88 (0.39 to    2.01)","Gefitinib","0.32 (0.01 to  7.99)","0.95 (0.64 to  1.41)","0.79 (0.37 to  1.71)",".",".",".",".",".","0.09 (0.02 to  0.52)","0.10 (0.06 to  0.17)"
"0.43 (0.11 to    1.73)","0.46 (0.12 to    1.84)","0.42 (0.12 to    1.49)","0.28 (0.01 to    8.96)","0.63 (0.20 to    1.96)","0.71 (0.21 to    2.38)","0.76 (0.22 to    2.63)","0.78 (0.42 to    1.44)","0.79 (0.21 to    2.97)","0.89 (0.23 to    3.47)","0.88 (0.27 to    2.94)","1.00 (0.30 to    3.33)","Placebo",".",".",".",".",".",".",".",".","."
"0.41 (0.09 to    1.79)","0.44 (0.12 to    1.64)","0.40 (0.08 to    2.04)","0.26 (0.01 to    8.27)","0.60 (0.21 to    1.72)","0.67 (0.18 to    2.49)","0.72 (0.24 to    2.14)","0.73 (0.22 to    2.46)","0.75 (0.21 to    2.63)","0.84 (0.39 to    1.79)","0.84 (0.34 to    2.09)","0.95 (0.64 to    1.41)","0.95 (0.27 to    3.36)","Gefitinib + chemotherapy",".",".",".",".",".",".",".","."
"0.34 (0.07 to    1.72)","0.37 (0.08 to    1.59)","0.33 (0.06 to    1.93)","0.22 (0.01 to    7.34)","0.50 (0.14 to    1.73)","0.56 (0.13 to    2.43)","0.60 (0.17 to    2.14)","0.61 (0.15 to    2.42)","0.62 (0.15 to    2.58)","0.70 (0.26 to    1.91)","0.70 (0.23 to    2.16)","0.79 (0.37 to    1.71)","0.79 (0.19 to    3.29)","0.83 (0.35 to    1.99)","Almonertinib",".",".",".",".",".",".","."
