"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","7.66 (3.25 to 18.02)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.40 (0.35 to    5.67)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".","5.47 (1.81 to 16.56)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.49 (0.68 to    9.17)","1.78 (0.41 to    7.82)","Antiangiogenesis","1.74 (0.44 to  6.89)",".",".",".",".",".",".",".",".",".",".",".",".",".","5.72 (2.53 to 12.98)",".",".",".","."
"3.03 (1.00 to    9.17)","2.17 (0.58 to    8.04)","1.21 (0.54 to    2.74)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","5.00 (3.49 to  7.14)",".",".",".","."
"4.63 (1.04 to   20.68)","3.31 (0.63 to   17.29)","1.86 (0.50 to    6.91)","1.53 (0.50 to    4.70)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","3.20 (1.10 to  9.30)",".",".",".","."
"4.91 (1.19 to   20.21)","3.51 (0.72 to   17.03)","1.97 (0.44 to    8.76)","1.62 (0.43 to    6.12)","1.06 (0.20 to    5.61)","3rd-generation EGFR TKIs + chemotherapy",".",".","1.56 (0.51 to  4.80)",".",".",".",".",".",".",".",".",".",".",".",".","."
"5.12 (0.88 to   29.99)","3.66 (0.55 to   24.52)","2.05 (0.41 to   10.33)","1.69 (0.39 to    7.32)","1.11 (0.19 to    6.54)","1.04 (0.15 to    7.06)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".","2.89 (0.70 to 11.99)",".",".",".","."
"7.40 (2.42 to   22.62)","5.29 (1.41 to   19.80)","2.96 (1.17 to    7.54)","2.44 (1.29 to    4.62)","1.60 (0.49 to    5.25)","1.51 (0.40 to    5.72)","1.44 (0.32 to    6.58)","Chemotherapy","1.96 (0.56 to  6.84)",".",".","1.65 (0.16 to 16.45)",".",".","2.22 (0.69 to  7.13)",".",".","1.59 (0.83 to  3.05)",".",".",".","."
"7.66 (3.25 to   18.02)","5.47 (1.81 to   16.56)","3.07 (1.15 to    8.18)","2.53 (1.25 to    5.11)","1.65 (0.48 to    5.64)","1.56 (0.51 to    4.80)","1.49 (0.32 to    7.01)","1.04 (0.50 to    2.12)","3rd-generation EGFR TKIs",".",".",".","1.85 (0.18 to 18.75)",".",".","0.99 (0.28 to  3.47)",".","3.06 (1.42 to  6.63)",".",".",".","."
"8.45 (0.68 to  105.74)","6.04 (0.44 to   83.19)","3.39 (0.30 to   38.22)","2.79 (0.27 to   28.55)","1.83 (0.14 to   22.99)","1.72 (0.12 to   23.87)","1.65 (0.11 to   24.60)","1.14 (0.11 to   12.08)","1.10 (0.10 to   11.89)","DHFR inhibitor",".",".",".",".",".",".",".","1.75 (0.18 to 17.46)",".",".",".","."
"11.44 (3.23 to   40.52)","8.18 (1.92 to   34.74)","4.58 (1.61 to   13.02)","3.78 (1.71 to    8.32)","2.47 (0.69 to    8.87)","2.33 (0.54 to   10.03)","2.23 (0.46 to   10.91)","1.55 (0.64 to    3.73)","1.49 (0.59 to    3.79)","1.35 (0.12 to   14.97)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".","1.30 (0.64 to  2.62)",".",".",".","."
