"1st-generation EGFR TKIs + MMP inhibitor",".",".",".","0.21 (0.04 to  1.26)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.08 to    8.05)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".","0.26 (0.06 to  1.14)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.03 to    5.56)","0.53 (0.05 to    5.59)","1st-generation EGFR TKIs + HER3 inhibitor",".","0.49 (0.08 to  3.11)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 (0.01 to   29.50)","0.79 (0.02 to   31.78)","1.48 (0.03 to   70.30)","Rociletinib","0.33 (0.01 to  9.90)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to    1.26)","0.26 (0.06 to    1.14)","0.49 (0.08 to    3.11)","0.33 (0.01 to    9.90)","1st-generation EGFR TKIs","1.32 (0.09 to 20.18)","0.87 (0.42 to  1.81)","0.97 (0.52 to  1.82)",".",".","0.79 (0.44 to  1.41)","0.77 (0.38 to  1.56)","0.57 (0.06 to  5.67)","0.33 (0.15 to  0.71)","0.63 (0.33 to  1.20)","0.35 (0.08 to  1.43)",".","0.31 (0.11 to  0.91)","0.20 (0.14 to  0.29)","0.17 (0.08 to  0.40)",".","."
"0.28 (0.01 to    7.31)","0.35 (0.02 to    7.68)","0.65 (0.02 to   17.51)","0.44 (0.01 to   34.16)","1.32 (0.09 to   20.18)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.03 to    1.25)","0.24 (0.05 to    1.15)","0.45 (0.07 to    3.08)","0.30 (0.01 to    9.44)","0.91 (0.51 to    1.61)","0.69 (0.04 to   11.16)","Placebo","0.57 (0.19 to  1.72)",".",".",".",".",".","1.01 (0.29 to  3.54)",".",".",".",".",".",".",".","."
"0.19 (0.03 to    1.19)","0.23 (0.05 to    1.09)","0.43 (0.06 to    2.93)","0.29 (0.01 to    9.04)","0.88 (0.52 to    1.47)","0.66 (0.04 to   10.67)","0.97 (0.49 to    1.91)","2nd-generation EGFR TKIs","1.05 (0.31 to  3.54)",".",".",".",".",".","0.45 (0.14 to  1.45)",".",".",".",".",".",".","."
"0.20 (0.02 to    1.80)","0.24 (0.03 to    1.74)","0.46 (0.05 to    4.39)","0.31 (0.01 to   11.73)","0.92 (0.25 to    3.45)","0.70 (0.03 to   14.48)","1.02 (0.25 to    4.09)","1.05 (0.31 to    3.54)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.01 to    4.02)","0.25 (0.02 to    4.16)","0.47 (0.02 to    9.67)","0.32 (0.01 to   20.23)","0.96 (0.09 to   10.47)","0.72 (0.02 to   27.27)","1.05 (0.09 to   11.97)","1.09 (0.10 to   12.47)","1.03 (0.07 to   15.73)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","0.54 (0.05 to  5.47)",".",".",".",".",".",".",".","."
