"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".","0.21 (0.04 to  1.13)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.10 to    6.86)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".","0.26 (0.07 to  1.00)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.04 to    4.82)","0.53 (0.06 to    4.78)","Erlotinib + HER3 inhibitor",".",".",".",".",".","0.49 (0.09 to  2.82)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 (0.02 to   26.85)","0.79 (0.02 to   28.83)","1.48 (0.03 to   64.04)","Rociletinib",".",".",".",".","0.33 (0.01 to  9.40)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.02 to    7.81)","0.53 (0.03 to    8.05)","0.98 (0.05 to   18.81)","0.66 (0.01 to   40.10)","Osimertinib + PD-L1 inhibitor","0.54 (0.06 to  5.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.04 to    1.47)","0.28 (0.06 to    1.36)","0.53 (0.08 to    3.64)","0.36 (0.01 to   11.15)","0.54 (0.06 to    5.06)","Osimertinib","1.00 (0.31 to  3.24)",".",".",".",".",".",".",".",".","0.71 (0.27 to  1.85)",".","0.65 (0.24 to  1.75)",".","0.51 (0.17 to  1.54)",".",".",".",".",".","0.16 (0.06 to  0.41)",".","0.13 (0.06 to  0.29)","."
"0.22 (0.04 to    1.30)","0.28 (0.06 to    1.18)","0.52 (0.08 to    3.22)","0.35 (0.01 to   10.29)","0.52 (0.05 to    5.65)","0.97 (0.43 to    2.17)","Placebo","0.87 (0.23 to  3.31)","1.41 (0.66 to  2.99)","0.64 (0.16 to  2.51)",".",".",".","0.31 (0.06 to  1.55)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.04 to    1.36)","0.27 (0.06 to    1.24)","0.51 (0.08 to    3.36)","0.34 (0.01 to   10.47)","0.52 (0.04 to    5.97)","0.96 (0.36 to    2.56)","0.99 (0.45 to    2.15)","Dacomitinib","0.88 (0.31 to  2.55)","0.99 (0.34 to  2.87)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to    1.13)","0.26 (0.07 to    1.00)","0.49 (0.09 to    2.82)","0.33 (0.01 to    9.40)","0.50 (0.05 to    5.44)","0.93 (0.41 to    2.10)","0.96 (0.54 to    1.70)","0.97 (0.47 to    2.00)","Erlotinib","0.69 (0.16 to  3.06)","1.32 (0.09 to 18.89)",".","0.80 (0.29 to  2.22)","0.82 (0.27 to  2.50)",".",".","0.74 (0.39 to  1.38)",".","0.57 (0.06 to  5.24)","0.74 (0.37 to  1.51)",".","0.33 (0.08 to  1.36)","0.32 (0.12 to  0.83)","0.21 (0.05 to  0.82)","0.23 (0.16 to  0.32)",".","0.21 (0.09 to  0.45)",".","."
"0.21 (0.04 to    1.26)","0.26 (0.06 to    1.14)","0.49 (0.08 to    3.13)","0.33 (0.01 to    9.91)","0.50 (0.05 to    5.44)","0.93 (0.41 to    2.12)","0.96 (0.48 to    1.89)","0.97 (0.46 to    2.05)","1.00 (0.54 to    1.85)","Gefitinib",".",".",".","0.89 (0.25 to  3.24)","0.80 (0.44 to  1.46)","0.76 (0.27 to  2.17)",".",".",".","0.40 (0.11 to  1.39)","0.46 (0.15 to  1.39)","0.48 (0.13 to  1.72)",".","0.30 (0.09 to  1.04)",".",".","0.09 (0.01 to  0.63)",".","0.09 (0.03 to  0.23)"
"0.28 (0.01 to    6.54)","0.35 (0.02 to    6.83)","0.65 (0.03 to   15.69)","0.44 (0.01 to   31.45)","0.66 (0.02 to   23.58)","1.23 (0.08 to   19.84)","1.27 (0.08 to   19.25)","1.28 (0.08 to   20.20)","1.32 (0.09 to   18.89)","1.32 (0.09 to   20.35)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.02 to    1.52)","0.23 (0.04 to    1.45)","0.44 (0.05 to    3.72)","0.29 (0.01 to   10.38)","0.44 (0.03 to    6.22)","0.82 (0.20 to    3.35)","0.84 (0.23 to    3.11)","0.85 (0.21 to    3.44)","0.88 (0.25 to    3.09)","0.88 (0.24 to    3.22)","0.67 (0.04 to   12.63)","Afatinib + Cetuximab",".","0.95 (0.33 to  2.73)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.03 to    1.25)","0.23 (0.04 to    1.17)","0.42 (0.06 to    3.08)","0.28 (0.01 to    9.19)","0.43 (0.03 to    5.54)","0.79 (0.23 to    2.74)","0.82 (0.27 to    2.48)","0.83 (0.25 to    2.74)","0.85 (0.33 to    2.23)","0.86 (0.28 to    2.64)","0.65 (0.04 to   10.96)","0.97 (0.20 to    4.65)","Erlotinib + chemotherapy",".",".",".",".",".",".","0.61 (0.07 to  5.62)",".",".",".",".",".",".",".",".","."
"0.18 (0.03 to    1.08)","0.22 (0.05 to    0.98)","0.41 (0.06 to    2.67)","0.28 (0.01 to    8.40)","0.42 (0.04 to    4.74)","0.78 (0.30 to    1.98)","0.80 (0.37 to    1.73)","0.81 (0.33 to    2.02)","0.84 (0.42 to    1.65)","0.84 (0.40 to    1.77)","0.63 (0.04 to    9.86)","0.95 (0.33 to    2.73)","0.98 (0.31 to    3.11)","Afatinib",".",".",".",".",".","0.46 (0.16 to  1.31)",".",".",".",".",".",".",".",".","."
"0.17 (0.03 to    1.12)","0.21 (0.04 to    1.03)","0.40 (0.06 to    2.75)","0.27 (0.01 to    8.37)","0.40 (0.03 to    4.69)","0.74 (0.27 to    2.06)","0.77 (0.31 to    1.90)","0.78 (0.30 to    2.02)","0.80 (0.34 to    1.89)","0.80 (0.44 to    1.46)","0.61 (0.04 to    9.92)","0.91 (0.22 to    3.78)","0.93 (0.26 to    3.35)","0.96 (0.37 to    2.49)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.02 to    1.10)","0.20 (0.04 to    1.02)","0.38 (0.05 to    2.71)","0.25 (0.01 to    8.12)","0.38 (0.04 to    4.12)","0.71 (0.32 to    1.58)","0.73 (0.28 to    1.88)","0.74 (0.26 to    2.12)","0.76 (0.30 to    1.93)","0.76 (0.33 to    1.76)","0.58 (0.03 to    9.67)","0.86 (0.20 to    3.78)","0.89 (0.24 to    3.33)","0.91 (0.33 to    2.55)","0.95 (0.34 to    2.67)","Lazertinib",".",".",".",".",".",".",".",".",".","0.23 (0.09 to  0.59)",".",".","."
