"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.44 (5.98 to 18.23)",".",".",".",".",".",".",".",".","."
"1.62 ( 0.61 to   4.29)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.94 (3.87 to 12.45)",".",".",".",".",".","."
"1.82 ( 0.81 to   4.08)","1.12 ( 0.56 to   2.24)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".",".","4.37 (2.84 to  6.72)",".",".",".",".",".",".",".",".",".","6.19 (4.24 to  9.04)",".",".",".",".",".","."
"2.48 ( 1.10 to   5.58)","1.53 ( 0.63 to   3.74)","1.37 ( 0.66 to   2.83)","Antiangiogenesis","1.74 (0.70 to  4.33)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.79 (1.92 to 60.68)",".","4.03 (2.69 to  6.05)",".",".",".",".",".",".","."
"2.61 ( 1.22 to   5.61)","1.61 ( 0.69 to   3.76)","1.44 ( 0.74 to   2.81)","1.05 ( 0.69 to   1.61)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.29 (3.42 to  5.38)",".",".",".",".",".",".","."
"2.78 ( 1.05 to   7.37)","1.72 ( 0.57 to   5.14)","1.53 ( 0.59 to   3.99)","1.12 ( 0.45 to   2.77)","1.06 ( 0.45 to   2.51)","Gefitinib + ER inhibitor",".","1.58 (0.71 to  3.49)",".",".",".",".",".",".",".",".",".",".",".",".","3.32 (1.34 to  8.23)",".","4.78 (1.62 to 14.13)",".",".",".",".",".",".","."
"3.79 ( 1.47 to   9.78)","2.34 ( 0.85 to   6.46)","2.09 ( 0.87 to   5.00)","1.53 ( 0.75 to   3.11)","1.45 ( 0.76 to   2.76)","1.36 ( 0.49 to   3.81)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.87 (1.57 to  5.25)",".",".",".",".",".",".","."
"4.39 ( 1.56 to  12.35)","2.71 ( 0.86 to   8.56)","2.41 ( 0.87 to   6.70)","1.77 ( 0.67 to   4.67)","1.68 ( 0.66 to   4.25)","1.58 ( 0.71 to   3.49)","1.16 ( 0.39 to   3.42)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","2.10 (0.79 to  5.56)",".","3.03 (0.97 to  9.46)",".",".",".",".",".",".","."
"4.77 ( 1.90 to  11.95)","2.94 ( 1.00 to   8.70)","2.62 ( 1.03 to   6.71)","1.92 ( 0.75 to   4.90)","1.82 ( 0.74 to   4.48)","1.71 ( 0.58 to   5.07)","1.26 ( 0.44 to   3.62)","1.09 ( 0.35 to   3.39)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".","2.19 (1.05 to  4.55)",".",".",".",".",".",".",".",".","."
"6.03 ( 2.83 to  12.86)","3.73 ( 1.69 to   8.21)","3.32 ( 1.80 to   6.11)","2.43 ( 1.38 to   4.27)","2.31 ( 1.43 to   3.74)","2.17 ( 0.89 to   5.27)","1.59 ( 0.76 to   3.33)","1.38 ( 0.53 to   3.57)","1.27 ( 0.52 to   3.09)","Chemotherapy",".",".",".",".",".","2.02 (1.03 to  4.00)","1.65 (0.21 to 12.88)",".",".",".","2.40 (0.74 to  7.76)",".","1.32 (0.74 to  2.36)","1.96 (0.96 to  3.97)",".",".",".",".",".","."
