"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.21 (0.05 to  0.90)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 ( 0.14 to   4.76)","Erlotinib + Autophagy inhibitor",".",".",".",".",".","0.26 (0.09 to  0.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 ( 0.07 to   1.89)","0.43 ( 0.11 to   1.68)","Gefitinib/Erlotinib",".",".",".","0.63 (0.32 to  1.23)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 ( 0.05 to   3.51)","0.53 ( 0.08 to   3.36)","1.23 ( 0.21 to   7.16)","Erlotinib + HER3 inhibitor",".",".",".","0.49 (0.11 to  2.27)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 ( 0.02 to  22.08)","0.79 ( 0.03 to  23.52)","1.83 ( 0.06 to  52.11)","1.48 ( 0.04 to  52.76)","Rociletinib",".",".","0.33 (0.01 to  8.43)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 ( 0.03 to   5.43)","0.50 ( 0.05 to   5.46)","1.17 ( 0.13 to  10.30)","0.94 ( 0.07 to  13.14)","0.64 ( 0.01 to  30.81)","Osimertinib + PD-L1 inhibitor","0.54 (0.07 to  4.29)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 ( 0.05 to   1.03)","0.27 ( 0.08 to   0.88)","0.63 ( 0.32 to   1.23)","0.51 ( 0.10 to   2.59)","0.34 ( 0.01 to   9.14)","0.54 ( 0.07 to   4.29)","Osimertinib",".",".",".",".","1.01 (0.37 to  2.78)",".",".",".",".","0.71 (0.44 to  1.13)","0.68 (0.38 to  1.22)",".",".","0.51 (0.25 to  1.04)",".",".",".",".",".",".","0.16 (0.11 to  0.24)","0.14 (0.08 to  0.26)","."
"0.21 ( 0.05 to   0.90)","0.26 ( 0.09 to   0.74)","0.61 ( 0.25 to   1.47)","0.49 ( 0.11 to   2.27)","0.33 ( 0.01 to   8.43)","0.52 ( 0.06 to   4.49)","0.97 ( 0.55 to   1.71)","Erlotinib","1.32 (0.11 to 16.47)","0.69 (0.20 to  2.35)","1.09 (0.46 to  2.54)","0.70 (0.43 to  1.16)",".","0.84 (0.39 to  1.80)","0.82 (0.39 to  1.70)",".",".",".","0.57 (0.07 to  4.44)","0.65 (0.43 to  0.97)","0.76 (0.42 to  1.35)",".","0.33 (0.11 to  1.03)","0.35 (0.19 to  0.64)","0.21 (0.07 to  0.62)","0.23 (0.19 to  0.29)","0.25 (0.17 to  0.37)",".",".","."
"0.28 ( 0.02 to   5.17)","0.35 ( 0.02 to   5.32)","0.81 ( 0.06 to  11.67)","0.65 ( 0.03 to  12.44)","0.44 ( 0.01 to  26.54)","0.69 ( 0.03 to  19.03)","1.28 ( 0.10 to  17.01)","1.32 ( 0.11 to  16.47)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 ( 0.05 to   0.93)","0.25 ( 0.08 to   0.79)","0.59 ( 0.25 to   1.39)","0.47 ( 0.10 to   2.33)","0.32 ( 0.01 to   8.37)","0.50 ( 0.06 to   4.28)","0.93 ( 0.54 to   1.60)","0.96 ( 0.60 to   1.54)","0.73 ( 0.06 to   9.47)","Gefitinib","1.01 (0.53 to  1.96)","1.48 (0.46 to  4.81)",".",".","0.89 (0.34 to  2.37)","0.84 (0.57 to  1.26)","0.76 (0.41 to  1.41)",".",".",".","0.42 (0.13 to  1.35)","0.46 (0.22 to  0.95)","0.48 (0.18 to  1.26)",".","0.30 (0.12 to  0.75)",".","0.09 (0.02 to  0.52)",".",".","0.10 (0.05 to  0.17)"
