"1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".",".","."
"1.77 (0.06 to   48.88)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".","3.46 (0.80 to  14.92)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.35 (0.11 to   49.03)","1.33 (0.24 to    7.38)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.10 (1.91 to   8.81)",".",".",".",".",".",".","."
"2.91 (0.13 to   66.44)","1.64 (0.29 to    9.41)","1.24 (0.33 to    4.61)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".","2.11 (0.81 to   5.49)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.92 (0.16 to   95.93)","2.21 (0.30 to   16.13)","1.67 (0.38 to    7.27)","1.35 (0.26 to    7.02)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.46 (0.70 to   8.68)",".",".",".",".",".",".","."
"3.18 (0.04 to  247.83)","1.80 (0.05 to   63.28)","1.35 (0.05 to   36.81)","1.09 (0.04 to   32.33)","0.81 (0.03 to   25.62)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".","."
"4.35 (0.17 to  113.26)","2.45 (0.30 to   19.75)","1.85 (0.37 to    9.19)","1.49 (0.25 to    8.76)","1.11 (0.17 to    7.34)","1.37 (0.04 to   45.67)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","2.22 (0.54 to   9.09)",".",".",".",".",".",".","."
"4.95 (0.23 to  106.91)","2.80 (0.54 to   14.45)","2.11 (0.65 to    6.81)","1.70 (0.50 to    5.74)","1.26 (0.27 to    5.91)","1.56 (0.06 to   43.72)","1.14 (0.22 to    6.04)","3rd-generation EGFR TKIs + Amivantamab",".","1.24 (0.58 to   2.62)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.38 (0.03 to  634.98)","2.47 (0.04 to  172.63)","1.86 (0.03 to  111.01)","1.51 (0.02 to   90.82)","1.12 (0.02 to   75.17)","1.38 (0.01 to  235.81)","1.01 (0.01 to   71.04)","0.88 (0.02 to   51.09)","3rd-generation EGFR TKIs + PD-L1 inhibitor","1.40 (0.03 to  75.42)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6.13 (0.31 to  120.57)","3.46 (0.80 to   14.92)","2.61 (1.06 to    6.43)","2.11 (0.81 to    5.49)","1.57 (0.41 to    6.02)","1.93 (0.07 to   49.68)","1.41 (0.32 to    6.25)","1.24 (0.58 to    2.62)","1.40 (0.03 to   75.42)","3rd-generation EGFR TKIs",".","0.99 (0.02 to  50.38)",".",".",".",".",".","1.68 (0.41 to   7.00)",".","1.78 (0.99 to   3.18)",".",".","1.22 (0.52 to   2.85)",".",".",".","."
"6.60 (0.32 to  137.47)","3.72 (0.67 to   20.64)","2.81 (0.95 to    8.25)","2.27 (0.61 to    8.39)","1.68 (0.39 to    7.33)","2.07 (0.08 to   56.38)","1.52 (0.31 to    7.53)","1.33 (0.41 to    4.28)","1.51 (0.03 to   89.55)","1.08 (0.44 to    2.63)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".","1.03 (0.17 to   6.09)",".","1.59 (0.70 to   3.59)",".",".",".",".",".",".","."
"6.05 (0.04 to  840.36)","3.41 (0.05 to  226.79)","2.57 (0.05 to  145.55)","2.08 (0.04 to  119.10)","1.54 (0.02 to   98.70)","1.90 (0.01 to  312.51)","1.39 (0.02 to   93.34)","1.22 (0.02 to   66.96)","1.38 (0.01 to  373.57)","0.99 (0.02 to   50.38)","0.92 (0.02 to   51.78)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6.61 (0.22 to  194.48)","3.73 (0.38 to   36.14)","2.81 (0.45 to   17.67)","2.27 (0.31 to   16.52)","1.69 (0.21 to   13.68)","2.08 (0.06 to   77.77)","1.52 (0.17 to   13.54)","1.33 (0.20 to    8.86)","1.51 (0.02 to  116.77)","1.08 (0.19 to    6.13)","1.00 (0.16 to    6.29)","1.09 (0.01 to   80.54)","Rociletinib",".",".",".",".",".",".","1.46 (0.27 to   7.77)",".",".",".",".",".",".","."
"7.15 (0.33 to  155.37)","4.03 (0.67 to   24.14)","3.04 (0.92 to   10.02)","2.46 (0.60 to   10.04)","1.82 (0.38 to    8.65)","2.25 (0.08 to   63.51)","1.64 (0.31 to    8.83)","1.44 (0.40 to    5.17)","1.63 (0.03 to  100.23)","1.17 (0.41 to    3.27)","1.08 (0.33 to    3.56)","1.18 (0.02 to   68.94)","1.08 (0.16 to    7.28)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".","1.35 (0.54 to   3.37)",".",".",".",".",".",".","."
"8.07 (0.41 to  158.23)","4.56 (0.92 to   22.67)","3.43 (1.41 to    8.38)","2.77 (0.87 to    8.88)","2.06 (0.54 to    7.87)","2.54 (0.10 to   65.22)","1.86 (0.42 to    8.18)","1.63 (0.60 to    4.44)","1.84 (0.03 to  104.83)","1.32 (0.68 to    2.56)","1.22 (0.50 to    2.98)","1.33 (0.02 to   72.03)","1.22 (0.22 to    6.92)","1.13 (0.41 to    3.15)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".","1.20 (0.75 to   1.90)",".",".",".",".",".",".","."
"9.55 (0.07 to 1292.51)","5.39 (0.08 to  366.65)","4.06 (0.07 to  222.58)","3.28 (0.06 to  192.72)","2.44 (0.04 to  151.08)","3.00 (0.02 to  481.06)","2.20 (0.03 to  142.91)","1.93 (0.03 to  108.38)","2.18 (0.01 to  600.32)","1.56 (0.03 to   81.58)","1.45 (0.03 to   79.27)","1.58 (0.01 to  418.65)","1.44 (0.02 to  103.46)","1.34 (0.02 to   75.57)","1.18 (0.02 to   61.88)","1st-generation EGFR TKIs + ER inhibitor",".",".",".","1.01 (0.02 to  51.46)",".",".",".",".",".",".","."
